STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
IS000009972,"ELAT, IS",29.55,34.95,12.0,1950,,,,,13.0,E,5.0,E,0.0,G,0.0,G,,,,,,,1.0,"G,0207,+",10.8," ,E,1109, ",,,,,,,,,,,,,42.6," ,E",,,,,17.9,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1951,,,,,9.0,E,1.0,E,,,,,,,,,,,,,5.1," ,E,1223, ",,,,,,,,,,,,,12.9," ,E",,,,,,,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1952,,,,,4.0,E,1.0,E,,,,,,,,,,,,,15.0," ,E,0201, ",,,,,,,,,,,,,17.3," ,E",,,,,,,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1953,,,,,7.0,E,6.0,E,0.0,G,0.0,G,,,,,,,3.0,"G,1212, ",34.4," ,E,0331, ",,,,,,,,,,,,,84.2," ,E",,,,,17.8,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1954,2552.8,,2552.8,G,11.0,E,6.0,E,0.0,G,0.0,G,0.0,G,296.0,G,168.0,G,5.0,"G,0106,+",24.3," ,E,0218, ",46.0,"G,0714, ",,,,,,,,,,,96.9," ,E",24.7,G,31.0,G,18.4,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1955,,,,,9.0,E,1.0,E,,,,,,,,,,,,,23.2," ,E,1224, ",,,,,,,,,153.0,0.0,153.0,G,30.3," ,E",,,,,,,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1956,2455.7,,2455.7,G,8.0,E,0.0,E,0.0,G,0.0,G,0.0,G,310.0,G,165.0,G,4.0,"G,1214, ",2.2," ,E,0318, ",47.0,"G,0724, ",,,,,,,,,,,7.1," ,E",24.3,G,30.9,G,17.8,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1957,2499.1,,2499.1,G,9.0,E,1.0,E,0.0,G,0.0,G,0.0,G,319.0,G,174.0,G,1.0,"G,0124, ",3.6," ,E,0312, ",43.0,"G,1008,+",,,,,,,365.5,5.0,365.5,G,12.9," ,E",24.3,G,30.7,G,17.8,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1958,2494.8,,2494.8,G,5.0,E,1.0,E,0.0,G,0.0,G,0.0,G,328.0,G,172.0,G,4.0,"G,0205, ",3.3," ,E,0104, ",45.0,"G,0614, ",,,,,,,226.3,3.0,226.3,G,6.7," ,E",24.7,G,31.5,G,18.0,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1959,2329.7,,2329.7,G,6.0,E,1.0,E,0.0,G,0.0,G,0.0,G,311.0,G,166.0,G,3.0,"G,0223, ",3.6," ,E,1229, ",45.0,"G,0610, ",,,,,,,314.1,1.0,314.1,G,7.7," ,E",23.8,G,30.5,G,17.0,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1960,2689.3,,2689.3,G,7.0,E,1.0,E,0.0,G,0.0,G,0.0,G,338.0,G,179.0,G,5.0,"G,0204,+",2.6," ,E,1102, ",46.0,"G,0705, ",,,,,,,178.2,2.0,178.2,G,9.9," ,E",25.4,G,32.1,G,18.8,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1961,2477.7,,2477.7,G,12.0,E,4.0,E,0.0,G,0.0,G,0.0,G,313.0,G,168.0,G,5.0,"G,0302, ",8.0," ,E,1026, ",47.0,"G,0608, ",,,,,,,183.5,5.0,183.5,G,31.0," ,E",24.5,G,30.8,G,18.2,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1962,2807.6,,2807.6,G,3.0,E,1.0,E,0.0,G,0.0,G,0.0,G,337.0,G,195.0,G,5.0,"G,0222, ",3.4," ,E,0124, ",46.0,"G,0607, ",,,,,,,176.3,3.0,176.3,G,6.4," ,E",25.7,G,32.2,G,19.2,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1963,2803.2,,2803.2,G,11.0,E,5.0,E,0.0,G,0.0,G,0.0,G,340.0,G,176.0,G,3.6,"G,1228, ",24.2," ,E,0407, ",44.0,"G,0628,+",,,,,,,114.0,0.0,114.0,G,42.5," ,E",25.6,G,31.9,G,19.3,G,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1964,2499.2,,2499.2,E,8.0,E,3.0,E,0.0,E,0.0,E,0.0,E,320.0,E,185.0,E,2.5,"E,0119, ",7.3," ,E,1214, ",43.8,"E,0530, ",,,,,,,281.0,0.0,281.0,E,23.8," ,E",24.4,E,30.9,E,17.9,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1965,2623.9,,2623.9,E,7.0,E,3.0,E,0.0,E,0.0,E,0.0,E,337.0,E,170.0,E,7.4,"E,0113, ",33.8," ,E,1231, ",45.8,"E,0607, ",,,,,,,199.6,6.0,199.6,E,59.2," ,E",25.0,E,31.3,E,18.6,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1966,2833.7,,2833.7,E,9.0,E,4.0,E,0.0,E,0.0,E,0.0,E,338.0,E,205.0,E,6.4,"E,0109, ",5.9," ,E,0225, ",47.2,"E,0610, ",,,,,,,156.9,9.0,156.9,E,26.7," ,E",25.6,E,32.0,E,19.3,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1967,2395.3,,2395.3,E,10.0,E,2.0,E,0.0,E,0.0,E,0.0,E,326.0,E,177.0,E,3.6,"E,0125,+",22.1," ,E,1016, ",44.6,"E,0613, ",,,,,,,259.5,5.0,259.5,E,33.1," ,E",24.1,E,30.5,E,17.7,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1968,2550.2,,2550.2,E,8.0,E,6.0,E,0.0,E,0.0,E,0.0,E,333.0,E,169.0,E,4.6,"E,0130, ",23.0," ,E,0424, ",45.7,"E,0815, ",,,,,,,260.7,7.0,260.7,E,61.7," ,E",24.6,E,30.7,E,18.5,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1969,2713.9,,2713.9,E,12.0,E,6.0,E,0.0,E,0.0,E,0.0,E,335.0,E,169.0,E,6.2,"E,0106, ",20.0," ,E,0120, ",44.2,"E,0902,+",,,,,,,190.7,7.0,190.7,E,53.2," ,E",25.2,E,31.4,E,19.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1970,2510.7,,2510.7,E,3.0,E,0.0,E,0.0,E,0.0,E,0.0,E,338.0,E,176.0,E,4.8,"E,1216,+",1.8," ,E,0120, ",44.0,"E,0513, ",,,,,,,120.2,2.0,120.2,E,3.5," ,E",24.6,E,31.2,E,18.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1971,2441.1,,2441.1,E,17.0,E,6.0,E,0.0,E,0.0,E,0.0,E,327.0,E,175.0,E,4.4,"E,1221,+",9.8," ,E,1221, ",44.5,"E,0619, ",,,,,,,239.7,7.0,239.7,E,43.2," ,E",24.3,E,30.6,E,17.9,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1972,2525.2,,2525.2,E,9.0,E,5.0,E,0.0,E,0.0,E,0.0,E,308.0,E,188.0,E,3.2,"E,1229, ",14.1," ,E,1123, ",43.4,"E,0804, ",,,,,,,335.4,4.0,335.4,E,34.7," ,E",24.3,E,30.6,E,18.0,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1973,2471.9,,2471.9,E,2.0,E,2.0,E,0.0,E,0.0,E,0.0,E,336.0,E,183.0,E,4.7,"E,0103, ",27.2," ,E,1110, ",46.2,"E,0722, ",,,,,,,256.7,7.0,256.7,E,32.3," ,E",24.5,E,31.2,E,17.8,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1974,2513.9,,2513.9,E,20.0,E,3.0,E,0.0,E,0.0,E,0.0,E,319.0,E,180.0,E,4.3,"E,0124, ",8.8," ,E,0315, ",45.7,"E,0619, ",,,,,,,279.8,8.0,279.8,E,35.8," ,E",24.3,E,30.8,E,17.8,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1975,2477.2,,2477.2,E,7.0,E,3.0,E,0.0,E,0.0,E,0.0,E,318.0,E,176.0,E,5.5,"E,0115, ",64.3," ,E,0219, ",42.8,"E,0611, ",,,,,,,300.9,9.0,300.9,E,76.6," ,E",24.3,E,30.6,E,18.0,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1976,2485.4,,2485.4,E,5.0,E,1.0,E,0.0,E,0.0,E,0.0,E,321.0,E,193.0,E,3.0,"E,0301, ",3.5," ,E,0311, ",43.6,"E,0608, ",,,,,,,301.4,4.0,301.4,E,8.6," ,E",24.4,E,30.8,E,17.9,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1977,2536.7,,2536.7,E,6.0,E,2.0,E,0.0,E,0.0,E,0.0,E,326.0,E,173.0,E,4.0,"E,0106, ",6.4," ,E,1211, ",47.2,"E,0824, ",,,,,,,205.0,0.0,205.0,E,15.7," ,E",24.6,E,31.3,E,17.9,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1978,2582.0,,2582.0,E,4.0,E,2.0,E,0.0,E,0.0,E,0.0,E,342.0,E,188.0,E,5.5,"E,0105, ",23.5," ,E,0205, ",46.2,"E,0708, ",,,,,,,225.7,7.0,225.7,E,42.3," ,E",24.8,E,31.5,E,18.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1979,2736.3,,2736.3,E,7.0,E,2.0,E,0.0,E,0.0,E,0.0,E,338.0,E,195.0,E,5.7,"E,1230, ",7.6," ,E,0208, ",43.8,"E,0621, ",,,,,,,178.0,0.0,178.0,E,16.8," ,E",25.3,E,31.7,E,18.9,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1980,2624.4,,2624.4,E,12.0,E,1.0,E,0.0,E,0.0,E,0.0,E,317.0,E,187.0,E,5.6,"E,0304, ",40.6," ,E,1225, ",45.2,"E,0531, ",,,,,,,294.4,4.0,294.4,E,51.8," ,E",24.7,E,31.1,E,18.3,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1981,2514.2,,2514.2,E,4.0,E,2.0,E,0.0,E,0.0,E,0.0,E,322.0,E,184.0,E,6.0,"E,0131, ",23.0," ,E,1029, ",44.1,"E,0727, ",,,,,,,278.3,3.0,278.3,E,27.4," ,E",24.5,E,30.8,E,18.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1982,2367.4,,2367.4,E,15.0,E,5.0,E,0.0,E,0.0,E,0.0,E,308.0,E,176.0,E,3.6,"E,0117, ",6.6," ,E,0507, ",43.4,"E,0629, ",,,,,,,263.9,9.0,263.9,E,34.0," ,E",23.8,E,30.0,E,17.6,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1983,2391.7,,2391.7,E,8.0,E,1.0,E,0.0,E,0.0,E,0.0,E,307.0,E,172.0,E,3.4,"E,0129, ",3.6," ,E,0313, ",46.0,"E,0711, ",,,,,,,455.8,8.0,455.8,E,9.9," ,E",23.8,E,30.3,E,17.3,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1984,2403.7,,2403.7,E,4.0,E,1.0,E,0.0,E,0.0,E,0.0,E,337.0,E,175.0,E,5.0,"E,1211, ",3.8," ,E,0323, ",44.6,"E,0526, ",,,,,,,218.0,0.0,218.0,E,7.0," ,E",24.2,E,30.9,E,17.5,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1985,2565.4,,2565.4,E,9.0,E,3.0,E,0.0,E,0.0,E,0.0,E,335.0,E,172.0,E,4.2,"E,0228, ",11.8," ,E,1216, ",44.0,"E,0823, ",,,,,,,246.5,5.0,246.5,E,29.1," ,E",24.7,E,31.4,E,18.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1986,2499.6,,2499.6,E,13.0,E,5.0,E,0.0,E,0.0,E,0.0,E,333.0,E,171.0,E,6.0,"E,1206, ",5.1," ,E,1127, ",44.2,"E,0917, ",,,,,,,156.4,4.0,156.4,E,25.7," ,E",24.6,E,31.0,E,18.1,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1987,2563.8,,2563.8,E,14.0,E,5.0,E,0.0,E,0.0,E,0.0,E,333.0,E,162.0,E,5.0,"E,0109, ",20.8," ,E,1015, ",45.3,"E,0808, ",,,,,,,249.2,2.0,249.2,E,58.4," ,E",24.8,E,31.3,E,18.4,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1988,2640.8,,2640.8,E,13.0,E,5.0,E,0.0,E,0.0,E,0.0,E,312.0,E,178.0,E,5.8,"E,1228, ",10.6," ,E,0103, ",44.6,"E,0514, ",,,,,,,232.7,7.0,232.7,E,31.0," ,E",24.8,E,31.2,E,18.3,E,IS000009972,Israel,ELAT
IS000009972,"ELAT, IS",29.55,34.95,12.0,1989,2651.5,,2651.5,E,11.0,E,2.0,E,0.0,E,0.0,E,0.0,E,310.0,E,186.0,E,2.2,"E,0106, ",11.5," ,E,1128, ",45.6,"E,0607, ",,,,,,,391.4,4.0,391.4,E,23.0," ,E",24.6,E,31.2,E,17.9,E,IS000009972,Israel,ELAT
