STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1955,469.2,,469.2,G,,,,,0.0,G,0.0,G,0.0,G,150.0,G,6.0,G,0.4,"G,1128,+",,,36.2,"G,0719, ",,,,,,,,,,,,,15.4,G,19.6,G,11.3,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1956,515.3,,515.3,G,,,,,0.0,G,32.0,G,2.0,G,141.0,G,14.0,G,-6.5,"G,0216, ",,,38.8,"G,0808, ",0.0,"G,1226",-1.8,"G,0315",-2.7,"G,0313",1885.4,4.0,1885.4,G,,,13.9,G,18.0,G,9.7,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.1,1.0,1829.1,G,,,,,,,,,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1959,470.0,,470.0,G,,,,,0.0,G,4.0,G,0.0,G,135.0,G,8.0,G,-1.7,"G,0111, ",,,34.7,"G,0728, ",,,0.0,"G,0117",,,,,,,,,14.9,G,19.3,G,10.4,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1960,469.4,,469.4,G,,,,,0.0,G,4.0,G,0.0,G,148.0,G,8.0,G,-4.7,"G,0114, ",,,37.3,"G,0828, ",,,0.0,"G,0203",-4.7,"G,0114",1634.0,0.0,1634.0,G,,,15.0,G,19.5,G,10.6,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1961,596.4,,596.4,G,,,,,0.0,G,5.0,G,0.0,G,159.0,G,16.0,G,-4.0,"G,1217, ",,,37.0,"G,0810, ",-0.2,"G,1216",-1.6,"G,0120",,,1570.6,6.0,1570.6,G,,,15.5,G,20.4,G,10.6,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1962,591.3,,591.3,G,,,,,0.0,G,21.0,G,1.0,G,143.0,G,31.0,G,-3.7,"G,0130, ",,,36.8,"G,0727, ",-0.7,"G,1125",0.0,"G,0320",-2.2,"G,0316",1771.3,3.0,1771.3,G,,,14.5,G,19.3,G,9.8,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1963,507.3,,507.3,G,,,,,0.0,G,27.0,G,1.0,G,154.0,G,13.0,G,-7.0,"G,0131, ",,,33.8,"G,0804, ",,,-0.6,"G,0304",-4.8,"G,0302",1923.3,3.0,1923.3,G,,,14.6,G,19.1,G,10.0,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1964,512.6,,512.6,G,,,,,0.0,G,13.0,G,0.0,G,146.0,G,11.0,G,-3.2,"G,0209, ",,,33.5,"G,0718, ",-0.2,"G,1205",-1.2,"G,0307",-3.2,"G,0209",1646.3,3.0,1646.3,G,,,14.8,G,19.4,G,10.2,G,IT000162240,Italy,VIGNA DI VALLE
IT000162240,"VIGNA DI VALLE, IT",42.0828,12.2167,266.0,1966,485.2,,485.2,G,,,,,0.0,G,10.0,G,0.0,G,162.0,G,8.0,G,-3.0,"G,0120, ",,,36.2,"G,0814, ",-0.7,"G,1217",-3.0,"G,0120",-3.0,"G,0120",,,,,,,14.6,G,19.2,G,10.0,G,IT000162240,Italy,VIGNA DI VALLE
