STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1975,,,,,,,,,0.0,I,0.0,I,,,,,,,17.0,"I,0206,+",,,,,,,,,,,,,,,,,,,,,22.0,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1976,,,,,,,,,,,,,0.0,I,359.0,I,30.0,I,,,,,33.0,"I,0924,+",,,,,,,,,,,,,,,30.4,I,,,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1977,,,,,,,,,,,,,0.0,I,352.0,I,22.0,I,,,,,33.0,"I,0831,+",,,,,,,0.0,0.0,0.0,I,,,,,30.6,I,,,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1981,,,,,,,,,0.0,I,0.0,I,,,,,,,16.0,"I,0226,+",,,,,,,,,,,,,,,,,,,,,22.3,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1983,,,,,,,,,0.0,I,0.0,I,,,,,,,17.1,"I,0314,+",,,,,,,,,,,,,,,,,,,,,22.4,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1984,,,,,,,,,0.0,I,0.0,I,,,,,,,17.7,"I,0108, ",,,,,,,,,,,,,,,,,,,,,21.8,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1989,,,,,,,,,0.0,I,0.0,I,,,,,,,18.9,"I,1225,+",,,,,,,,,,,,,,,,,,,,,22.4,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1990,,,,,,,,,0.0,I,0.0,I,,,,,,,17.6,"I,0101, ",,,,,,,,,,,,,,,,,,,,,22.9,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,I,,,,,,,,,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2000,3045.0,,3045.0,I,,,,,0.0,I,0.0,I,0.0,I,349.0,I,121.0,I,17.3,"I,0121,+",,,36.4,"I,0606, ",,,,,,,,,,,,,27.1,I,31.4,I,22.7,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2001,3178.8,,3178.8,I,,,,,0.0,I,0.0,I,0.0,I,351.0,I,152.0,I,19.0,"I,0406,+",,,37.4,"I,0829, ",,,,,,,0.0,0.0,0.0,I,,,27.4,I,31.6,I,23.2,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2002,3154.1,,3154.1,I,,,,,0.0,I,0.0,I,0.0,I,342.0,I,142.0,I,19.8,"I,0212,+",,,34.8,"I,0701,+",,,,,,,0.0,0.0,0.0,I,,,27.6,I,31.9,I,23.3,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2003,3201.2,,3201.2,I,,,,,0.0,I,0.0,I,0.0,I,347.0,I,186.0,I,19.4,"I,0222,+",,,34.9,"I,0502, ",,,,,,,0.0,0.0,0.0,I,,,27.6,I,32.0,I,23.1,I,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2004,3213.2,,3213.2,S,,,,,0.0,S,0.0,S,0.0,S,353.0,S,135.0,S,19.1,"S,0124,+",,,34.7,"S,0813, ",,,,,,,0.0,0.0,0.0,S,,,27.4,S,31.6,S,23.3,S,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
JM000078388,"MONTEGO BAY SANGSTE, JM",18.5,-77.917,8.0,2005,3269.3,,3269.3,S,,,,,0.0,S,0.0,S,0.0,S,354.0,S,166.0,S,18.7,"S,0208, ",,,35.3,"S,0704, ",,,,,,,0.0,0.0,0.0,S,,,27.6,S,31.6,S,23.5,S,JM000078388,Jamaica,MONTEGO BAY/SANGSTE
