STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1922,,,,,174.0,E,41.0,E,0.0, ,237.0,E,,,,,,,-16.6,"E,0312,+",15.1," ,E,1030, ",,,-1.1,"E,0911",-0.9,"E,0616",-3.0,"E,0526",,,,,366.7," ,E",,,,,-2.1,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1923,,,,,135.0,E,55.0,E,0.0, ,277.0,E,,,,,,,-13.6,"E,1114, ",32.0," ,E,0205, ",,,-1.0,"E,0805",-0.8,"E,0702",-2.8,"E,0615",,,,,414.0," ,E",,,,,-2.7,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1924,,,,,138.0,E,59.0,E,0.0, ,228.0,E,,,,,,,-17.2,"E,0227, ",12.7," ,E,0106, ",,,0.0,"E,0912",-0.2,"E,0709",-2.5,"E,0531",,,,,407.8," ,E",,,,,-2.3,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1925,,,,,175.0,E,56.0,E,0.0, ,215.0,E,,,,,,,-15.0,"E,0120,+",35.0," ,E,0326, ",,,-0.5,"E,0908",-0.2,"E,0625",-2.8,"E,0520",,,,,459.2," ,E",,,,,-1.9,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1926,,,,,113.0,E,18.0,E,3.0, ,228.0,E,,,,,,,-18.4,"E,1230,+",11.5," ,E,0720, ",,,-0.2,"E,0903",0.0,"E,0624",-2.8,"E,0529",,,,,197.1," ,E",,,,,-2.1,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1927,,,,,142.0,E,37.0,E,1.0, ,240.0,E,,,,,,,-18.0,"E,0105, ",16.5," ,E,1005, ",,,-0.3,"E,0920",-1.2,"E,0625",-2.8,"E,0608",,,,,325.2," ,E",,,,,-2.8,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1928,,,,,145.0,E,62.0,E,,,,,,,,,,,,,38.2," ,E,1206, ",,,,,,,,,,,,,505.2," ,E",,,,,,,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1929,,,,,176.0,E,64.0,E,0.0, ,232.0,E,,,,,,,-12.7,"E,0423, ",15.0," ,E,0916, ",,,-0.6,"E,0826",-0.5,"E,0725",-2.2,"E,0607",,,,,432.6," ,E",,,,,-1.8,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1930,,,,,164.0,E,55.0,E,0.0, ,210.0,E,,,,,,,-15.8,"E,0318, ",16.4," ,E,0125, ",,,-0.3,"E,0925",-1.2,"E,0614",-2.6,"E,0515",,,,,420.1," ,E",,,,,-1.3,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1931,,,,,173.0,E,63.0,E,0.0, ,212.0,E,,,,,,,-16.4,"E,0327, ",46.6," ,E,1002, ",,,0.0,"E,0911",-0.3,"E,0612",-2.2,"E,0605",,,,,570.6," ,E",,,,,-2.3,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1932,,,,,165.0,E,52.0,E,0.0, ,245.0,E,,,,,,,-16.0,"E,0220, ",26.1," ,E,0331, ",,,-1.0,"E,0908",-0.4,"E,0627",-2.4,"E,0613",,,,,476.6," ,E",,,,,-2.6,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1933,,,,,187.0,E,61.0,E,0.0, ,216.0,E,,,,,,,-16.3,"E,0210, ",21.0," ,E,1018, ",,,-1.0,"E,0914",-0.1,"E,0614",-2.7,"E,0519",,,,,587.1," ,E",,,,,-1.4,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1934,,,,,178.0,E,71.0,E,0.0, ,215.0,E,,,,,,,-14.4,"E,0222, ",23.4," ,E,1017, ",,,-0.2,"E,1009",-0.3,"E,0701",-2.3,"E,0610",,,,,548.5," ,E",,,,,-1.8,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1935,,,,,167.0,E,65.0,E,0.0, ,236.0,E,,,,,,,-14.7,"E,0225, ",33.2," ,E,1023, ",,,-0.2,"E,0908",-0.5,"E,0621",-2.2,"E,0612",,,,,648.1," ,E",,,,,-2.4,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1936,,,,,170.0,E,61.0,E,1.0, ,225.0,E,,,,,,,-18.3,"E,1205, ",87.0," ,E,0728, ",,,-1.0,"E,0922",-0.5,"E,0627",-2.5,"E,0607",,,,,564.8," ,E",,,,,-2.9,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1937,,,,,194.0,E,80.0,E,4.0,G,204.0,E,81.0,G,0.0,G,0.0,G,-21.3,"E,0226, ",19.3," ,E,0826, ",14.3,"G,0816, ",-0.1,"E,0911",-0.3,"E,0630",-2.8,"E,0602",,,,,619.2," ,E",0.3,E,2.7,G,-2.1,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1938,0.0,,0.0,E,228.0,E,98.0,E,0.0,G,184.0,E,76.0,G,0.0,G,0.0,G,-16.0,"E,0302,+",28.8," ,E,0820, ",13.7,"G,0630, ",-0.3,"E,0910",-0.1,"E,0622",-2.5,"E,0528",,,,,852.6," ,E",0.8,E,3.1,G,-1.5,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1939,0.0,,0.0,E,174.0,E,59.0,E,1.0,G,202.0,E,95.0,G,0.0,G,0.0,G,-17.9,"E,1222, ",26.1," ,E,0101, ",15.7,"G,0812, ",-0.8,"E,0920",-0.3,"E,0624",-2.4,"E,0602",6020.7,7.0,6020.7,G,453.2," ,E",0.4,E,2.6,G,-1.8,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6733.7,7.0,6733.7, ,,,,,,,,,JNM00001001,Jan Mayen [Norway],JAN MAYEN
JNM00001001,"JAN MAYEN, JN",70.9331,-8.6667,10.0,1943,,,,,153.0,E,34.0,E,26.0, ,268.0,E,,,,,,,-27.9,"E,0206, ",20.8," ,E,0905, ",,,-0.2,"E,0804",-0.2,"E,0701",-3.0,"E,0625",,,,,337.3," ,E",,,,,-4.7,E,JNM00001001,Jan Mayen [Norway],JAN MAYEN
