STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1916,,,,,,,,,,,,,67.0,r,146.0,r,23.0,r,,,,,37.8,"r,0731, ",,,,,,,,,,,,,,,14.2,r,,,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1917,554.7,,554.7,r,,,,,5.0,r,148.0,r,40.0,r,151.0,r,28.0,r,-25.3,"r,1230, ",,,38.9,"r,0728, ",-0.2,"r,1023",-2.1,"r,0426",-3.2,"r,0423",3722.5,5.0,3722.5,r,,,9.7,r,15.3,r,4.1,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1921,284.5,,284.5,r,113.0,r,72.0,r,2.0,r,136.0,r,59.0,r,112.0,r,9.0,r,-19.0,"r,0210, ",38.7," ,r,1021, ",35.5,"r,0730,+",-0.2,"r,1015",-1.2,"r,0409",-4.9,"r,0324",4261.0,0.0,4261.0,r,768.3," ,r",8.3,r,13.6,r,3.1,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1922,375.8,,375.8,r,91.0,r,57.0,r,2.0,r,136.0,r,43.0,r,152.0,r,5.0,r,-20.3,"r,0210, ",21.0," ,r,0516, ",34.7,"r,0725, ",-1.8,"r,1015",-0.6,"r,0420",-3.5,"r,0401",3649.4,4.0,3649.4,r,500.2," ,r",9.7,r,15.2,r,4.2,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1923,467.3,,467.3,r,91.0,r,57.0,r,13.0,r,134.0,r,62.0,r,131.0,r,22.0,r,-23.8,"r,0122, ",39.7," ,r,0715, ",37.8,"r,0809, ",-0.7,"r,1024",-2.2,"r,0331",-2.2,"r,0331",3713.0,0.0,3713.0,r,663.0," ,r",8.8,r,14.2,r,3.4,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1924,,,,,92.0,r,52.0,r,5.0,r,148.0,r,,,,,,,-26.9,"r,0129, ",43.2," ,r,0428, ",,,-1.7,"r,1012",-1.5,"r,0402",-4.5,"r,0401",,,,,564.0," ,r",,,,,3.9,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1925,521.3,,521.3,r,66.0,r,44.0,r,2.0,r,123.0,r,48.0,r,152.0,r,27.0,r,-22.5,"r,0226, ",31.1," ,r,0323, ",38.5,"r,0725, ",-5.1,"r,1026",-0.2,"r,0504",-2.6,"r,0503",3752.0,0.0,3752.0,r,447.3," ,r",10.1,r,15.8,r,4.3,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1926,463.7,,463.7,r,82.0,r,49.0,r,5.0,r,137.0,r,50.0,r,137.0,r,19.0,r,-20.7,"r,0113, ",27.2," ,r,0722, ",35.4,"r,0818, ",-1.8,"r,1012",-0.6,"r,0420",-2.6,"r,0411",3266.9,9.0,3266.9,r,477.1," ,r",9.3,r,14.6,r,3.9,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1927,539.5,,539.5,r,81.0,r,46.0,r,12.0,r,144.0,r,63.0,r,150.0,r,27.0,r,-23.2,"r,0122, ",22.4," ,r,0506, ",39.2,"r,0712, ",-2.0,"r,1008",-2.0,"r,0407",-3.4,"r,0401",4014.3,3.0,4014.3,r,436.3," ,r",9.4,r,15.1,r,3.8,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1928,377.4,,377.4,r,104.0,r,65.0,r,22.0,r,137.0,r,61.0,r,139.0,r,11.0,r,-25.0,"r,1203, ",39.1," ,r,0411, ",35.4,"r,0628, ",-0.6,"r,1010",-1.8,"r,0428",-2.3,"r,0331",3662.3,3.0,3662.3,r,727.4," ,r",8.4,r,13.8,r,3.1,r,KZ000036870,Kazakhstan,ALMATY
KZ000036870,"ALMATY, KZ",43.2331,76.9331,851.0,1929,358.2,,358.2,r,82.0,r,47.0,r,35.0,r,140.0,r,66.0,r,142.0,r,11.0,r,-31.7,"r,1215, ",36.4," ,r,0529, ",37.7,"r,0721, ",-1.4,"r,1009",-0.6,"r,0325",-3.0,"r,0322",4047.5,5.0,4047.5,r,463.8," ,r",7.7,r,13.5,r,1.9,r,KZ000036870,Kazakhstan,ALMATY
