STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1970,,,,,,,,,,,,,100.0,S,139.0,S,6.0,S,,,,,35.0,"S,0812,+",,,,,,,,,,,,,,,11.5,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1977,,,,,,,,,,,,,79.0,S,134.0,S,4.0,S,,,,,34.0,"S,0719, ",,,,,,,,,,,,,,,13.1,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1979,,,,,,,,,,,,,83.0,S,125.0,S,0.0,S,,,,,32.0,"S,0815,+",,,,,,,,,,,,,,,12.3,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1980,,,,,,,,,,,,,83.0,S,118.0,S,2.0,S,,,,,33.0,"S,0531,+",,,,,,,,,,,,,,,11.4,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1981,,,,,,,,,,,,,93.0,S,121.0,S,5.0,S,,,,,34.0,"S,0725, ",,,,,,,,,,,,,,,11.8,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1986,,,,,,,,,,,,,77.0,S,131.0,S,0.0,S,,,,,31.7,"S,0818,+",,,,,,,,,,,,,,,11.9,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,1993,,,,,,,,,,,,,82.0,S,129.0,S,0.0,S,,,,,31.6,"S,0707, ",,,,,,,,,,,,,,,12.1,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2008,,,,,,,,,,,,,75.0,S,143.0,S,14.0,S,,,,,35.5,"S,0807, ",,,,,,,,,,,,,,,13.8,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2010,,,,,,,,,,,,,96.0,S,129.0,S,7.0,S,,,,,35.5,"S,0610, ",,,,,,,,,,,,,,,11.6,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2011,,,,,,,,,,,,,84.0,S,123.0,S,6.0,S,,,,,35.5,"S,0720, ",,,,,,,,,,,,,,,12.2,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2012,,,,,,,,,,,,,98.0,S,143.0,S,2.0,S,,,,,32.5,"S,0827,+",,,,,,,,,,,,,,,11.7,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2014,,,,,,,,,,,,,78.0,S,150.0,S,5.0,S,,,,,35.5,"S,0803, ",,,,,,,,,,,,,,,13.9,S,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617.5,5.0,4617.5,S,,,,,,,,,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2016,361.3,,361.3,S,,,,,68.0,S,187.0,S,95.0,S,144.0,S,7.0,S,-30.5,"S,0125,+",,,36.0,"S,0805, ",-1.0,"S,1008",-1.0,"S,0424",-6.5,"S,0411",,,,,,,5.6,S,12.6,S,-1.3,S,KNM00047014,"Korea, North",CHUNGGANG
KNM00047014,"CHUNGGANG, KN",41.783,126.883,331.0,2020,,,,,,,,,,,,,50.0,S,139.0,S,30.0,S,,,,,37.5,"S,0718, ",,,,,,,,,,,,,,,15.4,S,,,KNM00047014,"Korea, North",CHUNGGANG
