STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1939,626.0,,626.0,G,111.0,I,73.0,I,0.0,G,64.0,G,12,G,123,G,6,G,-9.6,"G,0105, ",79.0," ,I,1122, ",33.4,"G,0730, ",-1.7,"G,1125",-0.2,"G,0404",-3.4,"G,0319",,,,,1021.0," ,I",12.8,G,15.5,G,10.0,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1940,364.4,,364.4,G,130.0,I,98.0,I,0.0,G,64.0,G,26,G,120,G,0,G,-10.0,"G,0109, ",54.0," ,I,0902, ",31.1,"G,0820, ",-0.9,"G,1208",-1.1,"G,0322",-3.3,"G,0321",2706.3,3.0,2706.3,G,1327.0," ,I",12.1,G,15.0,G,9.3,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1941,279.6,,279.6,G,123.0,I,87.0,I,0.0,G,50.0,G,8,G,93,G,0,G,-11.0,"G,0131, ",67.0," ,I,1211, ",29.2,"G,0806,+",-0.4,"G,1210",-0.3,"G,0407",-4.8,"G,0305",2447.9,9.0,2447.9,G,1129.0," ,I",12.2,G,15.0,G,9.4,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1942,580.5,,580.5,G,123.0,I,75.0,I,0.0,G,60.0,G,18,G,120,G,10,G,-9.7,"G,0212, ",155.0," ,I,0913, ",33.7,"G,0718, ",-0.6,"G,1125",-0.1,"G,0319",-2.7,"G,0308",2542.2,2.0,2542.2,G,1576.0," ,I",12.6,G,15.4,G,9.7,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1943,487.6,,487.6,G,121.0,I,70.0,I,0.0,G,65.0,G,13,G,116,G,0,G,-11.6,"G,0112, ",137.0," ,I,1003, ",31.4,"G,0813, ",-1.6,"G,1118",-1.2,"G,0310",-2.2,"G,0309",2724.9,9.0,2724.9,G,1223.0," ,I",12.4,G,15.2,G,9.6,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1944,528.4,,528.4,G,136.0,I,95.0,I,0.0,G,76.0,G,15,G,118,G,5,G,-6.8,"G,1220, ",97.0," ,I,0407, ",33.2,"G,0716, ",-0.8,"G,1201",-0.2,"G,0323",-5.0,"G,0225",2621.6,6.0,2621.6,G,1361.0," ,I",12.3,G,15.2,G,9.3,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1945,367.4,,367.4,G,143.0,I,107.0,I,0.0,G,87.0,G,33,G,106,G,0,G,-9.5,"G,0127, ",128.0," ,I,0913, ",30.7,"G,0810, ",-1.4,"G,1202",-0.4,"G,0325",-2.2,"G,0319",2976.8,8.0,2976.8,G,1730.0," ,I",11.3,G,14.2,G,8.4,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1946,554.8,,554.8,G,133.0,I,93.0,I,0.0,G,67.0,G,13,G,122,G,0,G,-7.7,"G,1209,+",80.0," ,I,0603, ",31.8,"G,0713, ",-4.3,"G,1208",-1.6,"G,0321",-2.9,"G,0320",2624.4,4.0,2624.4,G,1382.0," ,I",12.7,G,15.7,G,9.7,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1947,333.1,,333.1,G,140.0,I,88.0,I,0.0,G,92.0,G,28,G,95,G,0,G,-11.2,"G,0203, ",63.0," ,I,0907, ",31.4,"G,0813, ",-1.8,"G,1118",-0.3,"G,0331",-2.2,"G,0316",2797.8,8.0,2797.8,G,1164.0," ,I",10.8,G,13.9,G,7.7,G,KS000047115,"Korea, South",ULLEUNGDO
KS000047115,"ULLEUNGDO, KS",37.483,130.9,220.0,1948,403.5,,403.5,G,122.0,I,87.0,I,0.0,G,63.0,G,9,G,120,G,0,G,-9.6,"G,0128, ",113.0," ,I,0802, ",29.8,"G,0903, ",-2.7,"G,1128",-0.6,"G,0326",-3.4,"G,0325",2895.4,4.0,2895.4,G,1432.0," ,I",12.5,G,15.6,G,9.5,G,KS000047115,"Korea, South",ULLEUNGDO
