STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1958,3045.4,,3045.4,G,,,,,0.0,G,0.0,G,0.0,G,291.0,G,206.0,G,0.1,"G,0101, ",,,49.0,"G,0518, ",,,,,,,,,,,,,25.3,G,33.0,G,17.6,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1959,2929.7,,2929.7,G,,,,,0.0,G,2.0,G,0.0,G,269.0,G,199.0,G,-1.1,"G,0223, ",,,48.4,"G,0626, ",0.0,"G,1216",-1.1,"G,0223",,,637.7,7.0,637.7,G,,,24.5,G,32.1,G,17.0,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1960,3002.4,,3002.4,G,,,,,0.0,G,0.0,G,0.0,G,330.0,G,194.0,G,1.7,"G,0130, ",,,49.0,"G,0821, ",,,,,,,392.4,4.0,392.4,G,,,25.6,G,33.2,G,18.1,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1961,2898.5,,2898.5,G,,,,,0.0,G,0.0,G,0.0,G,282.0,G,189.0,G,2.3,"G,0108, ",,,48.3,"G,0628, ",,,,,,,436.8,8.0,436.8,G,,,24.9,G,32.1,G,17.8,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1962,3247.6,,3247.6,G,,,,,0.0,G,0.0,G,0.0,G,313.0,G,201.0,G,3.3,"G,0223, ",,,48.9,"G,0802, ",,,,,,,366.9,9.0,366.9,G,,,26.4,G,33.7,G,19.0,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1963,3110.5,,3110.5,G,,,,,0.0,G,4.0,G,0.0,G,327.0,G,186.0,G,-1.5,"G,1229, ",,,49.0,"G,0805, ",0.0,"G,1212",,,,,213.6,6.0,213.6,G,,,25.9,G,33.0,G,18.8,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1964,3080.5,,3080.5,G,,,,,0.0,G,10.0,G,0.0,G,291.0,G,189.0,G,-4.0,"G,0120, ",,,48.0,"G,0730,+",,,-0.3,"G,0131",-2.6,"G,0125",624.6,6.0,624.6,G,,,25.0,G,32.3,G,17.7,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1965,3276.2,,3276.2,G,,,,,0.0,G,0.0,G,0.0,G,309.0,G,191.0,G,0.2,"G,1223, ",,,48.6,"G,0720, ",,,,,,,472.0,0.0,472.0,G,,,26.2,G,33.0,G,19.3,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1966,3373.8,,3373.8,G,,,,,0.0,G,0.0,G,0.0,G,331.0,G,200.0,G,2.1,"G,0117, ",,,49.8,"G,0613, ",,,,,,,275.2,2.0,275.2,G,,,26.9,G,33.8,G,19.9,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1967,2957.0,,2957.0,G,,,,,0.0,G,1.0,G,0.0,G,286.0,G,186.0,G,-0.6,"G,0203, ",,,49.2,"G,0715, ",,,-0.6,"G,0203",,,436.6,6.0,436.6,G,,,24.9,G,31.4,G,18.4,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
KU000405820,"KUWAIT INTERNATIONA, KU",29.222,47.966,48.0,1968,3115.0,,3115.0,G,,,,,0.0,G,0.0,G,0.0,G,307.0,G,185.0,G,1.5,"G,0204, ",,,48.7,"G,0728, ",,,,,,,546.1,1.0,546.1,G,,,25.6,G,32.2,G,19.1,G,KU000405820,Kuwait,KUWAIT INTERNATIONA
