STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1936,402.5,,402.5,r,76.0,r,45.0,r,8.0,r,135.0,r,48,r,160,r,15,r,-21.4,"r,0122, ",29.9," ,r,0717, ",36.6,"r,0701, ",-0.5,"r,1102",-2.5,"r,0502",-2.5,"r,0502",,,,,362.8," ,r",9.9,r,16.0,r,3.8,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1937,473.3,,473.3,r,84.0,r,36.0,r,23.0,r,139.0,r,55,r,151,r,34,r,-25.2,"r,1223, ",25.6," ,r,0410, ",37.2,"r,0718, ",-0.4,"r,1025",-1.3,"r,0423",-3.7,"r,0418",3348.7,7.0,3348.7,r,347.4," ,r",9.4,r,15.4,r,3.4,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1938,533.1,,533.1,r,67.0,r,30.0,r,8.0,r,121.0,r,43,r,167,r,22,r,-24.4,"r,1221, ",28.4," ,r,1002, ",35.8,"r,0809,+",-1.6,"r,1026",-0.3,"r,0421",-9.1,"r,0324",3384.8,8.0,3384.8,r,289.9," ,r",10.8,r,16.8,r,4.8,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1939,602.1,,602.1,r,78.0,r,40.0,r,2.0,r,111.0,r,25,r,159,r,28,r,-20.2,"r,0117, ",38.4," ,r,0511, ",38.8,"r,0724, ",-0.1,"r,1016",0.0,"r,0419",-2.2,"r,0408",3440.6,6.0,3440.6,r,368.2," ,r",11.2,r,17.0,r,5.4,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1940,553.7,,553.7,r,88.0,r,44.0,r,10.0,r,98.0,r,23,r,160,r,40,r,-21.0,"r,0120, ",34.5," ,r,0506, ",37.6,"r,0719, ",0.0,"r,1101",0.0,"r,0330",-2.4,"r,0309",3076.8,8.0,3076.8,r,434.0," ,r",11.6,r,18.0,r,5.3,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1941,573.5,,573.5,r,103.0,r,52.0,r,1.0,r,102.0,r,16,r,172,r,36,r,-18.5,"r,0106, ",27.4," ,r,0614, ",37.5,"r,0724, ",-2.1,"r,1028",-1.5,"r,0320",-4.6,"r,0310",2695.2,2.0,2695.2,r,488.5," ,r",12.4,r,18.5,r,6.2,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1942,456.9,,456.9,r,84.0,r,47.0,r,11.0,r,118.0,r,38,r,156,r,24,r,-23.0,"r,0214, ",27.8," ,r,0525, ",37.7,"r,0705, ",-0.4,"r,1006",0.0,"r,0422",-4.8,"r,0327",3182.7,7.0,3182.7,r,480.2," ,r",10.3,r,16.4,r,4.2,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1943,549.7,,549.7,r,73.0,r,35.0,r,14.0,r,151.0,r,33,r,158,r,38,r,-25.9,"r,0118, ",25.3," ,r,0425, ",40.7,"r,0707, ",-1.2,"r,1014",-1.5,"r,0428",-4.5,"r,0325",3322.5,5.0,3322.5,r,261.3," ,r",10.0,r,16.4,r,3.6,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1944,610.7,,610.7,r,60.0,r,30.0,r,14.0,r,117.0,r,41,r,159,r,43,r,-28.4,"r,1212, ",30.1," ,r,0422, ",41.6,"r,0710, ",-2.8,"r,0926",-0.2,"r,0415",-2.2,"r,0407",3091.8,8.0,3091.8,r,253.8," ,r",10.8,r,17.0,r,4.6,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1945,576.1,,576.1,r,77.0,r,46.0,r,21.0,r,140.0,r,49,r,169,r,35,r,-26.2,"r,0112, ",16.9," ,r,0514, ",37.9,"r,0716, ",-2.3,"r,1025",-0.2,"r,0402",-6.7,"r,0401",4100.0,0.0,4100.0,r,332.0," ,r",10.0,r,16.3,r,3.7,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1946,487.0,,487.0,r,90.0,r,44.0,r,7.0,r,118.0,r,43,r,173,r,20,r,-26.2,"r,1215, ",25.4," ,r,1007, ",38.9,"r,0731, ",-2.4,"r,1023",-3.3,"r,0406",-3.3,"r,0406",2998.8,8.0,2998.8,r,343.8," ,r",10.9,r,16.9,r,4.8,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1947,419.2,,419.2,r,96.0,r,51.0,r,13.0,r,94.0,r,34,r,160,r,25,r,-27.4,"r,0210, ",47.6," ,r,0419, ",36.3,"r,0801, ",-1.3,"r,1018",-0.1,"r,0308",-2.4,"r,0224",3264.5,5.0,3264.5,r,459.0," ,r",10.8,r,17.0,r,4.6,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1948,486.0,,486.0,r,76.0,r,42.0,r,9.0,r,135.0,r,31,r,158,r,31,r,-23.0,"r,1222, ",23.5," ,r,0425, ",38.8,"r,0723, ",0.0,"r,1026",-0.3,"r,0422",-3.5,"r,0405",3240.9,9.0,3240.9,r,341.2," ,r",10.5,r,16.9,r,4.2,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1949,361.8,,361.8,r,90.0,r,47.0,r,7.0,r,147.0,r,31,r,132,r,19,r,-22.9,"r,0102, ",25.0," ,r,0423, ",36.9,"r,0805, ",-0.7,"r,0922",-2.1,"r,0401",-13.1,"r,0331",3462.4,4.0,3462.4,r,425.8," ,r",9.3,r,15.1,r,3.5,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1950,513.8,,513.8,r,70.0,r,43.0,r,21.0,r,127.0,r,49,r,158,r,31,r,-26.6,"r,1217, ",19.0," ,r,0112, ",35.5,"r,0820, ",-0.8,"r,1006",-1.7,"r,0415",-3.4,"r,0414",3550.6,6.0,3550.6,r,357.7," ,r",9.6,r,15.9,r,3.3,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1951,448.2,,448.2,r,98.0,r,45.0,r,27.0,r,127.0,r,49,r,151,r,26,r,-34.0,"r,0227, ",33.3," ,r,0530, ",36.0,"r,0726, ",0.0,"r,1018",-0.5,"r,0401",-2.3,"r,0325",4147.9,9.0,4147.9,r,442.6," ,r",9.4,r,15.4,r,3.3,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1952,443.2,,443.2,r,88.0,r,45.0,r,11.0,r,133.0,r,38,r,152,r,24,r,-32.2,"r,1130, ",22.0," ,r,0504, ",37.7,"r,0713, ",-0.2,"r,1008",-1.7,"r,0411",-2.8,"r,0410",3091.1,1.0,3091.1,r,413.6," ,r",10.0,r,15.9,r,4.0,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1953,465.2,,465.2,r,104.0,r,60.0,r,8.0,r,123.0,r,27,r,151,r,25,r,-23.3,"r,1129, ",23.6," ,r,0603, ",38.9,"r,0704, ",-1.6,"r,1015",-0.4,"r,0419",-2.3,"r,0330",3390.3,3.0,3390.3,r,455.2," ,r",10.6,r,16.6,r,4.6,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1954,364.6,,364.6,r,92.0,r,44.0,r,28.0,r,129.0,r,60,r,145,r,11,r,-28.0,"r,1129,+",19.0," ,r,0607, ",36.7,"r,0731, ",-0.1,"r,1006",-0.9,"r,0507",-4.7,"r,0324",3764.9,9.0,3764.9,r,309.6," ,r",8.9,r,15.0,r,2.7,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1955,540.5,,540.5,r,78.0,r,42.0,r,10.0,r,122.0,r,32,r,155,r,37,r,-29.0,"r,0103, ",22.6," ,r,1224, ",36.9,"r,0815,+",-1.5,"r,1002",-0.8,"r,0422",-3.6,"r,0414",3602.4,4.0,3602.4,r,351.9," ,r",11.0,r,17.3,r,4.6,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1956,495.5,,495.5,r,,,,,11.0,r,127.0,r,39,r,161,r,31,r,-30.0,"r,0108,+",,,38.0,"r,0722, ",-0.1,"r,0927",-1.0,"r,0404",-2.6,"r,0322",3236.3,3.0,3236.3,r,,,10.7,r,17.3,r,4.1,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1957,434.4,,434.4,r,74.0,r,37.0,r,16.0,r,139.0,r,45,r,159,r,13,r,-29.4,"r,0203, ",29.2," ,r,0719, ",37.6,"r,0705, ",-0.1,"r,1013",-0.6,"r,0514",-3.0,"r,0422",3517.1,1.0,3517.1,r,354.1," ,r",9.5,r,16.0,r,3.0,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1958,366.2,,366.2,r,104.0,r,53.0,r,1.0,r,124.0,r,22,r,133,r,19,r,-18.7,"r,1225, ",25.5," ,r,0424, ",37.9,"r,0705, ",-0.1,"r,0926",-1.7,"r,0530",-2.2,"r,0405",3119.1,1.0,3119.1,r,543.4," ,r",10.5,r,16.3,r,4.7,r,KG000038353,Kyrgyzstan,BISHKEK
KG000038353,"BISHKEK, KG",42.83,74.58,756.0,1959,531.7,,531.7,r,83.0,r,48.0,r,12.0,r,133.0,r,46,r,157,r,14,r,-25.5,"r,0111, ",34.9," ,r,0408, ",36.5,"r,0812, ",-1.3,"r,1012",-0.3,"r,0503",-2.5,"r,0327",3457.9,9.0,3457.9,r,440.9," ,r",10.2,r,15.9,r,4.5,r,KG000038353,Kyrgyzstan,BISHKEK
