STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1882,,,,,94.0,r,68.0,r,,,,,,,,,,,,,28.4," ,r,0804, ",,,,,,,,,,,,,492.8," ,r",,,,,,,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1883,,,,,117.0,r,88.0,r,,,,,,,,,,,,,25.0," ,r,0720, ",,,,,,,,,,,,,711.7," ,r",,,,,,,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1885,,,,,125.0,r,85.0,r,,,,,,,,,,,,,25.0," ,r,0806,+",,,,,,,,,,,,,683.1," ,r",,,,,,,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1896,,,,,160.0,r,68.0,r,1.0, ,137.0,r,,,,,,,-20.1,"r,0101, ",19.1," ,r,0924, ",,,-2.0,"r,1104",-0.5,"r,0518",-3.1,"r,0407",,,,,592.4," ,r",,,,,3.2,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1897,,,,,149.0,r,75.0,r,1.0, ,117.0,r,,,,,,,-18.3,"r,0111, ",42.7," ,r,0819, ",,,0.0,"r,1007",0.0,"r,0417",-2.5,"r,0328",,,,,711.2," ,r",,,,,3.8,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1898,,,,,183.0,r,90.0,r,0.0, ,90.0,r,,,,,,,-11.7,"r,0212, ",15.2," ,r,0714, ",,,-2.5,"r,1014",-1.8,"r,0417",-2.6,"r,0414",,,,,688.6," ,r",,,,,4.9,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1899,,,,,168.0,r,86.0,r,0.0, ,87.0,r,,,,,,,-16.9,"r,1211, ",17.1," ,r,0606, ",,,-0.4,"r,1122",-1.0,"r,0504",-4.1,"r,0327",,,,,635.8," ,r",,,,,4.1,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1900,,,,,153.0,r,92.0,r,4.0, ,104.0,r,,,,,,,-20.5,"r,0218,+",32.5," ,r,0906, ",,,-0.2,"r,1115",-0.4,"r,0516",-2.4,"r,0501",,,,,700.1," ,r",,,,,3.7,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1901,,,,,157.0,r,68.0,r,1.0, ,121.0,r,,,,,,,-19.3,"r,0215, ",44.0," ,r,0817, ",,,-0.5,"r,1109",-0.9,"r,0507",-2.5,"r,0408",,,,,668.3," ,r",,,,,4.0,r,LG000026406,Latvia,LIEPAJA
LG000026406,"LIEPAJA, LG",56.4831,21.0167,7.0,1902,,,,,156.0,r,78.0,r,4.0, ,128.0,r,,,,,,,-21.2,"r,1204,+",22.8," ,r,0917, ",,,-1.4,"r,1003",-4.0,"r,0429",-4.0,"r,0429",,,,,572.4," ,r",,,,,2.6,r,LG000026406,Latvia,LIEPAJA
