STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LY000062271,"KUFRA, LY",24.22,23.3,436.0,1956,2008.9,,2008.9,I,0.0,I,0.0,I,0.0,I,4.0,I,0,I,321,I,179,I,-1.7,"I,0210, ",0.0," ,I,1231,+",43.9,"I,0725, ",0.0,"I,1221",-1.7,"I,0210",,,,,,,0.0," ,I",23.0,I,31.1,I,14.9,I,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,1957,2170.3,,2170.3,I,7.0,I,1.0,I,0.0,I,3.0,I,0,I,312,I,193,I,0.0,"I,0114,+",3.0," ,I,0512, ",43.3,"I,0508, ",,,0.0,"I,0114",,,507.1,1.0,507.1,I,5.6," ,I",23.2,I,31.2,I,15.2,I,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,1958,,,,,0.0,I,0.0,I,,,,,0,I,329,I,197,I,,,0.0," ,I,1231,+",43.9,"I,0418, ",,,,,,,,,,,0.0," ,I",,,31.6,I,,,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,1959,,,,,1.0,I,1.0,I,,,,,0,I,315,I,184,I,,,9.9," ,I,0104, ",43.9,"I,0602, ",,,,,,,,,,,9.9," ,I",,,30.6,I,,,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,1960,,,,,1.0,I,0.0,I,,,,,0,I,332,I,198,I,,,0.3," ,I,1208, ",42.8,"I,0706,+",,,,,,,563.0,0.0,563.0,I,0.3," ,I",,,31.7,I,,,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,2007,2576.0,,2576.0,S,,,,,0.0,S,0.0,S,0,S,316,S,201,S,3.5,"S,0103, ",,,44.8,"S,0508, ",,,,,,,,,,,,,24.8,S,31.7,S,17.8,S,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,2008,2670.0,,2670.0,S,,,,,0.0,S,0.0,S,0,S,305,S,190,S,1.2,"S,0116, ",,,46.3,"S,0611, ",,,,,,,425.2,2.0,425.2,S,,,24.7,S,31.6,S,17.8,S,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,2009,,,,,,,,,0.0,S,0.0,S,0,S,325,S,192,S,3.0,"S,0103, ",,,42.5,"S,0712, ",,,,,,,,,,,,,24.7,S,31.7,S,17.6,S,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,2010,2822.6,,2822.6,S,,,,,0.0,S,0.0,S,0,S,330,S,220,S,4.6,"S,0207,+",,,47.9,"S,0623, ",,,,,,,205.2,2.0,205.2,S,,,26.3,S,33.5,S,19.1,S,LY000062271,Libya,KUFRA
LY000062271,"KUFRA, LY",24.22,23.3,436.0,2013,,,,,,,,,0.0,S,0.0,S,0,S,307,S,190,S,5.0,"S,1230, ",,,46.3,"S,0602, ",,,,,,,,,,,,,24.8,S,31.8,S,17.8,S,LY000062271,Libya,KUFRA
