STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.3,3.0,856.3, ,,,,,,,,,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1947,,,,,52.0,E,30.0,E,0.0,E,0.0,E,,,,,,,3.7,"E,0221, ",29.2," ,E,1120, ",,,,,,,,,591.1,1.0,591.1,E,304.7," ,E",,,,,14.3,E,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1948,,,,,53.0,E,32.0,E,,,,,0.0,E,236.0,E,56.0,E,,,77.3," ,E,0214, ",41.7,"E,0526, ",,,,,,,,,,,506.5," ,E",,,24.9,E,,,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1950,,,,,47.0,E,26.0,E,,,,,0.0,E,240.0,E,50.0,E,,,55.7," ,E,1228, ",40.6,"E,0624, ",,,,,,,,,,,223.6," ,E",,,24.4,E,,,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1951,,,,,58.0,E,28.0,E,,,,,0.0,E,242.0,E,73.0,E,,,24.7," ,E,1130, ",40.6,"E,0906, ",,,,,,,,,,,275.4," ,E",,,25.5,E,,,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1952,,,,,60.0,E,34.0,E,0.0,E,0.0,E,,,,,,,2.2,"E,0304, ",24.9," ,E,1223, ",,,,,,,,,,,,,316.7," ,E",,,,,13.9,E,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1953,,,,,51.0,E,27.0,E,,,,,0.0,E,230.0,E,57.0,E,,,24.8," ,E,1010, ",42.8,"E,0608, ",,,,,,,,,,,265.7," ,E",,,24.5,E,,,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1954,1099.4,,1099.4,E,75.0,E,47.0,E,0.0,E,0.0,E,0.0,E,228.0,E,47.0,E,2.8,"E,0309,+",21.3," ,E,1031, ",41.1,"E,0604, ",,,,,,,,,,,339.4," ,E",19.2,E,24.3,E,14.1,E,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1955,,,,,42.0,E,16.0,E,0.0,E,0.0,E,,,,,,,3.3,"E,0306,+",21.1," ,E,1228, ",,,,,,,,,596.7,7.0,596.7,E,149.6," ,E",,,,,15.0,E,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1956,1007.0,,1007.0,S,,,,,0.0,S,0.0,S,0.0,S,240.0,S,64.0,S,3.9,"S,1221,+",,,42.2,"S,0723,+",,,,,,,,,,,,,19.4,S,25.1,S,13.8,S,LYE00147747,Libya,BENGHAZI BENINA
LYE00147747,"BENGHAZI BENINA, LY",32.08,20.27,132.0,1957,,,,,65.0,S,37.0,S,,,,,0.0,S,241.0,S,57.0,S,,,37.1," ,S,1027, ",41.7,"S,0528, ",,,,,,,,,,,374.3," ,S",,,25.0,S,,,LYE00147747,Libya,BENGHAZI BENINA
