STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1881,,,,,76.0,r,36.0,r,,,,,,,,,,,,,32.9," ,r,0711, ",,,,,,,,,,,,,322.8," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1882,,,,,121.0,r,52.0,r,,,,,,,,,,,,,19.7," ,r,0726, ",,,,,,,,,,,,,387.2," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1885,,,,,148.0,r,72.0,r,,,,,,,,,,,,,29.5," ,r,0819, ",,,,,,,,,,,,,667.8," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1886,,,,,95.0,r,55.0,r,,,,,,,,,,,,,28.9," ,r,0716, ",,,,,,,,,,,,,433.8," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1887,,,,,134.0,r,65.0,r,,,,,,,,,,,,,37.5," ,r,0819, ",,,,,,,,,,,,,577.9," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1888,,,,,111.0,r,53.0,r,,,,,,,,,,,,,8.4," ,r,0901, ",,,,,,,,,,,,,320.9," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1889,,,,,122.0,r,59.0,r,,,,,,,,,,,,,35.1," ,r,0715, ",,,,,,,,,,,,,442.2," ,r",,,,,,,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1891,,,,,,,,,3.0, ,143.0,r,,,,,,,-20.0,"r,1220, ",,,,,-0.3,"r,1028",-1.4,"r,0425",-2.3,"r,0405",,,,,,,,,,,2.9,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1893,,,,,153.0,r,78.0,r,29.0, ,177.0,r,,,,,,,-31.1,"r,0117, ",51.0," ,r,0811, ",,,-2.5,"r,1019",-2.3,"r,0517",-2.3,"r,0517",,,,,701.5," ,r",,,,,0.5,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1894,,,,,140.0,r,68.0,r,3.0, ,129.0,r,,,,,,,-23.5,"r,0104, ",31.2," ,r,0907, ",,,-1.5,"r,0918",-1.0,"r,0422",-3.0,"r,0329",,,,,541.3," ,r",,,,,2.8,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1895,,,,,160.0,r,68.0,r,10.0, ,147.0,r,,,,,,,-25.0,"r,0218, ",23.6," ,r,0727, ",,,0.0,"r,1019",-0.5,"r,0419",-4.9,"r,0418",,,,,535.8," ,r",,,,,2.2,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1896,,,,,136.0,r,61.0,r,5.0, ,140.0,r,,,,,,,-24.1,"r,0101, ",26.0," ,r,0212, ",,,-2.0,"r,1104",0.0,"r,0517",-5.3,"r,0409",,,,,546.4," ,r",,,,,2.9,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1897,,,,,143.0,r,75.0,r,8.0, ,131.0,r,,,,,,,-23.1,"r,0209, ",62.6," ,r,0531, ",,,-1.6,"r,1001",-0.6,"r,0422",-3.0,"r,0327",,,,,726.9," ,r",,,,,3.4,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1898,,,,,150.0,r,73.0,r,1.0, ,132.0,r,,,,,,,-21.1,"r,0126, ",28.1," ,r,0711, ",,,-1.4,"r,1008",-1.0,"r,0417",-5.0,"r,0413",,,,,600.5," ,r",,,,,3.3,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1899,,,,,163.0,r,77.0,r,3.0, ,127.0,r,,,,,,,-19.7,"r,1212, ",43.2," ,r,0719, ",,,-0.6,"r,1007",0.0,"r,0504",-3.0,"r,0404",,,,,697.0," ,r",,,,,2.8,r,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1900,,,,,150.0,r,87.0,r,8.0,E,141.0,E,,,,,,,-25.1,"E,1231, ",21.0," ,r,1229, ",,,0.0,"E,1021",-2.6,"E,0515",-2.6,"E,0515",,,,,601.6," ,r",,,,,2.5,E,LH000026730,Lithuania,VILNIUS
LH000026730,"VILNIUS, LH",54.6331,25.1,156.0,1901,,,,,135.0,r,70.0,r,12.0,E,145.0,E,74.0,E,65.0,E,3.0,E,-28.2,"E,0101, ",76.5," ,r,0606, ",33.6,"E,0803, ",-0.4,"E,1025",-2.5,"r,0506",-2.5,"r,0506",,,,,621.8," ,r",6.2,E,9.8,E,2.6,E,LH000026730,Lithuania,VILNIUS
