STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1947,236.1,,236.1,E,151,E,83,E,0.0,E,102.0,E,46.0,E,102.0,E,5.0,E,-14.8,"E,0129,+",31.2," ,E,1228, ",34.3,"E,0627, ",-0.2,"E,1025",-0.4,"E,0410",-4.3,"E,0315",,,,,683.2," ,E",9.2,E,13.2,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1948,71.0,,71.0,E,168,E,96,E,0.0,E,62.0,E,17.0,E,40.0,E,0.0,E,-13.2,"E,0220, ",45.5," ,E,0822, ",30.8,"E,0727, ",0.0,"E,1027",-1.0,"E,0324",-2.2,"E,0228",3173.7,7.0,3173.7,E,798.2," ,E",9.0,E,13.0,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1949,85.7,,85.7,E,135,E,70,E,0.0,E,92.0,E,9.0,E,83.0,E,1.0,E,-11.1,"E,0306, ",30.8," ,E,1024, ",34.0,"E,0713, ",-1.0,"E,1028",-0.6,"E,0510",-2.5,"E,0322",3639.8,8.0,3639.8,E,579.7," ,E",9.3,E,13.6,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1950,67.8,,67.8,E,186,E,115,E,0.0,E,83.0,E,35.0,E,70.0,E,0.0,E,-13.6,"E,1230, ",26.0," ,E,1202, ",29.4,"E,0704,+",0.0,"E,1025",0.0,"E,0426",-3.6,"E,0313",3267.7,7.0,3267.7,E,993.6," ,E",8.6,E,12.3,E,5.0,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1951,39.1,,39.1,E,182,E,108,E,0.0,E,66.0,E,4.0,E,54.0,E,0.0,E,-8.0,"E,0305, ",29.2," ,E,0902, ",29.1,"E,0731, ",-1.3,"E,1126",-0.5,"E,0430",-3.5,"E,0329",3740.0,0.0,3740.0,E,937.5," ,E",8.9,E,12.4,E,5.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1952,96.4,,96.4,E,172,E,109,E,0.0,E,111.0,E,24.0,E,66.0,E,5.0,E,-9.0,"E,0216, ",33.1," ,E,1130, ",34.0,"E,0701, ",-1.4,"E,1012",-0.5,"E,0405",-2.7,"E,0402",3389.4,4.0,3389.4,E,1007.8," ,E",8.3,E,11.9,E,4.7,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1953,62.3,,62.3,E,123,E,67,E,0.0,E,80.0,E,28.0,E,58.0,E,0.0,E,-13.5,"E,0208, ",26.0," ,E,0701, ",30.3,"E,0812, ",-1.5,"E,1107",-1.1,"E,0415",-9.4,"E,0217",3750.7,7.0,3750.7,E,551.3," ,E",9.1,E,12.9,E,5.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1954,31.8,,31.8,E,192,E,104,E,0.0,E,76.0,E,28.0,E,39.0,E,0.0,E,-17.4,"E,0201, ",27.0," ,E,0919, ",30.2,"E,0803, ",-1.1,"E,1110",-0.7,"E,0420",-4.8,"E,0302",3666.7,7.0,3666.7,E,846.5," ,E",7.9,E,11.6,E,4.2,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1955,46.4,,46.4,E,167,E,82,E,0.0,E,120.0,E,36.0,E,67.0,E,0.0,E,-12.4,"E,0216, ",22.4," ,E,1229, ",29.8,"E,0718, ",-1.3,"E,1018",-0.4,"E,0523",-4.5,"E,0331",3873.7,7.0,3873.7,E,785.4," ,E",8.0,E,11.8,E,4.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1956,17.2,,17.2,E,191,E,90,E,2.0,E,99.0,E,41.0,E,38.0,E,0.0,E,-20.2,"E,0202, ",30.2," ,E,0530, ",29.3,"E,0709, ",-1.0,"E,1031",0.0,"E,0421",-4.1,"E,0407",3951.4,4.0,3951.4,E,801.6," ,E",7.2,E,10.9,E,3.4,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1957,81.8,,81.8,E,166,E,92,E,0.0,E,76.0,E,13.0,E,45.0,E,4.0,E,-10.0,"E,0122, ",20.9," ,E,0925, ",34.5,"E,0706, ",-0.7,"E,0930",-2.1,"E,0508",-2.2,"E,0414",3536.2,2.0,3536.2,E,816.4," ,E",8.9,E,12.7,E,5.0,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1958,35.5,,35.5,E,201,E,120,E,0.0,E,93.0,E,21.0,E,50.0,E,0.0,E,-9.7,"E,0125, ",24.6," ,E,1102, ",27.9,"E,0712, ",-0.1,"E,1112",-1.5,"E,0418",-3.0,"E,0411",3814.7,7.0,3814.7,E,1032.6," ,E",8.4,E,12.0,E,4.7,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1959,105.8,,105.8,E,142,E,79,E,0.0,E,78.0,E,15.0,E,90.0,E,2.0,E,-6.7,"E,0116, ",35.7," ,E,0810, ",33.4,"E,0710, ",0.0,"E,1026",-1.2,"E,0421",-2.3,"E,0224",3320.6,6.0,3320.6,E,627.7," ,E",9.8,E,14.1,E,5.4,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1960,19.9,,19.9,E,198,E,103,E,0.0,E,68.0,E,23.0,E,41.0,E,0.0,E,-16.2,"E,0114, ",33.0," ,E,0731, ",29.0,"E,0623, ",-1.4,"E,1108",-0.5,"E,0412",-2.2,"E,0319",3323.0,0.0,3323.0,E,935.4," ,E",8.6,E,12.2,E,5.0,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1961,64.9,,64.9,E,182,E,111,E,0.0,E,67.0,E,17.0,E,51.0,E,0.0,E,-11.4,"E,1225, ",39.5," ,E,0602, ",30.3,"E,0702, ",-0.4,"E,1103",-0.8,"E,0329",-2.8,"E,0328",3473.5,5.0,3473.5,E,947.0," ,E",9.3,E,13.2,E,5.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1962,33.0,,33.0,E,165,E,77,E,0.0,E,105.0,E,24.0,E,49.0,E,0.0,E,-13.5,"E,1223, ",42.1," ,E,0330, ",30.1,"E,0710, ",-0.2,"E,1027",-0.1,"E,0516",-2.8,"E,0326",3780.9,9.0,3780.9,E,715.8," ,E",7.4,E,11.3,E,3.6,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1963,28.5,,28.5,E,159,E,81,E,0.0,E,101.0,E,62.0,E,47.0,E,0.0,E,-15.5,"E,0206, ",24.5," ,E,0326, ",30.2,"E,0722, ",-0.1,"E,1015",-2.1,"E,0403",-3.8,"E,0325",4211.9,9.0,4211.9,E,684.8," ,E",7.1,E,10.9,E,3.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1964,113.2,,113.2,E,138,E,67,E,0.0,E,92.0,E,30.0,E,74.0,E,2.0,E,-10.3,"E,0118, ",37.0," ,E,1116, ",35.1,"E,0718, ",-0.6,"E,1013",-2.6,"E,0408",-2.6,"E,0408",3736.1,1.0,3736.1,E,651.1," ,E",8.5,E,12.4,E,4.6,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1965,13.3,,13.3,E,197,E,121,E,0.0,E,92.0,E,24.0,E,41.0,E,0.0,E,-10.6,"E,0304, ",30.4," ,E,1209, ",28.6,"E,0630, ",-0.6,"E,1023",-1.6,"E,0420",-2.8,"E,0312",3767.8,8.0,3767.8,E,1122.7," ,E",7.9,E,11.6,E,4.2,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1966,55.6,,55.6,E,186,E,112,E,0.0,E,82.0,E,16.0,E,55.0,E,0.0,E,-14.6,"E,0119, ",42.4," ,E,0618, ",32.0,"E,0813, ",-0.8,"E,1030",-1.2,"E,0414",-3.5,"E,0326",3540.6,6.0,3540.6,E,1040.8," ,E",9.0,E,12.9,E,5.2,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1967,71.6,,71.6,E,177,E,86,E,0.0,E,86.0,E,14.0,E,73.0,E,0.0,E,-11.8,"E,0110, ",33.0," ,E,0702, ",31.8,"E,0718, ",-0.9,"E,1019",-1.2,"E,0504",-2.2,"E,0422",3543.1,1.0,3543.1,E,883.5," ,E",9.0,E,13.1,E,4.9,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1968,35.2,,35.2,E,185,E,107,E,0.0,E,113.0,E,30.0,E,57.0,E,0.0,E,-17.6,"E,0113, ",33.1," ,E,0923, ",31.8,"E,0702, ",-0.1,"E,1109",0.0,"E,0519",-2.5,"E,0412",3571.8,8.0,3571.8,E,839.4," ,E",8.2,E,12.0,E,4.5,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1969,97.4,,97.4,E,165,E,94,E,0.0,E,107.0,E,40.0,E,71.0,E,1.0,E,-14.2,"E,0214, ",21.7," ,E,1107, ",32.2,"E,0724, ",-1.6,"E,1102",-3.6,"E,0420",-3.6,"E,0420",3760.5,5.0,3760.5,E,710.1," ,E",8.5,E,12.6,E,4.4,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1970,61.9,,61.9,E,192,E,107,E,0.0,E,97.0,E,28.0,E,73.0,E,0.0,E,-12.4,"E,1231, ",49.5," ,E,0510, ",29.6,"E,0806, ",-0.2,"E,1114",-0.5,"E,0430",-3.6,"E,0403",3736.7,7.0,3736.7,E,967.2," ,E",8.4,E,12.2,E,4.5,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1971,77.8,,77.8,E,131,E,63,E,0.0,E,94.0,E,18.0,E,89.0,E,0.0,E,-14.4,"E,0306, ",26.2," ,E,1013, ",31.1,"E,0818,+",-1.6,"E,1015",-0.9,"E,0428",-2.6,"E,0323",3541.2,2.0,3541.2,E,598.0," ,E",8.9,E,13.3,E,4.4,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1972,50.7,,50.7,E,162,E,87,E,0.0,E,88.0,E,15.0,E,49.0,E,0.0,E,-13.5,"E,0130, ",57.1," ,E,0814, ",30.7,"E,0718, ",0.0,"E,1018",-2.3,"E,0426",-2.3,"E,0426",3564.9,9.0,3564.9,E,757.3," ,E",8.2,E,12.3,E,4.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1973,122.0,,122.0,E,147,E,76,E,0.0,E,120.0,E,14.0,E,81.0,E,0.0,E,-13.7,"E,1203, ",27.8," ,E,1016, ",31.5,"E,0906, ",-0.2,"E,1012",-1.8,"E,0422",-3.1,"E,0414",3748.2,2.0,3748.2,E,619.4," ,E",8.7,E,13.0,E,4.4,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1974,27.9,,27.9,E,197,E,109,E,0.0,E,63.0,E,2.0,E,60.0,E,0.0,E,-4.9,"E,1107, ",53.8," ,E,0617, ",31.5,"E,0816, ",-2.8,"E,1016",-0.4,"E,0415",-4.0,"E,0306",3352.1,1.0,3352.1,E,948.8," ,E",8.9,E,12.8,E,4.9,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1975,118.7,,118.7,E,136,E,78,E,0.0,E,94.0,E,7.0,E,81.0,E,0.0,E,-7.7,"E,1219, ",29.6," ,E,0925, ",32.0,"E,0804, ",-0.1,"E,1011",-3.2,"E,0411",-3.2,"E,0411",3652.6,6.0,3652.6,E,622.3," ,E",9.0,E,12.9,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1976,215.6,,215.6,E,135,E,63,E,0.0,E,93.0,E,22.0,E,85.0,E,12.0,E,-15.3,"E,1229, ",37.3," ,E,1130, ",34.9,"E,0716,+",-0.4,"E,1103",-1.3,"E,0429",-2.6,"E,0323",3505.9,9.0,3505.9,E,541.0," ,E",9.3,E,13.4,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1977,37.6,,37.6,E,172,E,101,E,0.0,E,75.0,E,13.0,E,43.0,E,0.0,E,-8.6,"E,0119,+",29.9," ,E,0220, ",30.4,"E,0613, ",-0.2,"E,1116",-0.4,"E,0417",-2.4,"E,0416",3555.4,4.0,3555.4,E,861.2," ,E",8.7,E,12.3,E,5.0,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1978,31.3,,31.3,E,162,E,91,E,0.0,E,102.0,E,34.0,E,38.0,E,0.0,E,-14.4,"E,1231, ",21.0," ,E,0506,+",30.1,"E,0730, ",-1.0,"E,1107",-0.8,"E,0418",-2.6,"E,0417",3699.2,2.0,3699.2,E,818.6," ,E",7.7,E,11.3,E,4.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1979,38.8,,38.8,E,172,E,107,E,1.0,E,115.0,E,36.0,E,56.0,E,0.0,E,-17.8,"E,0101, ",35.1," ,E,1210, ",29.8,"E,0728, ",-0.2,"E,1020",-1.6,"E,0506",-3.0,"E,0406",4079.6,6.0,4079.6,E,975.5," ,E",7.8,E,11.5,E,4.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1980,31.8,,31.8,E,173,E,103,E,0.0,E,93.0,E,27.0,E,36.0,E,0.0,E,-11.5,"E,1208, ",44.0," ,E,0816, ",29.7,"E,0802, ",-2.8,"E,1101",0.0,"E,0425",-2.6,"E,0321",3682.1,1.0,3682.1,E,942.0," ,E",7.7,E,11.2,E,4.2,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1981,53.1,,53.1,E,193,E,112,E,0.0,E,107.0,E,18.0,E,49.0,E,0.0,E,-9.9,"E,1213, ",33.4," ,E,0809, ",29.4,"E,0805, ",-0.4,"E,1013",-0.2,"E,0503",-5.0,"E,0227",3786.7,7.0,3786.7,E,1091.5," ,E",8.4,E,12.0,E,4.8,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1982,101.3,,101.3,E,168,E,96,E,0.0,E,90.0,E,14.0,E,74.0,E,1.0,E,-13.1,"E,0114, ",27.9," ,E,1006, ",32.4,"E,0709, ",-2.0,"E,1107",-1.9,"E,0430",-2.3,"E,0414",3746.8,8.0,3746.8,E,887.0," ,E",9.1,E,13.0,E,5.1,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1983,189.9,,189.9,E,169,E,100,E,0.0,E,92.0,E,21.0,E,79.0,E,2.0,E,-8.5,"E,0216, ",31.0," ,E,0525, ",34.2,"E,0731, ",0.0,"E,1024",-0.5,"E,0413",-3.2,"E,0404",3429.0,0.0,3429.0,E,860.3," ,E",9.1,E,13.0,E,5.2,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1984,58.8,,58.8,E,170,E,101,E,0.0,E,88.0,E,11.0,E,52.0,E,0.0,E,-7.9,"E,0217, ",33.1," ,E,1122, ",31.8,"E,0730, ",-0.6,"E,1113",-0.2,"E,0406",-3.4,"E,0312",3692.5,5.0,3692.5,E,930.2," ,E",8.3,E,11.8,E,4.8,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1985,33.4,,33.4,E,182,E,100,E,0.0,E,110.0,E,49.0,E,56.0,E,0.0,E,-17.7,"E,0109, ",38.1," ,E,0624, ",30.4,"E,0814, ",-1.1,"E,1028",-0.4,"E,0429",-3.7,"E,0321",3861.5,5.0,3861.5,E,892.2," ,E",7.5,E,11.2,E,3.8,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1986,78.3,,78.3,E,178,E,107,E,0.0,E,100.0,E,37.0,E,53.0,E,1.0,E,-15.7,"E,0209, ",38.3," ,E,0916, ",33.7,"E,0803, ",-0.2,"E,1027",-4.5,"E,0413",-4.5,"E,0413",3912.0,0.0,3912.0,E,1094.3," ,E",8.0,E,11.6,E,4.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1987,51.5,,51.5,E,170,E,107,E,0.0,E,99.0,E,38.0,E,49.0,E,0.0,E,-17.2,"E,0112, ",37.3," ,E,1014, ",29.9,"E,0630, ",-0.3,"E,1106",-0.1,"E,0401",-2.5,"E,0330",3950.7,7.0,3950.7,E,1132.2," ,E",7.7,E,11.2,E,4.3,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1988,34.1,,34.1,E,175,E,116,E,0.0,E,60.0,E,3.0,E,52.0,E,0.0,E,-9.7,"E,1122, ",48.8," ,E,1204, ",28.3,"E,0723, ",-1.1,"E,1031",-1.2,"E,0424",-2.4,"E,0410",3377.2,2.0,3377.2,E,1202.1," ,E",9.2,E,12.6,E,5.7,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1989,86.3,,86.3,E,134,E,84,E,0.0,E,71.0,E,13.0,E,84.0,E,0.0,E,-8.6,"E,1126, ",44.0," ,E,0622, ",31.4,"E,0722, ",-1.0,"E,1110",-0.4,"E,0427",-2.8,"E,0217",3340.6,6.0,3340.6,E,889.2," ,E",9.7,E,13.6,E,5.8,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1990,125.9,,125.9,E,148,E,96,E,0.0,E,55.0,E,10.0,E,70.0,E,3.0,E,-7.2,"E,1208, ",64.3," ,E,1028, ",33.2,"E,0804, ",-0.2,"E,1106",-1.0,"E,0419",-2.3,"E,0217",3069.0,0.0,3069.0,E,1020.2," ,E",9.9,E,13.8,E,5.9,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
LU000006590,"LUXEMBOURG AIRPORT, LU",49.6258,6.2033,376.0,1991,130.3,,130.3,E,125,E,64,E,0.0,E,85.0,E,23.0,E,79.0,E,1.0,E,-15.9,"E,0207, ",26.7," ,E,0103, ",33.7,"E,0711, ",-0.6,"E,1027",-0.3,"E,0424",-4.7,"E,0421",3601.7,7.0,3601.7,E,650.5," ,E",9.0,E,12.9,E,5.0,E,LU000006590,Luxembourg,LUXEMBOURG AIRPORT
