STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,1989,,,,,234.0,I,168.0,I,,,,,,,,,,,,,118.1," ,I,0325, ",,,,,,,,,,,,,3469.1," ,I",,,,,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2003,,,,,224.0,I,178.0,I,,,,,0.0,I,340.0,I,7.0,I,,,118.1," ,I,0108, ",36.7,"I,0226,+",,,,,,,,,,,3505.4," ,I",,,28.6,I,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2004,,,,,237.0,S,182.0,S,,,,,,,,,,,,,181.9," ,S,1217, ",,,,,,,,,,,,,3569.9," ,S",,,,,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2006,,,,,,,,,,,,,0.0,S,338.0,S,14.0,S,,,,,33.2,"S,0110, ",,,,,,,,,,,,,,,28.7,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2007,,,,,,,,,,,,,0.0,S,344.0,S,17.0,S,,,,,36.7,"S,0303,+",,,,,,,,,,,,,,,28.7,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2008,,,,,,,,,,,,,0.0,S,347.0,S,10.0,S,,,,,33.9,"S,0108,+",,,,,,,,,,,,,,,28.6,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2010,,,,,,,,,,,,,0.0,S,345.0,S,16.0,S,,,,,35.0,"S,0203,+",,,,,,,,,,,,,,,29.1,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2011,,,,,,,,,,,,,0.0,S,350.0,S,33.0,S,,,,,37.3,"S,0129,+",,,,,,,,,,,,,,,29.6,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2012,,,,,,,,,,,,,0.0,S,360.0,S,19.0,S,,,,,37.0,"S,0111,+",,,,,,,,,,,,,,,29.2,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2014,,,,,,,,,,,,,0.0,S,348.0,S,20.0,S,,,,,32.8,"S,0111, ",,,,,,,,,,,,,,,29.3,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2015,,,,,,,,,,,,,0.0,S,342.0,S,19.0,S,,,,,33.7,"S,0112, ",,,,,,,,,,,,,,,29.4,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2016,,,,,,,,,,,,,0.0,S,340.0,S,41.0,S,,,,,34.2,"S,0211,+",,,,,,,,,,,,,,,29.1,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2020,,,,,,,,,,,,,0.0,S,341.0,S,25.0,S,,,,,34.7,"S,0121,+",,,,,,,,,,,,,,,29.0,S,,,MA000067095,Madagascar,TOAMASINA
MA000067095,"TOAMASINA, MA",-18.117,49.4,6.0,2022,,,,,,,,,,,,,0.0,S,347.0,S,18.0,S,,,,,35.7,"S,0226,+",,,,,,,,,,,,,,,28.9,S,,,MA000067095,Madagascar,TOAMASINA
