STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1941,,,,,76,Q,49,Q,,,,,,,,,,,,,93.0," ,Q,0128, ",,,,,,,,,,,,,646.6," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1942,,,,,94,Q,57,Q,,,,,,,,,,,,,53.3," ,Q,0213, ",,,,,,,,,,,,,700.7," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1943,,,,,96,Q,62,Q,,,,,,,,,,,,,101.6," ,Q,0107, ",,,,,,,,,,,,,1048.0," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1944,,,,,85,Q,50,Q,,,,,,,,,,,,,57.4," ,Q,0226, ",,,,,,,,,,,,,745.1," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1945,,,,,96,Q,61,Q,,,,,,,,,,,,,70.1," ,Q,0316, ",,,,,,,,,,,,,948.8," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1946,,,,,112,Q,72,Q,,,,,,,,,,,,,95.5," ,Q,0208, ",,,,,,,,,,,,,1173.5," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1948,,,,,81,Q,51,Q,,,,,,,,,,,,,85.3," ,Q,0228, ",,,,,,,,,,,,,831.2," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1949,,,,,70,Q,35,Q,,,,,,,,,,,,,46.5," ,Q,1216, ",,,,,,,,,,,,,443.5," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1950,,,,,114,Q,73,Q,,,,,,,,,,,,,53.1," ,Q,0116, ",,,,,,,,,,,,,1156.3," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
MI000067693,"CHILEKA, MI",-15.683,34.967,767.0,1951,,,,,92,Q,56,Q,,,,,,,,,,,,,152.1," ,Q,0126, ",,,,,,,,,,,,,930.3," ,Q",,,,,,,MI000067693,Malawi,CHILEKA
