STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1961,,,,,,,,,,,,,0.0,S,363.0,S,162.0,S,,,,,33.9,"S,0714,+",,,,,,,,,,,,,,,30.8,S,,,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1962,,,,,,,,,,,,,0.0,S,362.0,S,152.0,S,,,,,35.0,"S,0530, ",,,,,,,,,,,,,,,30.7,S,,,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1963,,,,,,,,,,,,,0.0,S,364.0,S,181.0,S,,,,,33.9,"S,0830,+",,,,,,,,,,,,,,,30.9,S,,,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1964,,,,,,,,,0.0,S,0.0,S,0.0,S,363.0,S,144.0,S,17.8,"S,1203,+",,,35.0,"S,0521, ",,,,,,,,,,,,,26.3,S,30.8,S,21.8,S,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1968,3073.4,,3073.4,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,156.0,G,17.8,"G,0221, ",,,34.4,"G,0607, ",,,,,,,,,,,,,26.7,G,31.4,G,22.1,G,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1969,3087.6,,3087.6,G,97.0,I,26.0,I,0.0,G,0.0,G,0.0,G,365.0,G,166.0,G,17.9,"G,0306, ",13.0," ,I,0923, ",35.0,"G,0513, ",,,,,,,0.0,0.0,0.0,G,223.0," ,I",26.8,G,31.4,G,22.2,G,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1970,3087.8,,3087.8,G,104.0,I,40.0,I,0.0,G,0.0,G,0.0,G,365.0,G,145.0,G,18.5,"G,0203, ",26.0," ,I,1226, ",34.3,"G,0401, ",,,,,,,0.0,0.0,0.0,G,306.0," ,I",26.8,G,31.3,G,22.3,G,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1971,2945.6,,2945.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,115.0,G,17.3,"G,0129, ",,,35.3,"G,0608, ",,,,,,,0.0,0.0,0.0,G,,,26.4,G,30.8,G,22.0,G,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1972,3134.0,,3134.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,159.0,G,16.8,"G,0103, ",,,34.9,"G,0719, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,31.4,G,22.4,G,MY000048657,Malaysia,KUANTAN
MY000048657,"KUANTAN, MY",3.62,103.22,16.0,1973,3146.2,,3146.2,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,134.0,G,19.4,"G,0301, ",,,34.2,"G,0604, ",,,,,,,0.0,0.0,0.0,G,,,27.0,G,31.1,G,22.8,G,MY000048657,Malaysia,KUANTAN
