STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1956,,,,,,,,,,,,,0.0,I,182.0,I,30.0,I,,,,,37.2,"I,0722, ",,,,,,,,,,,,,,,21.8,I,,,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1957,898.8,,898.8,I,,,,,0.0,I,0.0,I,0.0,I,195.0,I,26.0,I,2.8,"I,0303, ",,,38.3,"I,0812, ",,,,,,,,,,,,,18.5,I,22.2,I,14.8,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1958,968.6,,968.6,I,,,,,0.0,I,0.0,I,0.0,I,184.0,I,20.0,I,4.4,"I,0306,+",,,36.7,"I,0824, ",,,,,,,780.9,9.0,780.9,I,,,18.9,I,22.5,I,15.3,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1959,,,,,,,,,0.0,I,0.0,I,0.0,I,184.0,I,13.0,I,4.4,"I,0130,+",,,35.6,"I,0715, ",,,,,,,,,,,,,18.5,I,21.9,I,15.0,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1960,,,,,,,,,,,,,0.0,I,199.0,I,15.0,I,,,,,34.4,"I,0809, ",,,,,,,666.4,4.0,666.4,I,,,,,22.7,I,,,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1961,956.3,,956.3,I,,,,,0.0,I,0.0,I,0.0,I,218.0,I,16.0,I,3.9,"I,0207,+",,,36.1,"I,0628, ",,,,,,,,,,,,,18.8,I,22.4,I,15.1,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1962,1010.1,,1010.1,I,,,,,0.0,I,0.0,I,0.0,I,199.0,I,29.0,I,2.2,"I,0201,+",,,41.1,"I,0712,+",,,,,,,703.7,7.0,703.7,I,,,18.8,I,22.2,I,15.3,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1963,924.8,,924.8,I,,,,,0.0,I,0.0,I,0.0,I,195.0,I,33.0,I,3.9,"I,0130,+",,,37.8,"I,0817, ",,,,,,,903.1,1.0,903.1,I,,,18.6,I,22.1,I,15.1,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1964,834.2,,834.2,I,,,,,0.0,I,0.0,I,0.0,I,191.0,I,10.0,I,5.0,"I,0105, ",,,32.8,"I,0724,+",,,,,,,693.7,7.0,693.7,I,,,18.4,I,21.7,I,15.1,I,MT000016597,Malta,LUQA
MT000016597,"LUQA, MT",35.85,14.4831,91.0,1965,907.6,,907.6,I,,,,,0.0,I,0.0,I,0.0,I,201.0,I,28.0,I,2.2,"I,0217, ",,,37.2,"I,0723,+",,,,,,,890.7,7.0,890.7,I,,,18.3,I,21.8,I,14.9,I,MT000016597,Malta,LUQA
