STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1961,,,,,182.0,Q,82.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,16.3,"G,0816, ",60.6," ,Q,0323, ",31.6,"G,0220,+",,,,,,,0.0,0.0,0.0,G,844.8," ,Q",24.7,G,27.3,G,22.1,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1962,2129.6,,2129.6,G,177.0,Q,88.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,16.2,"G,0803, ",119.4," ,Q,0404, ",31.5,"G,0330, ",,,,,,,0.0,0.0,0.0,G,1567.9," ,Q",23.9,G,26.4,G,21.4,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1963,2053.3,,2053.3,G,198.0,Q,83.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,16.2,"G,0801, ",155.8," ,Q,1211, ",30.9,"G,0207, ",,,,,,,0.0,0.0,0.0,G,1022.9," ,Q",23.9,G,26.6,G,21.2,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1964,2030.2,,2030.2,G,212.0,Q,99.0,Q,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,15.4,"G,0802, ",67.8," ,Q,0305, ",31.9,"G,1223,+",,,,,,,0.0,0.0,0.0,G,1203.7," ,Q",23.9,G,26.5,G,21.3,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1965,2017.3,,2017.3,G,204.0,Q,92.0,Q,0.0,G,0.0,G,0.0,G,364.0,G,0.0,G,16.0,"G,0807, ",133.0," ,Q,0107, ",31.7,"G,0310,+",,,,,,,0.2,2.0,0.2,G,1181.2," ,Q",23.9,G,26.5,G,21.3,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1966,2024.6,,2024.6,G,195.0,Q,83.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,15.8,"G,0804, ",79.2," ,Q,1231, ",31.7,"G,1227, ",,,,,,,0.0,0.0,0.0,G,920.7," ,Q",24.1,G,26.8,G,21.3,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1967,2094.3,,2094.3,G,219.0,Q,87.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,15.7,"G,0714, ",151.2," ,Q,0211, ",31.3,"G,0416, ",,,,,,,0.0,0.0,0.0,G,1293.1," ,Q",24.1,G,26.8,G,21.3,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1968,2005.4,,2005.4,G,197.0,Q,90.0,Q,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,14.5,"G,0720, ",200.2," ,Q,0329, ",30.5,"G,0122, ",,,,,,,0.0,0.0,0.0,G,1428.8," ,Q",23.5,G,26.2,G,20.9,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1969,2049.2,,2049.2,G,177.0,Q,76.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,2.0,G,15.9,"G,0810, ",106.1," ,Q,0517, ",32.6,"G,0326, ",,,,,,,0.0,0.0,0.0,G,821.3," ,Q",24.4,G,27.1,G,21.8,G,MP000061988,Mauritius,RODRIGUES
MP000061988,"RODRIGUES, MP",-19.683,63.417,59.0,1970,2241.6,,2241.6,G,224.0,Q,113.0,Q,0.0,G,0.0,G,0.0,G,365.0,G,1.0,G,15.2,"G,0823, ",57.1," ,Q,0301, ",33.9,"G,0115, ",,,,,,,0.0,0.0,0.0,G,1266.1," ,Q",24.1,G,27.0,G,21.3,G,MP000061988,Mauritius,RODRIGUES
