STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,1980,,,,,101,S,63,S,,,,,,,,,,,,,160.0," ,S,1103, ",,,,,,,,,,,,,1478.7," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2007,,,,,87,S,51,S,,,,,,,,,,,,,78.0," ,S,0416, ",,,,,,,,,,,,,723.3," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2009,,,,,98,S,63,S,,,,,,,,,,,,,74.9," ,S,0304, ",,,,,,,,,,,,,1175.3," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2010,,,,,93,S,62,S,,,,,,,,,,,,,59.9," ,S,0108, ",,,,,,,,,,,,,1041.0," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2011,,,,,122,S,76,S,,,,,,,,,,,,,59.7," ,S,0309, ",,,,,,,,,,,,,1179.8," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2012,,,,,122,S,75,S,,,,,,,,,,,,,162.1," ,S,0105, ",,,,,,,,,,,,,1307.3," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2013,,,,,111,S,55,S,,,,,,,,,,,,,102.6," ,S,1225, ",,,,,,,,,,,,,957.0," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2014,,,,,98,S,61,S,,,,,,,,,,,,,81.0," ,S,0330, ",,,,,,,,,,,,,1172.2," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2015,,,,,99,S,52,S,,,,,,,,,,,,,118.1," ,S,1107, ",,,,,,,,,,,,,1320.1," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2016,,,,,120,S,56,S,,,,,,,,,,,,,113.0," ,S,0201, ",,,,,,,,,,,,,1445.3," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2017,,,,,108,S,64,S,,,,,,,,,,,,,87.1," ,S,0226, ",,,,,,,,,,,,,1259.3," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2018,,,,,112,S,55,S,,,,,,,,,,,,,81.0," ,S,0115, ",,,,,,,,,,,,,1207.0," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2019,,,,,107,S,56,S,,,,,,,,,,,,,87.9," ,S,1210, ",,,,,,,,,,,,,1007.8," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2020,,,,,98,S,58,S,,,,,,,,,,,,,85.1," ,S,1128, ",,,,,,,,,,,,,1086.4," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2021,,,,,113,S,70,S,,,,,,,,,,,,,55.9," ,S,0105, ",,,,,,,,,,,,,1075.7," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
MFM00067005,"DZAOUDZI PAMANDZI, MF",-12.805,45.281,7.0,2022,,,,,143,S,59,S,,,,,,,,,,,,,80.0," ,S,0423, ",,,,,,,,,,,,,1179.5," ,S",,,,,,,MFM00067005,Mayotte [France],DZAOUDZI PAMANDZI
