STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1953,,,,,,,,,0.0,S,0.0,S,0.0,S,350.0,S,178.0,S,7.8,"S,0123, ",,,38.3,"S,0725, ",,,,,,,,,,,,,24.0,S,31.1,S,16.8,S,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1954,,,,,,,,,0.0,S,0.0,S,,,,,,,6.1,"S,0217, ",,,,,,,,,,,,,,,,,,,,,17.1,S,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1959,,,,,,,,,0.0,S,0.0,S,,,,,,,7.2,"S,0117, ",,,,,,,,,,,,,,,,,,,,,18.1,S,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1992,,,,,,,,,,,,,0.0,G,345.0,G,180.0,G,,,,,41.0,"G,0626, ",,,,,,,,,,,,,,,31.8,G,,,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1993,2321.8,,2321.8,G,,,,,0.0,G,0.0,G,0.0,G,347.0,G,182.0,G,9.0,"G,0305,+",,,40.6,"G,0803,+",,,,,,,,,,,,,24.9,G,31.6,G,18.2,G,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1994,2270.6,,2270.6,G,,,,,0.0,G,0.0,G,0.0,G,338.0,G,179.0,G,5.5,"G,0418, ",,,40.5,"G,0730,+",,,,,,,11.3,3.0,11.3,G,,,25.0,G,31.8,G,18.1,G,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1995,,,,,,,,,,,,,0.0,G,345.0,G,169.0,G,,,,,40.7,"G,0705, ",,,,,,,41.0,0.0,41.0, ,,,,,31.8,G,,,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,1997,2510.1,,2510.1,G,,,,,0.0,G,0.0,G,0.0,G,344.0,G,195.0,G,5.8,"G,0112, ",,,41.5,"G,0803,+",,,,,,,,,,,,,25.4,G,32.3,G,18.5,G,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,2006,,,,,18.0,S,9.0,S,,,,,,,,,,,,,62.0," ,S,0902, ",,,,,,,,,,,,,162.9," ,S",,,,,,,MXM00076405,Mexico,LA PAZ (CITY)
MXM00076405,"LA PAZ CITY, MX",24.167,-110.3,18.0,2008,,,,,16.0,S,13.0,S,,,,,,,,,,,,,37.6," ,S,0911, ",,,,,,,,,,,,,120.9," ,S",,,,,,,MXM00076405,Mexico,LA PAZ (CITY)
