STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1887,,,,,103,r,45,r,,,,,,,,,,,,,46.5," ,r,0720, ",,,,,,,,,,,,,494.9," ,r",,,,,,,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1888,,,,,75,r,41,r,,,,,,,,,,,,,41.0," ,r,0427, ",,,,,,,,,,,,,464.1," ,r",,,,,,,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1889,,,,,89,r,58,r,,,,,,,,,,,,,45.0," ,r,0829, ",,,,,,,,,,,,,622.6," ,r",,,,,,,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1890,,,,,80,r,44,r,,,,,,,,,,,,,41.0," ,r,1112, ",,,,,,,,,,,,,463.1," ,r",,,,,,,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1891,,,,,75,r,38,r,2.0, ,120.0,r,,,,,,,-22.2,"r,0131, ",43.0," ,r,0808, ",,,0.0,"r,1013",-1.6,"r,0403",-2.6,"r,0326",,,,,398.8," ,r",,,,,4.4,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1892,494.1,,494.1,r,87,r,38,r,6.0,r,124.0,r,48.0,r,165.0,r,28.0,r,-24.2,"r,0125, ",22.0," ,r,0304, ",38.6,"r,0816, ",-0.3,"r,1028",-0.1,"r,0411",-4.1,"r,0410",,,,,358.9," ,r",10.3,r,15.6,r,5.0,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1893,,,,,101,r,43,r,6.0,r,121.0,r,,,,,,,-20.4,"r,0205, ",34.5," ,r,0901, ",,,-1.1,"r,1029",0.0,"r,0426",-3.3,"r,0412",,,,,415.5," ,r",,,,,4.2,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1894,,,,,84,r,45,r,4.0,r,100.0,r,,,,,,,-22.6,"r,0105, ",68.0," ,r,0517, ",,,-1.8,"r,1101",-0.3,"r,0417",-3.6,"r,0330",,,,,422.7," ,r",,,,,5.3,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1895,390.9,,390.9,r,98,r,52,r,2.0,r,96.0,r,34.0,r,128.0,r,17.0,r,-21.8,"r,1231, ",31.7," ,r,0914, ",38.6,"r,0802,+",-0.1,"r,1102",-0.1,"r,0421",-3.6,"r,0324",,,,,407.7," ,r",10.3,r,14.6,r,5.9,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1896,469.9,,469.9,r,74,r,30,r,4.0,r,107.0,r,55.0,r,150.0,r,23.0,r,-19.4,"r,0103, ",37.0," ,r,0505, ",37.9,"r,0726, ",-1.0,"r,1017",-3.1,"r,0410",-3.1,"r,0410",3596.0,0.0,3596.0,r,280.3," ,r",9.9,r,14.9,r,5.0,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1897,425.6,,425.6,r,71,r,46,r,0.0,r,104.0,r,41.0,r,146.0,r,16.0,r,-17.4,"r,0110, ",35.7," ,r,1005, ",36.3,"r,0723, ",-2.1,"r,1105",-3.0,"r,0324",-3.0,"r,0324",2984.3,3.0,2984.3,r,507.5," ,r",10.3,r,15.0,r,5.6,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1898,296.2,,296.2,r,68,r,34,r,0.0,r,107.0,r,22.0,r,129.0,r,9.0,r,-16.1,"r,0127, ",41.0," ,r,0709, ",36.6,"r,0630, ",-6.5,"r,1012",-1.4,"r,0417",-6.9,"r,0319",3397.8,8.0,3397.8,r,349.4," ,r",10.2,r,15.1,r,5.3,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1899,287.0,,287.0,r,90,r,41,r,0.0,r,121.0,r,27.0,r,149.0,r,6.0,r,-17.7,"r,1220, ",36.5," ,r,0709, ",35.6,"r,0702, ",-1.3,"r,1010",-0.5,"r,0406",-3.7,"r,0331",3007.9,9.0,3007.9,r,362.6," ,r",10.1,r,15.5,r,4.8,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1900,419.2,,419.2,r,88,r,57,r,0.0,r,97.0,r,17.0,r,161.0,r,33.0,r,-17.5,"r,0309, ",24.0," ,r,1202, ",36.1,"r,0812, ",-3.9,"r,1107",-4.0,"r,0325",-4.0,"r,0325",3398.3,3.0,3398.3,r,480.7," ,r",10.6,r,16.0,r,5.1,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1901,,,,,65,r,41,r,2.0, ,112.0,r,,,,,,,-20.5,"r,0105, ",29.0," ,r,1011, ",,,-0.6,"r,1022",0.0,"r,0409",-7.0,"r,0303",,,,,450.2," ,r",,,,,5.4,r,MD000033815,Moldova,KISINEV
MD000033815,"KISINEV, MD",47.02,28.87,173.0,1902,,,,,51,r,34,r,,,,,,,,,,,,,27.5," ,r,0304, ",,,,,,,,,,,,,330.1," ,r",,,,,,,MD000033815,Moldova,KISINEV
