STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1961,126.0,,126.0,G,38.0,I,23.0,I,94.0,G,210.0,G,113.0,G,92.0,G,7.0,G,-36.5,"G,0109, ",29.0," ,I,0715, ",37.5,"G,0709, ",-2.2,"G,0929",-0.4,"G,0520",-3.6,"G,0514",,,,,239.0," ,I",1.5,G,8.5,G,-5.4,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1962,136.3,,136.3,G,47.0,I,25.0,I,93.0,G,216.0,G,135.0,G,87.0,G,4.0,G,-31.5,"G,1230, ",55.0," ,I,0825, ",35.1,"G,0614, ",-2.1,"G,0921",-0.6,"G,0506",-5.0,"G,0502",6364.9,9.0,6364.9,G,299.0," ,I",1.5,G,8.2,G,-5.2,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1963,171.1,,171.1,G,31.0,I,19.0,I,84.0,G,214.0,G,117.0,G,106.0,G,3.0,G,-33.7,"G,0119, ",18.0," ,I,0819, ",35.6,"G,0617, ",-1.6,"G,0930",-0.6,"G,0522",-2.6,"G,0507",6117.4,4.0,6117.4,G,139.0," ,I",2.1,G,8.8,G,-4.6,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1964,165.7,,165.7,G,43.0,I,19.0,I,106.0,G,211.0,G,130.0,G,99.0,G,5.0,G,-32.2,"G,0204, ",39.0," ,I,0617, ",34.0,"G,0627, ",-2.4,"G,0917",-3.0,"G,0510",-3.0,"G,0510",6380.1,1.0,6380.1,G,237.0," ,I",1.0,G,7.6,G,-5.6,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1965,128.5,,128.5,G,38.0,I,25.0,I,109.0,G,219.0,G,127.0,G,98.0,G,6.0,G,-33.8,"G,0115, ",36.0," ,I,0724, ",35.3,"G,0623, ",-0.1,"G,0913",-0.6,"G,0518",-4.0,"G,0516",6254.5,5.0,6254.5,G,242.0," ,I",1.2,G,8.3,G,-6.0,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1966,132.4,,132.4,G,43.0,I,29.0,I,119.0,G,205.0,G,147.0,G,112.0,G,6.0,G,-37.9,"G,0119, ",31.0," ,I,0706, ",36.8,"G,0521, ",-0.9,"G,0910",-0.7,"G,0520",-3.1,"G,0506",6840.4,4.0,6840.4,G,273.0," ,I",-0.2,G,6.6,G,-7.0,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1967,182.9,,182.9,G,29.0,I,19.0,I,101.0,G,199.0,G,127.0,G,107.0,G,2.0,G,-33.8,"G,0113, ",23.0," ,I,0718, ",34.6,"G,0818, ",-2.5,"G,0909",-0.5,"G,0509",-6.2,"G,0414",6122.2,2.0,6122.2,G,169.0," ,I",2.1,G,8.7,G,-4.6,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1968,229.0,,229.0,G,43.0,I,26.0,I,109.0,G,219.0,G,127.0,G,99.0,G,12.0,G,-34.0,"G,0117, ",32.0," ,I,0629, ",34.7,"G,0720,+",-1.2,"G,0919",-3.8,"G,0515",-3.8,"G,0515",6426.3,3.0,6426.3,G,275.0," ,I",0.8,G,7.2,G,-5.6,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1969,,,,,35.0,I,26.0,I,121.0,G,222.0,G,,,,,,,-38.3,"G,0221,+",31.0," ,I,0715, ",,,-3.3,"G,0921",-0.1,"G,0524",-2.4,"G,0519",,,,,262.0," ,I",,,,,-7.5,G,MG000044259,Mongolia,CHOIBALSAN
MG000044259,"CHOIBALSAN, MG",48.083,114.55,747.0,1970,228.0,,228.0,G,39.0,I,25.0,I,118.0,G,214.0,G,134.0,G,105.0,G,8.0,G,-34.4,"G,0103, ",25.0," ,I,0722, ",39.1,"G,0627, ",-1.8,"G,0927",-1.6,"G,0512",-5.7,"G,0504",6903.4,4.0,6903.4,G,252.0," ,I",0.1,G,6.6,G,-6.4,G,MG000044259,Mongolia,CHOIBALSAN
