STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1967,,,,,,,,,,,,,0.0,I,243.0,I,101.0,I,,,,,40.0,"I,0812,+",,,,,,,,,,,,,,,25.6,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1980,,,,,,,,,,,,,0.0,I,220.0,I,94.0,I,,,,,40.0,"I,0817,+",,,,,,,,,,,,,,,26.6,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1983,,,,,19.0,I,5.0,I,,,,,0.0,I,251.0,I,107.0,I,,,8.9," ,I,0511, ",40.6,"I,0714, ",,,,,,,,,,,35.3," ,I",,,27.3,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1987,,,,,24.0,I,10.0,I,,,,,,,,,,,,,43.9," ,I,1026, ",,,,,,,,,,,,,130.5," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1988,,,,,31.0,I,15.0,I,,,,,,,,,,,,,32.0," ,I,1110, ",,,,,,,,,,,,,209.4," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1990,,,,,37.0,I,14.0,I,,,,,,,,,,,,,23.1," ,I,0310, ",,,,,,,,,,,,,114.0," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1992,,,,,32.0,I,16.0,I,,,,,0.0,I,234.0,I,81.0,I,,,16.3," ,I,1221, ",38.6,"I,0722, ",,,,,,,,,,,121.3," ,I",,,25.1,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1993,,,,,26.0,I,15.0,I,,,,,0.0,I,211.0,I,110.0,I,,,19.1," ,I,1030, ",43.2,"I,0913, ",,,,,,,,,,,113.3," ,I",,,25.5,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1995,,,,,29.0,I,15.0,I,,,,,,,,,,,,,106.9," ,I,1203, ",,,,,,,,,,,,,265.3," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1996,,,,,35.0,I,17.0,I,,,,,,,,,,,,,29.0," ,I,0204, ",,,,,,,,,,,,,174.4," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1997,,,,,24.0,I,12.0,I,,,,,,,,,,,,,15.0," ,I,0329, ",,,,,,,,,,,,,100.7," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,1998,,,,,19.0,I,5.0,I,,,,,,,,,,,,,16.0," ,I,0208, ",,,,,,,,,,,,,56.6," ,I",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,2000,,,,,,,,,,,,,0.0,I,271.0,I,116.0,I,,,,,40.6,"I,0720, ",,,,,,,,,,,,,,,27.6,I,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,2023,,,,,8.0,S,5.0,S,,,,,,,,,,,,,25.9," ,S,0217, ",,,,,,,,,,,,,59.7," ,S",,,,,,,MO000060265,Morocco,OUARZAZATE
MO000060265,"OUARZAZATE, MO",30.93,-6.9,1139.0,2024,,,,,21.0,S,9.0,S,,,,,,,,,,,,,46.5," ,S,0906, ",,,,,,,,,,,,,126.6," ,S",,,,,,,MO000060265,Morocco,OUARZAZATE
