STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1943,560.0,,560.0,X,66.0,X,47.0,X,0.0,X,0.0,X,0.0,X,215.0,X,16.0,X,2.2,"X,1117, ",34.3," ,X,1223, ",36.1,"X,0818, ",,,,,,,,,,,541.3," ,X",17.5,X,22.2,X,12.9,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1944,465.7,,465.7,X,72.0,X,53.0,X,0.0,X,1.0,X,0.0,X,214.0,X,7.0,X,-0.6,"X,0221, ",87.6," ,X,0225, ",36.1,"X,0502, ",,,-0.6,"X,0221",,,968.3,3.0,968.3,X,939.5," ,X",17.0,X,21.9,X,12.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1945,534.5,,534.5,X,48.0,X,24.0,X,0.0,X,1.0,X,0.0,X,240.0,X,20.0,X,0.0,"X,0108, ",68.6," ,X,0114, ",36.7,"X,0421,+",,,0.0,"X,0108",,,891.8,8.0,891.8,X,292.8," ,X",17.8,X,22.5,X,13.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1946,,,,,77.0,X,43.0,X,0.0,X,0.0,X,,,,,,,1.1,"X,0125, ",31.0," ,X,1218, ",,,,,,,,,882.1,1.0,882.1, ,477.9," ,X",,,,,12.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1947,439.0,,439.0,X,65.0,X,43.0,X,0.0,X,0.0,X,0.0,X,222.0,X,5.0,X,1.1,"X,1222,+",55.1," ,X,1129, ",32.8,"X,1105,+",,,,,,,,,,,604.1," ,X",17.5,X,21.9,X,13.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1948,447.2,,447.2,X,63.0,X,34.0,X,0.0,X,0.0,X,0.0,X,225.0,X,7.0,X,2.8,"X,0104,+",28.4," ,X,0123, ",37.8,"X,0820, ",,,,,,,735.0,0.0,735.0,X,289.1," ,X",17.6,X,22.4,X,12.8,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1949,606.2,,606.2,X,54.0,X,37.0,X,0.0,X,0.0,X,0.0,X,237.0,X,14.0,X,1.1,"X,0202,+",52.8," ,X,1127, ",37.8,"X,0810, ",,,,,,,766.9,9.0,766.9,X,641.2," ,X",17.9,X,23.0,X,12.9,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950,612.9,,612.9,X,57.0,X,38.0,X,0.0,X,0.0,X,0.0,X,232.0,X,4.0,X,2.2,"X,0120, ",68.6," ,X,1007, ",34.4,"X,0923, ",,,,,,,755.5,5.0,755.5,X,475.3," ,X",17.9,X,22.7,X,13.0,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1951,515.6,,515.6,X,70.0,X,44.0,X,0.0,X,0.0,X,0.0,X,220.0,X,10.0,X,2.8,"X,0306,+",55.6," ,X,1109, ",38.3,"X,0823, ",,,,,,,803.5,5.0,803.5,X,557.6," ,X",17.5,X,22.3,X,12.7,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1952,517.4,,517.4,X,64.0,X,43.0,X,0.0,X,0.0,X,0.0,X,224.0,X,8.0,X,2.2,"X,1209,+",51.1," ,X,0113, ",36.1,"X,0812, ",,,,,,,799.8,8.0,799.8,X,620.1," ,X",17.6,X,22.5,X,12.7,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1953,,,,,50.0,X,32.0,X,0.0,X,0.0,X,,,,,,,0.6,"X,0111,+",36.8," ,X,0116, ",,,,,,,,,,,,,360.0," ,X",,,,,13.3,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1954,482.4,,482.4,X,56.0,X,39.0,X,0.0,X,0.0,X,0.0,X,211.0,X,16.0,X,0.6,"X,0109, ",52.8," ,X,1021, ",37.8,"X,0818, ",,,,,,,849.9,9.0,849.9,X,458.3," ,X",17.3,X,21.7,X,12.9,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1955,,,,,73.0,X,63.0,X,0.0,X,0.0,X,,,,,,,5.0,"X,1228, ",65.8," ,X,1031, ",,,,,,,,,,,,,891.0," ,X",,,,,14.8,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1956,539.5,,539.5,X,55.0,X,32.0,X,0.0,X,0.0,X,0.0,X,200.0,X,10.0,X,0.6,"X,1204, ",40.6," ,X,1119, ",34.4,"X,0516, ",,,,,,,746.9,9.0,746.9,X,418.0," ,X",17.1,X,21.8,X,12.4,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1957,546.6,,546.6,X,58.0,X,42.0,X,0.0,X,0.0,X,0.0,X,207.0,X,8.0,X,0.6,"X,1220, ",36.1," ,X,0117, ",37.2,"X,0903, ",,,,,,,926.9,9.0,926.9,X,513.4," ,X",17.5,X,21.9,X,13.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1958,544.5,,544.5,X,66.0,X,38.0,X,0.0,X,0.0,X,0.0,X,222.0,X,10.0,X,2.8,"X,0118, ",39.6," ,X,1207, ",40.6,"X,0509, ",,,,,,,762.5,5.0,762.5,X,451.1," ,X",18.0,X,22.3,X,13.6,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1959,466.9,,466.9,X,67.0,X,40.0,X,0.0,X,0.0,X,0.0,X,190.0,X,5.0,X,2.8,"X,0105, ",32.3," ,X,0521, ",34.4,"X,0816, ",,,,,,,694.6,6.0,694.6,X,483.8," ,X",17.6,X,21.7,X,13.6,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1960,505.2,,505.2,X,94.0,X,58.0,X,0.0,X,0.0,X,0.0,X,213.0,X,6.0,X,2.8,"X,1223,+",38.1," ,X,1217, ",34.4,"X,0915,+",,,,,,,704.6,6.0,704.6,X,664.7," ,X",17.8,X,21.9,X,13.6,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1961,704.9,,704.9,X,62.0,X,39.0,X,0.0,X,0.0,X,0.0,X,259.0,X,12.0,X,2.8,"X,0113,+",43.2," ,X,1117, ",38.9,"X,0816,+",,,,,,,703.0,0.0,703.0,X,407.6," ,X",18.6,X,23.1,X,14.2,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1962,653.1,,653.1,X,81.0,X,56.0,X,0.0,X,0.0,X,0.0,X,206.0,X,11.0,X,2.2,"X,0204, ",52.1," ,X,1114, ",37.2,"X,0507, ",,,,,,,662.1,1.0,662.1,X,684.4," ,X",18.1,X,22.5,X,13.8,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1963,484.5,,484.5,X,94.0,X,54.0,X,0.0,X,0.0,X,0.0,X,221.0,X,0.0,X,3.9,"X,1224, ",107.4," ,X,1202, ",31.1,"X,1011,+",,,,,,,658.2,2.0,658.2,X,927.1," ,X",17.9,X,21.9,X,14.0,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.2,2.0,694.2,X,,,,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1967,331.0,,331.0,X,67.0,X,38.0,X,0.0,X,0.0,X,0.0,X,221.0,X,11.0,X,1.1,"X,0115, ",44.2," ,X,1108, ",36.1,"X,0822, ",,,,,,,,,,,459.6," ,X",16.6,X,22.2,X,11.1,X,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1968,,,,,87.0,X,46.0,X,,,,,,,,,,,,,65.8," ,X,1128, ",,,,,,,,,,,,,568.4," ,X",,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOW00013017,Morocco,KENITRA PORT LYAUTEY
