STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1951,,,,,98.0,Q,47.0,Q,0.0,Q,0.0,Q,0.0,Q,362.0,Q,22.0,Q,11.3,"Q,0720, ",66.0," ,Q,0320, ",37.2,"Q,1127, ",,,,,,,3.7,7.0,3.7,Q,700.3," ,Q",23.8,Q,27.9,Q,19.7,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1952,2100.1,,2100.1,Q,123.0,Q,70.0,Q,0.0,Q,0.0,Q,0.0,Q,366.0,Q,27.0,Q,14.5,"Q,0614, ",90.5," ,Q,0526, ",34.5,"Q,0228, ",,,,,,,0.0,0.0,0.0,Q,1076.5," ,Q",24.4,Q,28.3,Q,20.5,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1953,2219.3,,2219.3,Q,122.0,Q,59.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,40.0,Q,12.8,"Q,0801, ",51.4," ,Q,0110, ",36.2,"Q,0214, ",,,,,,,0.9,9.0,0.9,Q,691.6," ,Q",24.3,Q,28.4,Q,20.1,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1954,2113.0,,2113.0,Q,104.0,Q,58.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,30.0,Q,11.3,"Q,0729, ",106.1," ,Q,1110, ",34.4,"Q,0220, ",,,,,,,2.8,8.0,2.8,Q,882.5," ,Q",24.2,Q,28.3,Q,20.1,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1955,2074.0,,2074.0,Q,120.0,Q,53.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,23.0,Q,10.5,"Q,0812,+",173.3," ,Q,1116, ",34.2,"Q,1224,+",,,,,,,4.2,2.0,4.2,Q,997.7," ,Q",23.7,Q,27.9,Q,19.6,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1956,2093.2,,2093.2,Q,90.0,Q,46.0,Q,0.0,Q,0.0,Q,0.0,Q,365.0,Q,22.0,Q,13.6,"Q,0725, ",167.6," ,Q,0628, ",33.7,"Q,0325, ",,,,,,,0.0,0.0,0.0,Q,926.8," ,Q",24.2,Q,28.3,Q,20.1,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1957,2127.2,,2127.2,Q,92.0,Q,51.0,Q,0.0,Q,0.0,Q,0.0,Q,363.0,Q,29.0,Q,13.6,"Q,0805, ",88.0," ,Q,0703, ",34.2,"Q,0215, ",,,,,,,0.9,9.0,0.9,Q,766.1," ,Q",24.7,Q,28.7,Q,20.7,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1958,2387.4,,2387.4,Q,105.0,Q,69.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,37.0,Q,12.6,"Q,0618, ",110.5," ,Q,0605, ",34.7,"Q,0302, ",,,,,,,1.6,6.0,1.6,Q,1019.2," ,Q",24.5,Q,28.5,Q,20.6,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1959,2199.4,,2199.4,Q,107.0,Q,59.0,Q,0.0,Q,0.0,Q,0.0,Q,365.0,Q,26.0,Q,13.6,"Q,0902, ",66.5," ,Q,1219, ",34.2,"Q,1218,+",,,,,,,0.0,0.0,0.0,Q,956.0," ,Q",24.3,Q,28.4,Q,20.3,Q,MZ000067323,Mozambique,INHAMBANE
MZ000067323,"INHAMBANE, MZ",-23.867,35.383,15.0,1960,2023.6,,2023.6,Q,111.0,Q,58.0,Q,0.0,Q,0.0,Q,0.0,Q,364.0,Q,8.0,Q,12.8,"Q,0721, ",97.0," ,Q,1229, ",33.0,"Q,1026, ",,,,,,,2.6,6.0,2.6,Q,981.7," ,Q",23.8,Q,27.8,Q,19.9,Q,MZ000067323,Mozambique,INHAMBANE
