STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1949,,,,,28,I,16,I,,,,,,,,,,,,,28.0," ,I,0126, ",,,,,,,,,,,,,152.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1950,,,,,32,I,22,I,,,,,,,,,,,,,49.0," ,I,0313, ",,,,,,,,,,,,,264.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1951,,,,,19,I,7,I,,,,,,,,,,,,,33.0," ,I,1102, ",,,,,,,,,,,,,84.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1952,,,,,25,I,14,I,,,,,,,,,,,,,61.0," ,I,0219, ",,,,,,,,,,,,,197.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1953,,,,,21,I,12,I,,,,,,,,,,,,,43.0," ,I,1218, ",,,,,,,,,,,,,144.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1954,,,,,28,I,16,I,,,,,,,,,,,,,38.0," ,I,0323, ",,,,,,,,,,,,,196.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1955,,,,,27,I,13,I,,,,,,,,,,,,,25.0," ,I,1127, ",,,,,,,,,,,,,142.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1956,,,,,34,I,20,I,,,,,,,,,,,,,56.0," ,I,0307, ",,,,,,,,,,,,,336.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1957,,,,,32,I,19,I,,,,,,,,,,,,,100.0," ,I,1229, ",,,,,,,,,,,,,232.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1958,,,,,18,I,8,I,,,,,,,,,,,,,21.0," ,I,0214, ",,,,,,,,,,,,,71.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1959,,,,,19,I,11,I,,,,,,,,,,,,,10.0," ,I,0415, ",,,,,,,,,,,,,67.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1960,,,,,20,I,11,I,,,,,,,,,,,,,16.0," ,I,0122, ",,,,,,,,,,,,,93.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1961,,,,,36,I,19,I,,,,,,,,,,,,,27.0," ,I,0429, ",,,,,,,,,,,,,184.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1962,,,,,15,I,5,I,,,,,,,,,,,,,62.0," ,I,0207, ",,,,,,,,,,,,,111.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1963,,,,,42,I,25,I,,,,,,,,,,,,,20.0," ,I,0126, ",,,,,,,,,,,,,210.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1964,,,,,14,I,6,I,,,,,,,,,,,,,6.0," ,I,1004, ",,,,,,,,,,,,,34.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1965,,,,,17,I,8,I,,,,,,,,,,,,,28.0," ,I,0131, ",,,,,,,,,,,,,125.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1966,,,,,25,I,12,I,,,,,,,,,,,,,14.0," ,I,0118, ",,,,,,,,,,,,,106.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1967,,,,,27,I,15,I,,,,,,,,,,,,,40.0," ,I,0305, ",,,,,,,,,,,,,216.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
WA004191820,"J.G.H. VAN DER WATH AIRP, WA",-26.53,18.12,1077.0,1968,,,,,21,I,11,I,,,,,,,,,,,,,24.0," ,I,0330, ",,,,,,,,,,,,,123.0," ,I",,,,,,,WA004191820,Namibia,J.G.H. VAN DER WATH AIRP
