STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1971,678.4,,678.4,G,,,,,0.0,G,13.0,G,0.0,G,244.0,G,0.0,G,-1.8,"G,0202, ",,,29.6,"G,0715, ",,,0.0,"G,0208",,,,,,,,,17.4,G,23.1,G,11.7,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1972,754.6,,754.6,G,,,,,0.0,G,5.0,G,0.0,G,258.0,G,5.0,G,-1.2,"G,0218, ",,,33.0,"G,0612, ",-0.1,"G,1223",-1.2,"G,0218",,,973.7,7.0,973.7,G,,,17.7,G,23.9,G,11.5,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1973,775.3,,775.3,G,,,,,0.0,G,11.0,G,0.0,G,256.0,G,0.0,G,-1.6,"G,1227, ",,,31.7,"G,0416, ",-0.8,"G,1224",-0.4,"G,0126",,,935.4,4.0,935.4,G,,,17.9,G,24.0,G,11.8,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1974,805.7,,805.7,G,,,,,0.0,G,15.0,G,0.0,G,275.0,G,0.0,G,-2.0,"G,0116, ",,,31.7,"G,0424, ",0.0,"G,1203",-0.8,"G,0209",,,954.5,5.0,954.5,G,,,17.8,G,23.9,G,11.8,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1975,771.5,,771.5,G,,,,,0.0,G,12.0,G,0.0,G,258.0,G,0.0,G,-1.7,"G,0113, ",,,31.4,"G,0611, ",0.0,"G,1229",-0.3,"G,0126",,,999.8,8.0,999.8,G,,,17.7,G,23.9,G,11.6,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1976,661.6,,661.6,G,,,,,0.0,G,9.0,G,0.0,G,282.0,G,0.0,G,-2.0,"G,1231, ",,,29.8,"G,0528, ",-0.4,"G,1210",,,,,912.4,4.0,912.4,G,,,17.7,G,24.0,G,11.3,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1977,668.8,,668.8,G,,,,,0.0,G,32.0,G,0.0,G,277.0,G,0.0,G,-2.4,"G,0101, ",,,31.4,"G,0601, ",-0.6,"G,1218",0.0,"G,0209",-2.2,"G,0129",972.4,4.0,972.4,G,,,17.4,G,23.9,G,11.0,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1978,781.7,,781.7,G,,,,,0.0,G,27.0,G,0.0,G,257.0,G,0.0,G,-3.5,"G,0111, ",,,31.0,"G,0829,+",,,-0.7,"G,0210",-2.4,"G,0204",1095.1,1.0,1095.1,G,,,17.6,G,23.7,G,11.5,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1979,845.2,,845.2,G,,,,,0.0,G,4.0,G,0.0,G,272.0,G,10.0,G,-0.8,"G,0107, ",,,34.0,"G,0603, ",0.0,"G,1222",-0.8,"G,0107",,,861.2,2.0,861.2,G,,,18.4,G,24.6,G,12.2,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1980,852.5,,852.5,G,,,,,0.0,G,5.0,G,0.0,G,265.0,G,1.0,G,-1.0,"G,0114,+",,,32.3,"G,0425, ",,,-0.2,"G,0116",,,803.0,0.0,803.0,G,,,18.4,G,24.5,G,12.2,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1981,767.1,,767.1,G,,,,,0.0,G,8.0,G,0.0,G,280.0,G,0.0,G,-1.4,"G,0111, ",,,31.2,"G,0613, ",0.0,"G,1210",0.0,"G,0116",,,868.8,8.0,868.8,G,,,18.0,G,23.9,G,12.1,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1982,802.1,,802.1,G,,,,,0.0,G,4.0,G,0.0,G,261.0,G,3.0,G,-1.0,"G,1231, ",,,32.9,"G,0526, ",-0.2,"G,1225",-0.4,"G,0113",,,867.6,6.0,867.6,G,,,18.1,G,24.6,G,11.6,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1983,857.6,,857.6,G,,,,,0.0,G,28.0,G,0.0,G,275.0,G,8.0,G,-2.2,"G,0204, ",,,33.7,"G,0622, ",0.0,"G,1207",-0.5,"G,0210",-2.2,"G,0204",1000.9,9.0,1000.9,G,,,17.8,G,24.5,G,11.1,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1984,899.7,,899.7,G,,,,,0.0,G,25.0,G,0.0,G,289.0,G,0.0,G,-2.6,"G,0127, ",,,32.0,"G,0601, ",0.0,"G,1223",-0.2,"G,0226",-2.2,"G,0129",910.0,0.0,910.0,G,,,18.4,G,25.1,G,11.7,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1985,874.8,,874.8,G,,,,,0.0,G,4.0,G,0.0,G,281.0,G,0.0,G,-1.2,"G,0114, ",,,31.7,"G,0530, ",,,-1.0,"G,0115",,,785.2,2.0,785.2,G,,,18.6,G,25.0,G,12.1,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1986,753.7,,753.7,G,,,,,0.0,G,2.0,G,0.0,G,280.0,G,0.0,G,-0.2,"G,1231, ",,,32.0,"G,0605, ",-0.2,"G,1231",0.0,"G,0201",,,848.2,2.0,848.2,G,,,18.1,G,24.6,G,11.5,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1987,801.0,,801.0,G,,,,,0.0,G,2.0,G,0.0,G,285.0,G,5.0,G,-0.6,"G,0101, ",,,32.7,"G,0530,+",,,-0.1,"G,0102",,,833.2,2.0,833.2,G,,,18.4,G,24.9,G,11.8,G,NP000444540,Nepal,KATHMANDU AIRPORT
NP000444540,"KATHMANDU AIRPORT, NP",27.7,85.367,1337.0,1988,890.3,,890.3,G,,,,,0.0,G,4.0,G,0.0,G,304.0,G,5.0,G,-1.0,"G,0126, ",,,32.5,"G,0513, ",,,-0.7,"G,0128",,,722.6,6.0,722.6,G,,,18.9,G,25.7,G,12.0,G,NP000444540,Nepal,KATHMANDU AIRPORT
