STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1901,30.9,,30.9,E,,,,,0,E,88,E,18,E,71,E,0,E,-12.9,"E,0215, ",,,30.3,"E,0712, ",-0.9,"E,1103",-1.5,"E,0418",-2.7,"E,0329",,,,,,,8.6,E,12.9,E,4.4,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1902,19.3,,19.3,E,,,,,0,E,84,E,17,E,37,E,0,E,-14.3,"E,0213, ",,,31.4,"E,0603, ",-0.5,"E,1003",-0.4,"E,0514",-2.3,"E,0313",3396.9,9.0,3396.9,E,,,8.1,E,12.4,E,3.9,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1903,16.7,,16.7,E,,,,,0,E,66,E,13,E,37,E,0,E,-8.4,"E,1230, ",,,29.4,"E,0531, ",-1.5,"E,1106",-2.0,"E,0418",-2.2,"E,0317",3583.6,6.0,3583.6,E,,,9.0,E,13.0,E,5.1,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1904,24.9,,24.9,E,,,,,0,E,79,E,11,E,52,E,0,E,-6.4,"E,0102, ",,,30.7,"E,0715, ",0.0,"E,0926",-1.1,"E,0512",-4.6,"E,0316",3565.8,8.0,3565.8,E,,,8.7,E,12.9,E,4.6,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1905,21.2,,21.2,E,,,,,0,E,82,E,6,E,56,E,0,E,-12.3,"E,0102, ",,,29.4,"E,0630, ",-0.3,"E,1008",-1.0,"E,0524",-5.1,"E,0408",3443.3,3.0,3443.3,E,,,8.6,E,12.5,E,4.6,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1906,20.7,,20.7,E,174.0,E,96.0,E,0,E,80,E,10,E,54,E,0,E,-11.5,"E,1229, ",36.1," ,E,0711, ",28.7,"E,0903, ",-0.9,"E,0925",-1.9,"E,0502",-2.3,"E,0426",3602.7,7.0,3602.7,E,726.3," ,E",9.0,E,13.1,E,4.9,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1907,6.3,,6.3,E,173.0,E,88.0,E,0,E,80,E,14,E,30,E,0,E,-13.5,"E,0123, ",19.5," ,E,0501, ",29.1,"E,0512, ",0.0,"E,1105",0.0,"E,0429",-3.3,"E,0312",3510.0,0.0,3510.0,E,661.6," ,E",8.4,E,12.6,E,4.3,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1908,15.1,,15.1,E,159.0,E,77.0,E,0,E,89,E,18,E,51,E,0,E,-16.1,"E,1231, ",25.4," ,E,0828, ",28.7,"E,0604, ",-3.4,"E,1020",-1.8,"E,0430",-2.4,"E,0428",3614.7,7.0,3614.7,E,644.0," ,E",8.4,E,12.5,E,4.2,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1909,7.2,,7.2,E,173.0,E,96.0,E,0,E,105,E,6,E,30,E,0,E,-10.2,"E,0212, ",29.1," ,E,0809, ",26.8,"E,0601, ",-0.2,"E,1026",-0.4,"E,0515",-3.1,"E,0409",3750.7,7.0,3750.7,E,832.7," ,E",8.2,E,12.3,E,4.1,E,NLM00006260,Netherlands,DE BILT
NLM00006260,"DE BILT, NL",52.0989,5.1794,2.0,1910,21.0,,21.0,E,183.0,E,100.0,E,0,E,65,E,0,E,46,E,0,E,-7.8,"E,0127, ",30.6," ,E,0725, ",29.9,"E,0606, ",-1.4,"E,1106",-0.8,"E,0510",-3.0,"E,0411",3342.9,9.0,3342.9,E,814.4," ,E",9.3,E,13.4,E,5.3,E,NLM00006260,Netherlands,DE BILT
