STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1951,,,,,70.0,I,68.0,I,0.0,G,0.0,G,0.0,G,362.0,G,20.0,G,8.5,"G,0819, ",863.0," ,I,0225, ",34.5,"G,1227, ",,,,,,,12.5,5.0,12.5,G,8008.0," ,I",22.8,G,27.9,G,17.7,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1952,1767.9,,1767.9,G,81.0,I,76.0,I,0.0,G,0.0,G,0.0,G,363.0,G,20.0,G,8.7,"G,0723, ",564.0," ,I,0305, ",34.8,"G,1207, ",,,,,,,11.1,1.0,11.1,G,6887.0," ,I",23.5,G,28.5,G,18.6,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1953,1801.2,,1801.2,G,60.0,I,58.0,I,0.0,G,0.0,G,0.0,G,364.0,G,18.0,G,8.2,"G,0728, ",464.0," ,I,0218, ",34.1,"G,1108, ",,,,,,,15.2,2.0,15.2,G,4395.0," ,I",23.3,G,28.4,G,18.1,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1954,1890.5,,1890.5,G,103.0,I,100.0,I,0.0,G,0.0,G,0.0,G,363.0,G,6.0,G,11.3,"G,0809, ",983.0," ,I,1112, ",33.8,"G,0214, ",,,,,,,5.9,9.0,5.9,G,12416.0," ,I",23.2,G,27.1,G,19.3,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1955,1723.1,,1723.1,G,89.0,I,84.0,I,0.0,G,0.0,G,0.0,G,364.0,G,8.0,G,12.1,"G,0802, ",1168.0," ,I,0401, ",33.6,"G,0226,+",,,,,,,3.6,6.0,3.6,G,8336.0," ,I",23.3,G,27.5,G,19.2,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1956,1857.4,,1857.4,G,126.0,I,122.0,I,0.0,G,0.0,G,0.0,G,364.0,G,7.0,G,11.3,"G,0808, ",1048.0," ,I,0910, ",33.7,"G,1223, ",,,,,,,5.3,3.0,5.3,G,15301.0," ,I",23.2,G,27.1,G,19.3,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1957,1641.5,,1641.5,G,74.0,I,69.0,I,0.0,G,0.0,G,0.0,G,365.0,G,2.0,G,11.0,"G,0620, ",604.0," ,I,0105, ",33.0,"G,1109, ",,,,,,,7.1,1.0,7.1,G,5806.0," ,I",22.8,G,26.9,G,18.7,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1958,1811.4,,1811.4,G,112.0,I,98.0,I,0.0,G,0.0,G,0.0,G,364.0,G,5.0,G,11.6,"G,0710, ",697.0," ,I,0314, ",33.4,"G,0221, ",,,,,,,0.8,8.0,0.8,G,10770.0," ,I",23.3,G,27.3,G,19.4,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1959,1614.4,,1614.4,G,99.0,I,90.0,I,0.0,G,0.0,G,0.0,G,362.0,G,8.0,G,11.9,"G,0904, ",1160.0," ,I,0313, ",34.2,"G,0309,+",,,,,,,2.7,7.0,2.7,G,9802.0," ,I",23.0,G,27.1,G,18.9,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
NC000091577,"KOUMAC NLLE CALEDO, NC",-20.567,164.283,18.0,1960,1751.0,,1751.0,G,108.0,I,91.0,I,0.0,G,0.0,G,0.0,G,365.0,G,3.0,G,11.8,"G,0731, ",978.0," ,I,0520, ",33.2,"G,0128, ",,,,,,,4.3,3.0,4.3,G,8391.0," ,I",23.0,G,27.0,G,18.9,G,NC000091577,New Caledonia [France],KOUMAC (NLLE-CALEDO
