STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1944,,,,,,,,,0.0,G,3.0,G,0.0,G,61.0,G,0.0,G,-1.7,"G,0701, ",,,23.8,"G,0106, ",-1.7,"G,0701",,,,,2047.2,2.0,2047.2,G,,,12.8,G,16.4,G,9.2,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1945,17.9,,17.9,G,,,,,0.0,G,3.0,G,0.0,G,40.0,G,0.0,G,-1.4,"G,0619, ",,,25.6,"G,0111, ",-0.9,"G,0608",-0.1,"G,0910",,,2177.0,0.0,2177.0,G,,,12.4,G,16.3,G,8.6,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1946,10.3,,10.3,G,,,,,0.0,G,1.0,G,0.0,G,30.0,G,0.0,G,-0.1,"G,0606, ",,,24.2,"G,0214, ",-0.1,"G,0606",,,,,2087.4,4.0,2087.4,G,,,12.7,G,16.4,G,8.9,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1947,11.0,,11.0,G,,,,,0.0,G,4.0,G,0.0,G,53.0,G,0.0,G,-1.9,"G,0604, ",,,27.3,"G,0212, ",-1.9,"G,0604",-0.4,"G,0820",,,2063.3,3.0,2063.3,G,,,12.7,G,16.8,G,8.7,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1948,38.3,,38.3,G,,,,,0.0,G,1.0,G,0.0,G,72.0,G,0.0,G,-0.1,"G,0820, ",,,26.3,"G,0213, ",,,-0.1,"G,0820",,,1904.9,9.0,1904.9,G,,,13.2,G,17.2,G,9.2,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1949,16.4,,16.4,G,,,,,0.0,G,1.0,G,0.0,G,39.0,G,0.0,G,-2.2,"G,0929, ",,,24.8,"G,0206, ",,,-2.2,"G,0929",-2.2,"G,0929",2049.6,6.0,2049.6,G,,,12.8,G,16.7,G,8.8,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1950,8.0,,8.0,G,,,,,0.0,G,2.0,G,0.0,G,49.0,G,0.0,G,-1.2,"G,0618, ",,,25.3,"G,0121, ",-1.2,"G,0618",,,,,1921.2,2.0,1921.2,G,,,13.1,G,17.4,G,8.9,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1951,22.3,,22.3,G,,,,,0.0,G,3.0,G,0.0,G,57.0,G,0.0,G,-1.3,"G,0712, ",,,25.2,"G,0122, ",0.0,"G,0622",-0.6,"G,0801",,,2046.1,1.0,2046.1,G,,,12.8,G,16.9,G,8.7,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1952,19.1,,19.1,G,,,,,0.0,G,3.0,G,,,,,,,-0.4,"G,0709, ",,,,,-0.4,"G,0709",,,,,,,,,,,,,,,9.0,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
NZ000933090,"NEW PLYMOUTH AWS, NZ",-39.017,174.183,32.0,1953,,,,,,,,,0.0,G,1.0,G,,,,,,,0.0,"G,0626, ",,,,,0.0,"G,0626",,,,,,,,,,,,,,,9.3,G,NZ000933090,New Zealand,NEW PLYMOUTH AWS
