STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,1979,,,,,24.0,I,12.0,I,0.0,I,0.0,I,0.0,I,338.0,I,259.0,I,7.0,"I,1211, ",23.9," ,I,0807, ",44.0,"I,0629, ",,,,,,,,,,,111.5," ,I",28.7,I,36.3,I,21.0,I,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,1980,,,,,26.0,I,13.0,I,,,,,0.0,I,347.0,I,261.0,I,,,33.0," ,I,0818, ",45.0,"I,0524, ",,,,,,,,,,,157.9," ,I",,,35.9,I,,,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,1993,,,,,,,,,,,,,0.0,I,330.0,I,257.0,I,,,,,44.7,"I,0830, ",,,,,,,,,,,,,,,36.3,I,,,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2010,,,,,,,,,,,,,0.0,S,337.0,S,284.0,S,,,,,47.1,"S,0623, ",,,,,,,,,,,,,,,37.8,S,,,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2011,,,,,,,,,0.0,S,0.0,S,0.0,S,350.0,S,280.0,S,9.0,"S,0117, ",,,45.3,"S,0607, ",,,,,,,,,,,,,29.9,S,37.2,S,22.5,S,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2012,,,,,,,,,0.0,S,0.0,S,0.0,S,350.0,S,288.0,S,8.0,"S,0115, ",,,45.0,"S,0504, ",,,,,,,,,,,,,29.9,S,37.2,S,22.6,S,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2013,,,,,,,,,0.0,S,0.0,S,,,,,,,8.8,"S,0102, ",,,,,,,,,,,,,,,,,,,,,22.8,S,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2018,,,,,,,,,,,,,0.0,S,342.0,S,269.0,S,,,,,47.0,"S,0524, ",,,,,,,,,,,,,,,37.0,S,,,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2019,,,,,,,,,,,,,0.0,S,348.0,S,267.0,S,,,,,45.5,"S,0508,+",,,,,,,,,,,,,,,36.6,S,,,NG000061024,Niger,AGADEZ
NG000061024,"AGADEZ, NG",16.967,7.967,505.0,2020,,,,,,,,,,,,,0.0,S,356.0,S,274.0,S,,,,,45.5,"S,0430, ",,,,,,,,,,,,,,,36.6,S,,,NG000061024,Niger,AGADEZ
