STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NO000098550,"VARDO, NO",70.367,31.1,15.0,1951,0.0,,0.0,G,159.0,I,59.0,I,0.0,G,179.0,G,116.0,G,2.0,G,0.0,G,-16.3,"G,0114, ",27.0," ,I,0812, ",23.6,"G,0811, ",-0.3,"G,1025",-1.0,"G,0527",-3.4,"G,0510",,,,,423.0," ,I",1.2,G,3.4,G,-0.9,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1952,0.0,,0.0,G,158.0,I,49.0,I,0.0,G,200.0,G,143.0,G,1.0,G,0.0,G,-15.0,"G,0317, ",16.0," ,I,0814, ",21.3,"G,0709, ",-0.8,"G,1006",-1.2,"G,0520",-2.2,"G,0517",6152.7,7.0,6152.7,G,424.0," ,I",1.0,G,2.9,G,-0.9,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1953,0.0,,0.0,G,142.0,I,54.0,I,4.0,G,169.0,G,79.0,G,0.0,G,0.0,G,-20.5,"G,0326, ",29.0," ,I,1115, ",20.0,"G,0817, ",-0.3,"G,1007",-0.1,"G,0528",-2.4,"G,0511",6319.0,0.0,6319.0,G,447.0," ,I",1.8,G,4.1,G,-0.5,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1954,0.0,,0.0,G,139.0,I,55.0,I,0.0,G,172.0,G,95.0,G,0.0,G,0.0,G,-17.7,"G,0212, ",26.0," ,I,1003, ",20.4,"G,0717,+",-1.0,"G,1012",-0.4,"G,0530",-5.0,"G,0428",5774.8,8.0,5774.8,G,424.0," ,I",1.9,G,3.8,G,0.0,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1955,0.0,,0.0,G,201.0,I,86.0,I,1.0,G,202.0,G,131.0,G,1.0,G,0.0,G,-18.0,"G,1223, ",21.0," ,I,1016, ",23.5,"G,0713, ",-0.3,"G,1006",-0.4,"G,0609",-2.3,"G,0514",6126.4,4.0,6126.4,G,664.0," ,I",0.4,G,2.5,G,-1.7,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1956,0.0,,0.0,G,155.0,I,56.0,I,1.0,G,199.0,G,117.0,G,0.0,G,0.0,G,-19.0,"G,0206, ",9.0," ,I,0809,+",19.3,"G,0615, ",-2.6,"G,0928",-0.7,"G,0522",-2.7,"G,0511",6495.8,8.0,6495.8,G,364.0," ,I",0.7,G,2.7,G,-1.4,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1957,0.0,,0.0,G,202.0,I,92.0,I,0.0,G,172.0,G,107.0,G,4.0,G,0.0,G,-15.8,"G,0314, ",20.0," ,I,0123, ",23.0,"G,0718, ",-1.1,"G,1017",-1.4,"G,0517",-3.2,"G,0508",6278.4,4.0,6278.4,G,687.0," ,I",1.9,G,3.9,G,-0.1,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1958,0.0,,0.0,G,173.0,I,75.0,I,0.0,G,203.0,G,125.0,G,2.0,G,0.0,G,-16.2,"G,0111, ",15.0," ,I,0222, ",22.0,"G,0801, ",-1.5,"G,0928",-2.0,"G,0609",-2.5,"G,0521",6231.4,4.0,6231.4,G,488.0," ,I",0.8,G,2.9,G,-1.3,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1959,0.0,,0.0,G,170.0,I,77.0,I,0.0,G,180.0,G,79.0,G,1.0,G,0.0,G,-14.3,"G,0119, ",27.0," ,I,0710, ",22.6,"G,0814, ",-1.0,"G,1007",-0.4,"G,0530",-3.0,"G,0519",5916.4,4.0,5916.4,G,657.0," ,I",2.3,G,4.6,G,0.0,G,NO000098550,Norway,VARDO
NO000098550,"VARDO, NO",70.367,31.1,15.0,1960,2.5,,2.5,G,146.0,I,62.0,I,0.0,G,189.0,G,103.0,G,10.0,G,0.0,G,-13.0,"G,1212,+",14.0," ,I,0225, ",23.5,"G,0709, ",-2.0,"G,1005",-1.2,"G,0523",-5.6,"G,0522",5924.3,3.0,5924.3,G,425.0," ,I",2.1,G,4.5,G,-0.2,G,NO000098550,Norway,VARDO
