STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1924,,,,,110.0,E,42.0,E,28.0, ,251.0,E,,,,,,,-27.6,"E,0321,+",16.8," ,E,0910, ",,,-0.1,"E,0904",-0.5,"E,0711",-3.7,"E,0614",,,,,322.2," ,E",,,,,-5.0,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1925,,,,,130.0,E,48.0,E,42.0, ,245.0,E,,,,,,,-27.4,"E,0310,+",23.5," ,E,1119, ",,,-0.4,"E,0816",-0.7,"E,0626",-2.4,"E,0525",,,,,391.1," ,E",,,,,-5.5,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1926,,,,,127.0,E,62.0,E,35.0, ,241.0,E,,,,,,,-26.2,"E,0122, ",22.2," ,E,0819, ",,,-1.2,"E,0905",-0.4,"E,0628",-3.8,"E,0527",,,,,481.3," ,E",,,,,-5.4,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1927,,,,,146.0,E,56.0,E,37.0, ,267.0,E,,,,,,,-26.8,"E,1221, ",27.0," ,E,0908, ",,,0.0,"E,0825",-2.4,"E,0616",-2.4,"E,0616",,,,,424.2," ,E",,,,,-6.0,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1928,,,,,139.0,E,50.0,E,36.0, ,267.0,E,,,,,,,-28.7,"E,1217, ",29.4," ,E,0816, ",,,-2.5,"E,0803",-0.7,"E,0725",-2.9,"E,0615",,,,,398.4," ,E",,,,,-5.9,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1929,,,,,163.0,E,57.0,E,28.0, ,238.0,E,,,,,,,-29.9,"E,0117, ",40.5," ,E,0805, ",,,-0.9,"E,0820",-0.7,"E,0728",-2.3,"E,0601",,,,,536.2," ,E",,,,,-4.9,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1930,,,,,132.0,E,46.0,E,14.0, ,224.0,E,,,,,,,-22.3,"E,0207, ",18.3," ,E,0623, ",,,-4.0,"E,0905",-2.0,"E,0609",-2.9,"E,0515",,,,,407.1," ,E",,,,,-3.1,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1931,,,,,120.0,E,38.0,E,39.0, ,244.0,E,,,,,,,-27.7,"E,0205, ",23.1," ,E,0716, ",,,-5.1,"E,0809",-0.8,"E,0625",-2.4,"E,0611",,,,,309.0," ,E",,,,,-5.2,E,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1932,,,,,102.0,E,37.0,E,,,,,,,,,,,,,18.6," ,E,0706, ",,,,,,,,,,,,,288.3," ,E",,,,,,,NOM00001238,Norway,FOKSTUA
NOM00001238,"FOKSTUA, NO",62.1167,9.2831,952.0,1933,,,,,97.0,E,38.0,E,29.0, ,216.0,E,,,,,,,-26.0,"E,0220,+",20.3," ,E,0716, ",,,-0.9,"E,0826",-0.9,"E,0515",-3.6,"E,0506",,,,,332.9," ,E",,,,,-3.8,E,NOM00001238,Norway,FOKSTUA
