STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1984,,,,,2.0,I,1.0,I,,,,,,,,,,,,,7.1," ,I,0316, ",,,,,,,,,,,,,7.6," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1985,,,,,1.0,I,0.0,I,,,,,0.0,I,347.0,I,123.0,I,,,2.0," ,I,0604, ",42.5,"I,0512, ",,,,,,,,,,,2.0," ,I",,,31.2,I,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1986,,,,,,,,,,,,,0.0,I,335.0,I,116.0,I,,,,,43.0,"I,0518, ",,,,,,,,,,,,,,,30.8,I,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1987,,,,,3.0,I,2.0,I,,,,,,,,,,,,,41.9," ,I,0315, ",,,,,,,,,,,,,50.8," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1988,,,,,9.0,I,4.0,I,,,,,,,,,,,,,14.0," ,I,0724, ",,,,,,,,,,,,,31.3," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1989,,,,,9.0,I,3.0,I,,,,,,,,,,,,,5.1," ,I,0320, ",,,,,,,,,,,,,16.3," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1990,,,,,5.0,I,5.0,I,,,,,,,,,,,,,18.0," ,I,0412, ",,,,,,,,,,,,,41.1," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1993,,,,,4.0,I,2.0,I,,,,,,,,,,,,,15.0," ,I,0406, ",,,,,,,,,,,,,23.1," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1994,,,,,4.0,I,2.0,I,,,,,,,,,,,,,16.0," ,I,0111, ",,,,,,,,,,,,,20.5," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1995,,,,,12.0,I,8.0,I,,,,,0.0,I,335.0,I,117.0,I,,,54.1," ,I,0722, ",43.5,"I,0613, ",,,,,,,,,,,146.2," ,I",,,31.2,I,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1996,,,,,12.0,I,5.0,I,,,,,,,,,,,,,42.9," ,I,0611, ",,,,,,,,,,,,,115.5," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,1998,,,,,5.0,I,2.0,I,,,,,,,,,,,,,14.0," ,I,1217, ",,,,,,,,,,,,,23.6," ,I",,,,,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,2001,,,,,,,,,,,,,0.0,I,333.0,I,136.0,I,,,,,42.2,"I,0527, ",,,,,,,,,,,,,,,31.6,I,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,2002,,,,,,,,,,,,,0.0,I,329.0,I,111.0,I,,,,,42.8,"I,0505, ",,,,,,,,,,,,,,,31.4,I,,,MU000041288,Oman,MASIRAH
MU000041288,"MASIRAH, MU",20.667,58.9,19.0,2003,,,,,7.0,I,4.0,I,,,,,0.0,I,340.0,I,131.0,I,,,84.8," ,I,0730, ",40.7,"I,0426, ",,,,,,,,,,,104.3," ,I",,,31.3,I,,,MU000041288,Oman,MASIRAH
