STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1955,2463.1,,2463.1,S,,,,,0.0,S,0.0,S,0.0,S,359.0,S,33.0,S,13.3,"S,0131, ",,,35.6,"S,1105,+",,,,,,,,,,,,,25.3,S,29.0,S,21.5,S,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1956,2529.7,,2529.7,S,,,,,0.0,S,0.0,S,0.0,S,358.0,S,55.0,S,15.0,"S,0202,+",,,36.1,"S,0408,+",,,,,,,0.0,0.0,0.0,S,,,25.5,S,29.3,S,21.7,S,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1958,2707.1,,2707.1,S,,,,,0.0,S,0.0,S,0.0,S,363.0,S,70.0,S,13.9,"S,1231, ",,,37.2,"S,0507,+",,,,,,,0.0,0.0,0.0,S,,,25.8,S,29.6,S,22.0,S,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1959,2466.2,,2466.2,S,,,,,0.0,S,0.0,S,0.0,S,363.0,S,47.0,S,14.4,"S,0206,+",,,38.9,"S,0410, ",,,,,,,0.0,0.0,0.0,S,,,25.2,S,29.0,S,21.3,S,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1960,2689.6,,2689.6,S,,,,,0.0,S,0.0,S,0.0,S,365.0,S,61.0,S,13.3,"S,0131, ",,,36.1,"S,1120, ",,,,,,,0.0,0.0,0.0,S,,,25.7,S,29.6,S,21.8,S,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0, ,,,,,,,,,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1983,,,,,42.0,S,16.0,S,,,,,,,,,,,,,31.0," ,S,0210, ",,,,,,,,,,,,,212.2," ,S",,,,,,,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1984,,,,,41.0,S,8.0,S,,,,,,,,,,,,,9.9," ,S,0510, ",,,,,,,,,,,,,68.7," ,S",,,,,,,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1985,,,,,38.0,S,9.0,S,,,,,0.0,S,346.0,S,37.0,S,,,9.9," ,S,0614, ",38.3,"S,0412,+",,,,,,,,,,,59.7," ,S",,,29.7,S,,,MUM00041316,Oman,SALALAH
MUM00041316,"SALALAH, MU",17.039,54.091,22.3,1987,,,,,33.0,S,8.0,S,,,,,,,,,,,,,7.9," ,S,0315, ",,,,,,,,,,,,,61.0," ,S",,,,,,,MUM00041316,Oman,SALALAH
