STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,1958,2270.6,,2270.6,I,17,I,9,I,0.0,I,11.0,I,0.0,I,294.0,I,195.0,I,-2.8,"I,1127,+",29.0," ,I,0226, ",45.0,"I,0612, ",-0.6,"I,1113",-2.8,"I,0104",-2.8,"I,0104",618.3,3.0,618.3,I,98.0," ,I",22.7,I,31.6,I,13.8,I,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2009,,,,,17,S,9,S,,,,,0.0,S,284.0,S,179.0,S,,,59.9," ,S,0511, ",49.0,"S,0803, ",,,,,,,,,,,178.5," ,S",,,33.1,S,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2010,,,,,6,S,2,S,,,,,0.0,S,308.0,S,208.0,S,,,7.1," ,S,0208, ",47.5,"S,0719, ",,,,,,,,,,,17.1," ,S",,,33.7,S,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2012,,,,,5,S,2,S,,,,,0.0,S,294.0,S,200.0,S,,,14.0," ,S,0122, ",47.0,"S,0715,+",,,,,,,,,,,22.6," ,S",,,32.4,S,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2013,,,,,17,S,9,S,,,,,,,,,,,,,34.0," ,S,0323, ",,,,,,,,,,,,,96.3," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2015,,,,,8,S,5,S,,,,,,,,,,,,,10.9," ,S,0224, ",,,,,,,,,,,,,39.9," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2016,,,,,7,S,5,S,,,,,,,,,,,,,22.6," ,S,0311, ",,,,,,,,,,,,,45.0," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2017,,,,,9,S,4,S,,,,,,,,,,,,,70.1," ,S,0321, ",,,,,,,,,,,,,104.3," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2018,,,,,9,S,2,S,,,,,,,,,,,,,7.9," ,S,0215, ",,,,,,,,,,,,,20.9," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
PK000041712,"DAL BANDIN, PK",28.883,64.4,850.0,2019,,,,,29,S,16,S,,,,,,,,,,,,,119.9," ,S,0214, ",,,,,,,,,,,,,356.4," ,S",,,,,,,PK000041712,Pakistan,DAL BANDIN
