STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1952,3308.1,,3308.1,X,274.0,X,188.0,X,0.0,X,0.0,X,0.0,X,366.0,X,82.0,X,21.7,"X,0830, ",126.0," ,X,0430, ",33.3,"X,1129,+",,,,,,,0.0,0.0,0.0,X,4123.3," ,X",27.4,X,30.9,X,23.8,X,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1953,3365.1,,3365.1,0,294.0,0,202.0,0,0.0,0,0.0,0,0.0,0,364.0,0,70.0,0,20.6,"0,0325, ",156.7," ,0,0325, ",33.3,"0,1106, ",,,,,,,0.0,0.0,0.0,0,4044.3," ,0",27.6,0,31.1,0,24.1,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1954,3312.1,,3312.1,0,278.0,0,189.0,0,0.0,0,0.0,0,0.0,0,365.0,0,81.0,0,21.1,"0,0703, ",127.8," ,0,0301, ",33.9,"0,0424, ",,,,,,,0.0,0.0,0.0,0,3753.4," ,0",27.4,0,31.1,0,23.8,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1955,3254.6,,3254.6,0,286.0,0,205.0,0,0.0,0,0.0,0,0.0,0,365.0,0,27.0,0,21.1,"0,0729,+",194.3," ,0,0102, ",33.3,"0,0414, ",,,,,,,0.0,0.0,0.0,0,3388.9," ,0",27.3,0,30.7,0,23.8,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1956,3245.9,,3245.9,0,284.0,0,226.0,0,0.0,0,0.0,0,0.0,0,366.0,0,17.0,0,21.7,"0,0613, ",137.9," ,0,0123, ",32.8,"0,1026, ",,,,,,,0.0,0.0,0.0,0,4551.6," ,0",27.2,0,30.5,0,23.9,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1957,3355.6,,3355.6,0,272.0,0,175.0,0,0.0,0,0.0,0,0.0,0,364.0,0,36.0,0,22.2,"0,1121,+",157.0," ,0,1006, ",32.8,"0,1113,+",,,,,,,0.0,0.0,0.0,0,3519.4," ,0",27.6,0,30.9,0,24.2,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1958,3432.5,,3432.5,0,275.0,0,184.0,0,0.0,0,0.0,0,0.0,0,365.0,0,50.0,0,21.7,"0,1203, ",208.3," ,0,0509, ",33.9,"0,0530, ",,,,,,,0.0,0.0,0.0,0,3755.5," ,0",27.7,0,31.0,0,24.4,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1959,3288.7,,3288.7,0,279.0,0,208.0,0,0.0,0,0.0,0,0.0,0,365.0,0,20.0,0,21.7,"0,0919, ",175.5," ,0,0702, ",32.8,"0,1130,+",,,,,,,0.0,0.0,0.0,0,3858.8," ,0",27.3,0,30.6,0,24.1,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1960,3383.1,,3383.1,0,271.0,0,202.0,0,0.0,0,0.0,0,0.0,0,366.0,0,58.0,0,22.2,"0,1020,+",124.7," ,0,0418, ",33.3,"0,1015,+",,,,,,,0.0,0.0,0.0,0,3841.3," ,0",27.6,0,30.9,0,24.3,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1961,3262.3,,3262.3,0,264.0,0,210.0,0,0.0,0,0.0,0,0.0,0,365.0,0,20.0,0,21.7,"0,0903,+",107.7," ,0,0818, ",32.8,"0,0418, ",,,,,,,0.0,0.0,0.0,0,4165.6," ,0",27.3,0,30.4,0,24.1,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1962,3307.6,,3307.6,0,286.0,0,199.0,0,0.0,0,0.0,0,0.0,0,365.0,0,38.0,0,22.2,"0,0802,+",208.5," ,0,0707, ",32.8,"0,1116,+",,,,,,,0.0,0.0,0.0,0,4376.6," ,0",27.4,0,30.6,0,24.2,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1963,3347.8,,3347.8,0,239.0,0,167.0,0,0.0,0,0.0,0,0.0,0,365.0,0,39.0,0,21.7,"0,0121, ",114.6," ,0,0930, ",32.8,"0,1115,+",,,,,,,0.0,0.0,0.0,0,3430.6," ,0",27.5,0,30.7,0,24.3,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1964,3304.1,,3304.1,0,267.0,0,181.0,0,0.0,0,0.0,0,0.0,0,366.0,0,44.0,0,22.2,"0,1122,+",121.4," ,0,0212, ",32.8,"0,1102,+",,,,,,,0.0,0.0,0.0,0,3318.2," ,0",27.4,0,30.6,0,24.1,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1965,3212.1,,3212.1,0,253.0,0,194.0,0,0.0,0,0.0,0,0.0,0,365.0,0,3.0,0,21.7,"0,0616, ",121.9," ,0,0928, ",32.2,"0,1013,+",,,,,,,0.0,0.0,0.0,0,4054.2," ,0",27.1,0,30.2,0,24.1,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1966,3329.9,,3329.9,0,272.0,0,186.0,0,0.0,0,0.0,0,0.0,0,365.0,0,57.0,0,22.2,"0,1122,+",135.4," ,0,0421, ",32.8,"0,1216,+",,,,,,,0.0,0.0,0.0,0,3564.0," ,0",27.4,0,30.7,0,24.2,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1967,3350.2,,3350.2,0,253.0,0,186.0,0,0.0,0,0.0,0,0.0,0,365.0,0,42.0,0,21.7,"0,0827,+",131.1," ,0,1101, ",33.3,"0,0923, ",,,,,,,0.0,0.0,0.0,0,3522.5," ,0",27.5,0,30.8,0,24.3,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1968,3430.0,,3430.0,0,252.0,0,167.0,0,0.0,0,0.0,0,0.0,0,366.0,0,94.0,0,22.2,"0,1109,+",99.8," ,0,0214, ",33.9,"0,0703, ",,,,,,,0.0,0.0,0.0,0,3341.2," ,0",27.7,0,31.1,0,24.3,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1969,3394.5,,3394.5,0,255.0,0,173.0,0,0.0,0,0.0,0,0.0,0,365.0,0,51.0,0,22.2,"0,0928,+",105.4," ,0,0819, ",32.8,"0,1226,+",,,,,,,0.0,0.0,0.0,0,3285.6," ,0",27.6,0,30.9,0,24.4,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1970,3466.0,,3466.0,0,265.0,0,182.0,0,0.0,0,0.0,0,0.0,0,365.0,0,63.0,0,22.2,"0,0517,+",100.6," ,0,0712, ",32.8,"0,1106,+",,,,,,,0.0,0.0,0.0,0,2911.3," ,0",27.8,0,31.1,0,24.5,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1971,3376.6,,3376.6,0,263.0,0,183.0,0,0.0,0,0.0,0,0.0,0,365.0,0,60.0,0,21.7,"0,0730,+",201.2," ,0,0528, ",33.3,"0,0503,+",,,,,,,0.0,0.0,0.0,0,4047.1," ,0",27.6,0,30.9,0,24.2,0,PSW00040309,Palau,KOROR
PSW00040309,"KOROR, PW PS",7.33674,134.47686,27.4,1972,3396.5,,3396.5,0,241.0,0,162.0,0,0.0,0,0.0,0,0.0,0,366.0,0,73.0,0,21.7,"0,0928,+",147.8," ,0,0624, ",33.9,"0,0519, ",,,,,,,0.0,0.0,0.0,0,3815.2," ,0",27.6,0,31.0,0,24.2,0,PSW00040309,Palau,KOROR
