STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1970,,,,,148.0,I,91.0,I,0.0,G,0.0,G,0.0,G,365.0,G,33.0,G,17.6,"G,0728, ",103.0," ,I,0326, ",33.4,"G,0123, ",,,,,,,0.0,0.0,0.0,G,1513.0," ,I",26.8,G,30.7,G,22.9,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1971,3038.0,,3038.0,G,144.0,I,84.0,I,0.0,G,0.0,G,0.0,G,365.0,G,67.0,G,18.5,"G,0803, ",74.0," ,I,0323, ",35.1,"G,1113, ",,,,,,,0.0,0.0,0.0,G,1137.0," ,I",26.8,G,30.8,G,22.7,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1972,2981.0,,2981.0,G,110.0,I,66.0,I,0.0,G,0.0,G,0.0,G,366.0,G,53.0,G,14.8,"G,0903, ",74.0," ,I,0324, ",34.3,"G,1221, ",,,,,,,0.0,0.0,0.0,G,1031.0," ,I",26.1,G,30.4,G,21.9,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1973,3106.6,,3106.6,G,113.0,I,69.0,I,0.0,G,0.0,G,0.0,G,365.0,G,116.0,G,18.2,"G,0712, ",138.0," ,I,0503, ",35.4,"G,0201, ",,,,,,,0.0,0.0,0.0,G,1428.0," ,I",27.4,G,31.6,G,23.1,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1974,3118.4,,3118.4,G,103.0,I,62.0,I,0.0,G,0.0,G,0.0,G,365.0,G,110.0,G,16.6,"G,0811, ",80.0," ,I,0224,+",35.1,"G,1224, ",,,,,,,0.0,0.0,0.0,G,1055.0," ,I",26.9,G,31.4,G,22.5,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1975,3184.2,,3184.2,G,146.0,I,88.0,I,0.0,G,0.0,G,0.0,G,364.0,G,62.0,G,19.7,"G,0818, ",108.0," ,I,1224, ",34.4,"G,1020, ",,,,,,,0.0,0.0,0.0,G,1624.0," ,I",26.9,G,31.0,G,22.9,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1976,3026.7,,3026.7,G,124.0,I,88.0,I,0.0,G,0.0,G,0.0,G,364.0,G,61.0,G,16.5,"G,0804, ",104.0," ,I,0508, ",34.4,"G,1029, ",,,,,,,0.0,0.0,0.0,G,1539.0," ,I",26.4,G,30.4,G,22.4,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1977,3090.2,,3090.2,G,107.0,I,67.0,I,0.0,G,0.0,G,0.0,G,364.0,G,75.0,G,18.5,"G,0714, ",80.0," ,I,0101, ",34.5,"G,0307, ",,,,,,,0.0,0.0,0.0,G,1223.0," ,I",26.9,G,30.7,G,23.0,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1978,3154.6,,3154.6,G,88.0,I,65.0,I,0.0,G,0.0,G,0.0,G,365.0,G,92.0,G,17.8,"G,0721, ",59.0," ,I,0128, ",35.3,"G,0129, ",,,,,,,0.0,0.0,0.0,G,1025.0," ,I",27.3,G,31.4,G,23.1,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1979,3171.1,,3171.1,G,94.0,I,70.0,I,0.0,G,0.0,G,0.0,G,365.0,G,85.0,G,18.0,"G,0722, ",79.0," ,I,0301, ",34.5,"G,0110, ",,,,,,,0.0,0.0,0.0,G,1030.0," ,I",26.9,G,31.1,G,22.7,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1980,3181.6,,3181.6,G,79.0,I,55.0,I,0.0,G,0.0,G,0.0,G,366.0,G,115.0,G,18.2,"G,0624, ",79.0," ,I,0128, ",36.6,"G,1028, ",,,,,,,0.0,0.0,0.0,G,838.0," ,I",27.3,G,31.5,G,23.2,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1981,3281.0,,3281.0,G,119.0,I,80.0,I,0.0,G,0.0,G,0.0,G,365.0,G,167.0,G,17.1,"G,0810, ",66.0," ,I,0305, ",35.5,"G,1020, ",,,,,,,0.0,0.0,0.0,G,1234.0," ,I",27.6,G,31.9,G,23.3,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1982,3286.3,,3286.3,G,72.0,I,47.0,I,0.0,G,0.0,G,0.0,G,364.0,G,87.0,G,17.0,"G,0620, ",113.0," ,I,0111, ",35.7,"G,1223,+",,,,,,,0.0,0.0,0.0,G,870.0," ,I",26.6,G,30.9,G,22.4,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
PP000092035,"PORT MORESBY W.O., PP",-9.383,147.217,48.0,1983,3251.8,,3251.8,G,90.0,I,58.0,I,0.0,G,0.0,G,0.0,G,365.0,G,170.0,G,21.0,"G,0916, ",41.0," ,I,0306, ",37.2,"G,0112, ",,,,,,,0.0,0.0,0.0,G,796.0," ,I",27.9,G,32.0,G,23.8,G,PP000092035,Papua New Guinea,PORT MORESBY W.O.
