STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1951,,,,,88,I,69,I,,,,,,,,,,,,,146.4," ,I,1122, ",,,,,,,,,,,,,1599.2," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1952,,,,,89,I,71,I,,,,,,,,,,,,,107.0," ,I,0526, ",,,,,,,,,,,,,1519.7," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1954,,,,,120,I,105,I,,,,,,,,,,,,,114.0," ,I,0426, ",,,,,,,,,,,,,2568.4," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1955,,,,,109,I,82,I,,,,,,,,,,,,,162.9," ,I,1012, ",,,,,,,,,,,,,1766.8," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1956,,,,,93,I,79,I,,,,,,,,,,,,,91.8," ,I,0404, ",,,,,,,,,,,,,1483.1," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1957,,,,,96,I,79,I,,,,,,,,,,,,,117.8," ,I,1031, ",,,,,,,,,,,,,1845.7," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1958,,,,,86,I,70,I,,,,,,,,,,,,,115.7," ,I,0216, ",,,,,,,,,,,,,1711.0," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1959,,,,,96,I,81,I,,,,,,,,,,,,,232.1," ,I,0214, ",,,,,,,,,,,,,2494.1," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1960,,,,,85,I,67,I,,,,,,,,,,,,,109.3," ,I,0922, ",,,,,,,,,,,,,1464.4," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1961,,,,,88,I,70,I,,,,,,,,,,,,,162.6," ,I,0517, ",,,,,,,,,,,,,2165.5," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
PA000086297,"ENCARNACION, PA",-27.3,-55.9,91.0,1962,,,,,68,I,56,I,,,,,,,,,,,,,70.5," ,I,1202, ",,,,,,,,,,,,,1176.1," ,I",,,,,,,PA000086297,Paraguay,ENCARNACION
