STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1977,,,,,128,I,123,I,,,,,,,,,,,,,180.1," ,I,0405, ",,,,,,,,,,,,,3553.6," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1978,,,,,126,I,120,I,,,,,,,,,,,,,220.0," ,I,0426, ",,,,,,,,,,,,,3062.9," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1980,,,,,120,I,112,I,,,,,,,,,,,,,400.1," ,I,0218, ",,,,,,,,,,,,,3526.9," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1987,,,,,111,I,96,I,,,,,,,,,,,,,91.9," ,I,1019,+",,,,,,,,,,,,,2114.4," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1988,,,,,128,I,119,I,,,,,,,,,,,,,199.9," ,I,0120, ",,,,,,,,,,,,,2605.0," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1989,,,,,149,I,127,I,,,,,,,,,,,,,98.0," ,I,0630, ",,,,,,,,,,,,,2593.3," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1991,,,,,147,I,113,I,,,,,,,,,,,,,71.9," ,I,0504, ",,,,,,,,,,,,,2145.1," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1992,,,,,142,I,110,I,,,,,,,,,,,,,87.9," ,I,0823, ",,,,,,,,,,,,,2242.1," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1993,,,,,150,I,125,I,,,,,,,,,,,,,113.0," ,I,1113, ",,,,,,,,,,,,,2505.3," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1994,,,,,150,I,126,I,,,,,,,,,,,,,119.9," ,I,0111, ",,,,,,,,,,,,,2300.3," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1996,,,,,171,I,147,I,,,,,,,,,,,,,264.9," ,I,0516, ",,,,,,,,,,,,,3169.6," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1997,,,,,161,I,139,I,,,,,,,,,,,,,93.0," ,I,0104, ",,,,,,,,,,,,,2801.9," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,1998,,,,,161,I,117,I,,,,,,,,,,,,,78.0," ,I,0103, ",,,,,,,,,,,,,2253.3," ,I",,,,,,,PE000084377,Peru,IQUITOS
PE000084377,"IQUITOS, PE",-3.783,-73.3,126.0,2003,,,,,210,I,159,I,,,,,,,,,,,,,145.0," ,I,1115, ",,,,,,,,,,,,,4136.8," ,I",,,,,,,PE000084377,Peru,IQUITOS
