STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1977,,,,,23.0,I,10.0,I,,,,,,,,,,,,,26.9," ,I,0313, ",,,,,,,,,,,,,103.3," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1978,,,,,8.0,I,3.0,I,0.0,I,0.0,I,,,,,,,1.0,"I,0709, ",9.9," ,I,1129, ",,,,,,,,,,,,,21.5," ,I",,,,,7.6,I,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1979,,,,,8.0,I,2.0,I,0.0,I,0.0,I,,,,,,,2.0,"I,0617, ",7.9," ,I,1110, ",,,,,,,,,,,,,20.0," ,I",,,,,7.6,I,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1980,,,,,11.0,I,2.0,I,0.0,I,0.0,I,,,,,,,2.0,"I,0726, ",7.1," ,I,0218, ",,,,,,,,,,,,,24.2," ,I",,,,,7.8,I,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1987,,,,,9.0,I,3.0,I,,,,,,,,,,,,,24.9," ,I,0122, ",,,,,,,,,,,,,49.9," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1988,,,,,20.0,I,5.0,I,,,,,,,,,,,,,9.9," ,I,0310, ",,,,,,,,,,,,,50.9," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1992,,,,,5.0,I,1.0,I,,,,,,,,,,,,,4.1," ,I,1226, ",,,,,,,,,,,,,8.6," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1993,,,,,14.0,I,5.0,I,,,,,,,,,,,,,11.9," ,I,0115, ",,,,,,,,,,,,,41.0," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1994,,,,,28.0,I,13.0,I,,,,,,,,,,,,,31.0," ,I,0628, ",,,,,,,,,,,,,120.0," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1995,,,,,22.0,I,18.0,I,,,,,,,,,,,,,82.0," ,I,0228, ",,,,,,,,,,,,,619.4," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1996,,,,,24.0,I,13.0,I,0.0,I,0.0,I,,,,,,,0.9,"I,0906, ",75.9," ,I,0124, ",,,,,,,,,,,,,418.8," ,I",,,,,7.4,I,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,1997,,,,,38.0,I,19.0,I,,,,,,,,,,,,,77.0," ,I,0805, ",,,,,,,,,,,,,374.6," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,2003,,,,,7.0,I,2.0,I,,,,,,,,,,,,,59.9," ,I,0531, ",,,,,,,,,,,,,67.8," ,I",,,,,,,PE000084752,Peru,AREQUIPA
PE000084752,"AREQUIPA, PE",-16.332,-71.567,2520.0,2018,,,,,,,,,0.0,S,0.0,S,,,,,,,4.6,"S,0531, ",,,,,,,,,,,,,,,,,,,,,9.2,S,PE000084752,Peru,AREQUIPA
