STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1951,3212.2,,3212.2,G,117.0,I,71.0,I,0.0,G,0.0,G,0.0,G,365.0,G,165.0,G,19.3,"G,0316,+",60.0," ,I,0729, ",34.7,"G,0517, ",,,,,,,,,,,1065.0," ,I",27.2,G,31.9,G,22.5,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1952,3168.4,,3168.4,G,134.0,I,87.0,I,0.0,G,0.0,G,0.0,G,366.0,G,129.0,G,17.2,"G,0111, ",137.0," ,I,0829, ",34.9,"G,0327, ",,,,,,,0.0,0.0,0.0,G,1373.0," ,I",27.0,G,31.6,G,22.4,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1953,3096.6,,3096.6,G,124.0,I,77.0,I,0.0,G,0.0,G,0.0,G,365.0,G,123.0,G,18.0,"G,0124, ",59.0," ,I,1116, ",35.7,"G,0317, ",,,,,,,0.0,0.0,0.0,G,1054.0," ,I",26.8,G,31.6,G,22.1,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1954,2998.3,,2998.3,G,152.0,I,98.0,I,0.0,G,0.0,G,0.0,G,365.0,G,104.0,G,18.2,"G,0208, ",64.0," ,I,0923, ",34.4,"G,0407, ",,,,,,,0.0,0.0,0.0,G,1310.0," ,I",26.6,G,31.4,G,21.7,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1955,3041.8,,3041.8,G,152.0,I,108.0,I,0.0,G,0.0,G,0.0,G,365.0,G,59.0,G,17.8,"G,0305, ",163.0," ,I,1127, ",35.0,"G,0205, ",,,,,,,0.0,0.0,0.0,G,1576.0," ,I",26.7,G,31.1,G,22.2,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1956,3036.8,,3036.8,G,159.0,I,110.0,I,0.0,G,0.0,G,0.0,G,366.0,G,33.0,G,19.5,"G,0103, ",76.0," ,I,1227,+",33.4,"G,0307,+",,,,,,,0.0,0.0,0.0,G,1643.0," ,I",26.6,G,30.8,G,22.5,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1957,3227.2,,3227.2,G,110.0,I,71.0,I,0.0,G,0.0,G,0.0,G,365.0,G,127.0,G,19.3,"G,1230, ",70.0," ,I,0811, ",34.7,"G,0425, ",,,,,,,0.0,0.0,0.0,G,848.0," ,I",27.2,G,31.6,G,22.7,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1958,3251.5,,3251.5,G,104.0,I,72.0,I,0.0,G,0.0,G,0.0,G,365.0,G,140.0,G,18.8,"G,0210, ",109.0," ,I,1030, ",34.9,"G,0508, ",,,,,,,0.0,0.0,0.0,G,1369.0," ,I",27.2,G,31.8,G,22.7,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1959,3157.8,,3157.8,G,136.0,I,97.0,I,0.0,G,0.0,G,0.0,G,365.0,G,105.0,G,17.3,"G,0116, ",73.0," ,I,1002, ",34.4,"G,0512,+",,,,,,,0.0,0.0,0.0,G,1414.0," ,I",27.0,G,31.4,G,22.6,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1960,3161.4,,3161.4,G,136.0,I,90.0,I,0.0,G,0.0,G,0.0,G,366.0,G,97.0,G,17.7,"G,1218, ",75.0," ,I,1004, ",34.1,"G,0406, ",,,,,,,0.0,0.0,0.0,G,1479.0," ,I",27.0,G,31.3,G,22.6,G,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1961,,,,,111.0,I,72.0,I,,,,,,,,,,,,,110.0," ,I,1005, ",,,,,,,,,0.0,0.0,0.0,G,1228.0," ,I",,,,,,,RP000098836,Philippines,ZAMBOANGA
RP000098836,"ZAMBOANGA, RP",6.9,122.067,6.0,1962,3138.5,,3138.5,G,133.0,I,85.0,I,0.0,G,0.0,G,0.0,G,365.0,G,63.0,G,20.0,"G,0205, ",94.0," ,I,0923, ",34.4,"G,0502, ",,,,,,,,,,,1519.0," ,I",26.9,G,31.0,G,22.8,G,RP000098836,Philippines,ZAMBOANGA
