STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1973,,,,,,,,,0.0,G,0.0,G,0.0,G,241.0,G,0.0,G,12.4,"G,0618, ",,,27.4,"G,0313, ",,,,,,,,,,,,,20.7,G,22.7,G,18.7,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1974,,,,,,,,,0.0,G,0.0,G,0.0,G,259.0,G,0.0,G,10.0,"G,0912, ",,,27.6,"G,0122, ",,,,,,,63.4,4.0,63.4,G,,,21.0,G,23.3,G,18.8,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1975,959.0,,959.0,G,,,,,0.0,G,0.0,G,0.0,G,272.0,G,0.0,G,11.8,"G,0808, ",,,27.4,"G,0317,+",,,,,,,45.5,5.0,45.5,G,,,21.1,G,23.4,G,18.9,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1976,885.4,,885.4,G,,,,,0.0,G,0.0,G,0.0,G,249.0,G,0.0,G,13.2,"G,0615, ",,,27.6,"G,0304,+",,,,,,,46.2,2.0,46.2,G,,,20.8,G,23.1,G,18.5,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1977,754.0,,754.0,G,,,,,0.0,G,0.0,G,0.0,G,208.0,G,0.0,G,13.3,"G,0924, ",,,28.8,"G,0201, ",,,,,,,81.7,7.0,81.7,G,,,20.5,G,22.5,G,18.5,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1978,853.5,,853.5,G,,,,,0.0,G,0.0,G,0.0,G,251.0,G,0.0,G,11.4,"G,0722, ",,,28.7,"G,1229, ",,,,,,,45.1,1.0,45.1,G,,,21.0,G,23.2,G,18.8,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1979,847.0,,847.0,G,,,,,0.0,G,0.0,G,0.0,G,239.0,G,0.0,G,12.2,"G,0830, ",,,30.3,"G,0223, ",,,,,,,76.3,3.0,76.3,G,,,20.6,G,22.8,G,18.4,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1980,888.3,,888.3,G,,,,,0.0,G,0.0,G,0.0,G,251.0,G,1.0,G,12.7,"G,0714, ",,,32.4,"G,0227, ",,,,,,,45.1,1.0,45.1,G,,,21.1,G,23.2,G,18.9,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1981,878.6,,878.6,G,,,,,0.0,G,0.0,G,0.0,G,261.0,G,0.0,G,11.8,"G,0810, ",,,29.3,"G,0410, ",,,,,,,44.4,4.0,44.4,G,,,21.2,G,23.5,G,19.0,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1982,989.2,,989.2,G,,,,,0.0,G,0.0,G,0.0,G,235.0,G,0.0,G,12.2,"G,0624, ",,,31.2,"G,0131, ",,,,,,,57.0,0.0,57.0,G,,,21.0,G,23.2,G,18.8,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1983,696.8,,696.8,G,,,,,0.0,G,0.0,G,0.0,G,253.0,G,0.0,G,13.0,"G,0706, ",,,28.3,"G,0211, ",,,,,,,24.8,8.0,24.8,G,,,20.6,G,22.7,G,18.5,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1984,915.1,,915.1,G,,,,,0.0,G,0.0,G,0.0,G,260.0,G,0.0,G,13.6,"G,0918, ",,,30.7,"G,0417, ",,,,,,,48.1,1.0,48.1,G,,,21.4,G,23.5,G,19.2,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1985,,,,,,,,,,,,,0.0,G,272.0,G,0.0,G,,,,,29.3,"G,1207, ",,,,,,,,,,,,,,,24.1,G,,,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1986,1061.8,,1061.8,G,,,,,0.0,G,0.0,G,0.0,G,272.0,G,0.0,G,14.4,"G,0926,+",,,28.6,"G,0411, ",,,,,,,23.4,4.0,23.4,G,,,21.3,G,23.5,G,19.1,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1988,799.7,,799.7,G,,,,,0.0,G,0.0,G,0.0,G,274.0,G,0.0,G,13.7,"G,0916, ",,,28.5,"G,0129, ",,,,,,,11.0,0.0,11.0,G,,,21.3,G,23.4,G,19.2,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1989,,,,,,,,,0.0,G,0.0,G,,,,,,,13.8,"G,1031, ",,,,,,,,,,,,,,,,,,,,,19.3,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
PC000919640,"PITCAIRN ISLAND C, PC",-25.067,-130.1,265.0,1990,932.7,,932.7,G,,,,,0.0,G,0.0,G,0.0,G,247.0,G,0.0,G,13.9,"G,0921, ",,,31.3,"G,0609, ",,,,,,,24.9,9.0,24.9,G,,,21.4,G,23.4,G,19.4,G,PC000919640,Pitcairn Islands [United Kingdom],PITCAIRN ISLAND C
