STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1966,32.0,,32.0,G,147.0,I,71.0,I,0.0,G,109.0,G,32.0,G,44.0,G,0.0,G,-15.4,"G,0210, ",36.0," ,I,0725, ",28.8,"G,0814, ",-2.5,"G,0929",-2.9,"G,0423",-2.9,"G,0423",,,,,570.0," ,I",7.6,G,10.8,G,4.3,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1967,36.8,,36.8,G,153.0,I,91.0,I,0.0,G,82.0,G,19.0,G,45.0,G,0.0,G,-13.3,"G,1220, ",53.0," ,I,0811, ",29.7,"G,0802, ",-0.6,"G,1109",-2.5,"G,0428",-2.5,"G,0428",3790.4,4.0,3790.4,G,824.0," ,I",8.5,G,11.7,G,5.3,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1968,51.7,,51.7,G,141.0,I,81.0,I,0.0,G,95.0,G,36.0,G,39.0,G,0.0,G,-15.6,"G,0109, ",28.0," ,I,1017,+",31.6,"G,0706, ",0.0,"G,1006",-0.8,"G,0524",-2.9,"G,0409",3637.9,9.0,3637.9,G,708.0," ,I",7.8,G,11.1,G,4.4,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1969,44.8,,44.8,G,116.0,I,55.0,I,2.0,G,127.0,G,60.0,G,33.0,G,1.0,G,-19.7,"G,1231, ",49.0," ,I,0826, ",32.4,"G,0717, ",-0.6,"G,1122",-1.0,"G,0425",-3.6,"G,0403",4308.0,0.0,4308.0,G,591.0," ,I",6.4,G,9.9,G,2.9,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1970,22.5,,22.5,G,182.0,I,112.0,I,4.0,G,113.0,G,48.0,G,26.0,G,0.0,G,-22.0,"G,0101, ",22.0," ,I,1103, ",30.2,"G,0709, ",-0.8,"G,1108",-1.5,"G,0416",-2.2,"G,0413",4490.5,5.0,4490.5,G,1002.0," ,I",6.6,G,9.7,G,3.5,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1971,79.1,,79.1,G,137.0,I,79.0,I,1.0,G,79.0,G,18.0,G,43.0,G,3.0,G,-19.0,"G,0306, ",30.0," ,I,0630, ",32.4,"G,0729,+",-1.3,"G,1016",-2.0,"G,0506",-2.6,"G,0503",3854.0,0.0,3854.0,G,667.0," ,I",8.0,G,11.3,G,4.7,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1972,63.4,,63.4,G,121.0,I,68.0,I,0.0,G,84.0,G,22.0,G,48.0,G,1.0,G,-16.5,"G,0116, ",33.0," ,I,1115, ",32.2,"G,0725, ",-1.2,"G,1021",-2.6,"G,0428",-2.6,"G,0428",3849.1,1.0,3849.1,G,568.0," ,I",7.9,G,11.1,G,4.6,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1973,46.2,,46.2,G,130.0,I,76.0,I,0.0,G,81.0,G,13.0,G,41.0,G,0.0,G,-11.7,"G,1202, ",31.0," ,I,0508, ",31.7,"G,0628, ",-0.2,"G,1013",-0.7,"G,0504",-2.2,"G,0414",3698.6,6.0,3698.6,G,606.0," ,I",7.8,G,11.1,G,4.6,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1974,12.8,,12.8,G,138.0,I,88.0,I,0.0,G,71.0,G,6.0,G,20.0,G,0.0,G,-10.9,"G,0111, ",45.0," ,I,0719, ",26.4,"G,0901, ",0.0,"G,1030",-1.8,"G,0510",-5.7,"G,0418",3995.8,8.0,3995.8,G,794.0," ,I",7.9,G,11.0,G,4.8,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1975,39.4,,39.4,G,102.0,I,51.0,I,0.0,G,72.0,G,4.0,G,51.0,G,0.0,G,-9.8,"G,1124, ",45.0," ,I,1004, ",32.1,"G,0918, ",-0.8,"G,1013",-3.5,"G,0419",-3.5,"G,0419",3682.9,9.0,3682.9,G,454.0," ,I",8.5,G,11.7,G,5.3,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1976,27.6,,27.6,G,130.0,I,65.0,I,2.0,G,118.0,G,37.0,G,27.0,G,0.0,G,-18.8,"G,0131, ",31.0," ,I,0902, ",31.0,"G,0718, ",-0.4,"G,1001",-0.6,"G,0508",-3.1,"G,0427",4027.0,0.0,4027.0,G,545.0," ,I",6.6,G,10.1,G,3.1,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1977,14.8,,14.8,G,146.0,I,77.0,I,0.0,G,90.0,G,21.0,G,23.0,G,0.0,G,-9.4,"G,0119, ",25.0," ,I,1001, ",30.2,"G,0611, ",0.0,"G,0926",-0.5,"G,0603",-3.4,"G,0413",4058.2,2.0,4058.2,G,613.0," ,I",7.4,G,10.5,G,4.4,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1978,31.5,,31.5,G,135.0,I,70.0,I,1.0,G,105.0,G,39.0,G,29.0,G,0.0,G,-18.4,"G,0220, ",71.0," ,I,0808, ",29.4,"G,0802, ",-1.0,"G,1126",-2.1,"G,0516",-4.8,"G,0504",4076.6,6.0,4076.6,G,683.0," ,I",7.1,G,10.2,G,3.9,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1979,34.3,,34.3,G,129.0,I,60.0,I,0.0,G,134.0,G,47.0,G,39.0,G,0.0,G,-15.2,"G,0212, ",17.0," ,I,0827, ",30.2,"G,0624, ",-0.1,"G,1004",-0.5,"G,0508",-2.3,"G,0421",4198.5,5.0,4198.5,G,435.0," ,I",6.8,G,10.3,G,3.4,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1980,21.8,,21.8,G,131.0,I,78.0,I,0.0,G,135.0,G,45.0,G,18.0,G,0.0,G,-16.5,"G,0129, ",49.0," ,I,0710, ",27.5,"G,0615, ",-0.2,"G,1022",-0.4,"G,0516",-2.2,"G,0515",4411.8,8.0,4411.8,G,638.0," ,I",6.5,G,9.5,G,3.5,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1981,31.6,,31.6,G,165.0,I,93.0,I,1.0,G,113.0,G,28.0,G,40.0,G,0.0,G,-19.0,"G,1218, ",32.0," ,I,1011, ",29.3,"G,0807, ",-1.7,"G,1019",-0.2,"G,0507",-4.4,"G,0425",3913.4,4.0,3913.4,G,821.0," ,I",7.4,G,10.7,G,4.1,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1982,49.3,,49.3,G,102.0,I,49.0,I,0.0,G,95.0,G,31.0,G,48.0,G,0.0,G,-13.9,"G,0109, ",38.0," ,I,0821, ",30.2,"G,0716, ",-0.7,"G,1018",-1.1,"G,0503",-4.9,"G,0423",4147.5,5.0,4147.5,G,446.0," ,I",7.9,G,11.3,G,4.4,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1983,37.7,,37.7,G,149.0,I,80.0,I,0.0,G,72.0,G,15.0,G,45.0,G,0.0,G,-12.3,"G,1214, ",35.0," ,I,0906, ",30.7,"G,0801, ",-2.0,"G,1025",0.0,"G,0414",-2.8,"G,0405",3439.6,6.0,3439.6,G,720.0," ,I",8.6,G,11.8,G,5.4,G,PL000012120,Poland,LEBA
PL000012120,"LEBA, PL",54.75,17.5331,2.0,1984,32.3,,32.3,G,128.0,I,67.0,I,0.0,G,106.0,G,21.0,G,31.0,G,1.0,G,-11.8,"G,0219, ",32.0," ,I,0606, ",32.2,"G,0711, ",-1.2,"G,1111",-1.3,"G,0510",-3.2,"G,0419",3901.7,7.0,3901.7,G,575.0," ,I",7.6,G,10.7,G,4.5,G,PL000012120,Poland,LEBA
