STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1901,396.1,,396.1,E,,,,,0,E,0,E,0,E,137,E,10,E,0.8,"E,0217, ",,,36.5,"E,0720, ",,,,,,,,,,,,,15.7,E,19.1,E,12.2,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1902,300.6,,300.6,E,,,,,0,E,0,E,0,E,126,E,2,E,0.6,"E,0201, ",,,33.8,"E,0821, ",,,,,,,1300.8,8.0,1300.8,E,,,15.9,E,19.2,E,12.7,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1903,382.7,,382.7,E,,,,,0,E,0,E,0,E,130,E,7,E,2.8,"E,0115, ",,,37.2,"E,0830, ",,,,,,,1144.7,7.0,1144.7,E,,,16.1,E,19.4,E,12.8,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1904,387.0,,387.0,E,,,,,0,E,0,E,0,E,153,E,3,E,5.0,"E,0303, ",,,33.5,"E,0616, ",,,,,,,1180.8,8.0,1180.8,E,,,16.4,E,19.7,E,13.1,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1905,375.9,,375.9,E,,,,,0,E,0,E,0,E,133,E,4,E,1.3,"E,0104, ",,,33.1,"E,0903, ",,,,,,,1093.9,9.0,1093.9,E,,,15.9,E,19.2,E,12.6,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1906,510.9,,510.9,E,,,,,0,E,0,E,0,E,144,E,10,E,2.7,"E,0207, ",,,35.3,"E,0805, ",,,,,,,1266.5,5.0,1266.5,E,,,16.3,E,19.6,E,13.0,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1907,408.5,,408.5,E,,,,,0,E,0,E,0,E,122,E,11,E,2.0,"E,0204,+",,,36.0,"E,0820,+",,,,,,,1219.3,3.0,1219.3,E,,,16.1,E,19.3,E,12.8,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1908,419.5,,419.5,E,,,,,0,E,0,E,0,E,140,E,3,E,4.5,"E,0206, ",,,38.1,"E,0728, ",,,,,,,1208.3,3.0,1208.3,E,,,16.4,E,19.6,E,13.2,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1909,368.7,,368.7,E,,,,,0,E,0,E,0,E,139,E,8,E,1.2,"E,0313, ",,,34.5,"E,0813, ",,,,,,,1101.7,7.0,1101.7,E,,,16.1,E,19.4,E,12.9,E,PO000008535,Portugal,LISBOA GEOFISICA
PO000008535,"LISBOA GEOFISICA, PO",38.7167,-9.15,77.0,1910,375.1,,375.1,E,,,,,0,E,0,E,0,E,133,E,10,E,2.9,"E,1230, ",,,37.5,"E,0618, ",,,,,,,1192.6,6.0,1192.6,E,,,16.1,E,19.4,E,12.7,E,PO000008535,Portugal,LISBOA GEOFISICA
