STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1956,2584.3,,2584.3,0,223.0,0,123.0,0,0.0,0,0.0,0,0.0,0,366.0,0,19.0,0,16.7,"0,0226,+",81.0," ,0,0812, ",33.9,"0,0412, ",,,,,,,,,,,1770.0," ,0",25.4,0,29.3,0,21.5,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1957,2669.5,,2669.5,0,214.0,0,108.0,0,0.0,0,0.0,0,0.0,0,365.0,0,27.0,0,15.6,"0,0303, ",54.9," ,0,1213, ",33.3,"0,0611, ",,,,,,,0.0,0.0,0.0,0,1347.4," ,0",25.6,0,29.6,0,21.6,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1958,2830.3,,2830.3,0,203.0,0,125.0,0,0.0,0,0.0,0,0.0,0,365.0,0,38.0,0,16.7,"0,0124,+",70.6," ,0,0329, ",33.9,"0,0328, ",,,,,,,0.0,0.0,0.0,0,1881.4," ,0",26.1,0,30.0,0,22.1,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1959,2777.2,,2777.2,0,207.0,0,102.0,0,0.0,0,0.0,0,0.0,0,365.0,0,42.0,0,17.2,"0,0323,+",78.5," ,0,0426, ",33.3,"0,1026,+",,,,,,,0.0,0.0,0.0,0,1313.0," ,0",25.9,0,30.0,0,21.8,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1960,2846.0,,2846.0,0,193.0,0,128.0,0,0.0,0,0.0,0,0.0,0,366.0,0,58.0,0,16.7,"0,0304,+",71.4," ,0,0529, ",33.9,"0,0612,+",,,,,,,0.0,0.0,0.0,0,1636.9," ,0",26.1,0,30.4,0,21.8,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1961,2770.4,,2770.4,0,212.0,0,115.0,0,0.0,0,0.0,0,0.0,0,365.0,0,45.0,0,17.2,"0,0211, ",82.0," ,0,1205, ",33.9,"0,0917, ",,,,,,,0.0,0.0,0.0,0,1562.8," ,0",25.9,0,30.0,0,21.9,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1962,2736.8,,2736.8,0,213.0,0,123.0,0,0.0,0,0.0,0,0.0,0,365.0,0,36.0,0,16.1,"0,0323,+",45.0," ,0,1116, ",33.3,"0,1005,+",,,,,,,0.0,0.0,0.0,0,1393.0," ,0",25.8,0,29.7,0,22.0,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1963,2843.7,,2843.7,0,207.0,0,115.0,0,0.0,0,0.0,0,0.0,0,365.0,0,34.0,0,17.2,"0,0111, ",78.0," ,0,0905, ",33.9,"0,1010, ",,,,,,,0.0,0.0,0.0,0,1235.8," ,0",26.1,0,29.9,0,22.3,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1964,2968.8,,2968.8,0,209.0,0,108.0,0,0.0,0,0.0,0,0.0,0,366.0,0,36.0,0,17.2,"0,1222,+",51.1," ,0,0420, ",34.4,"0,0610,+",,,,,,,0.0,0.0,0.0,0,1209.1," ,0",26.4,0,30.1,0,22.8,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US",18.43261,-66.01065,3.0,1965,2861.1,,2861.1,0,211.0,0,112.0,0,0.0,0,0.0,0,0.0,0,365.0,0,14.0,0,16.7,"0,0128,+",90.2," ,0,0615, ",33.9,"0,0727, ",,,,,,,0.0,0.0,0.0,0,1673.3," ,0",26.2,0,29.6,0,22.8,0,RQW00011641,Puerto Rico [United States],SAN JUAN L M MARIN INTL AP
