STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1961,398.6,,398.6,E,60,E,25,E,0.0,G,50.0,E,15.0,G,110.0,G,0.0,G,-11.0,"E,0128, ",21.3," ,E,0518, ",30.3,"G,0731, ",-1.1,"E,1121",-2.9,"E,0228",-2.9,"E,0228",,,,,231.6," ,E",12.2,E,14.5,G,9.8,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1962,407.4,,407.4,E,64,E,32,E,0.0,G,59.0,E,7.0,G,103.0,G,0.0,G,-9.6,"E,1229, ",18.0," ,E,1126, ",29.8,"G,0817, ",-1.8,"E,1205",-3.2,"E,0320",-3.2,"E,0320",2706.6,6.0,2706.6,G,237.9," ,E",12.0,E,14.3,G,9.8,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1963,541.2,,541.2,E,64,E,30,E,0.0,G,81.0,E,32.0,G,117.0,G,0.0,G,-16.7,"E,0127, ",22.4," ,E,0221, ",32.0,"G,0630, ",-1.5,"E,1201",-0.5,"E,0404",-5.4,"E,0318",2996.4,4.0,2996.4,G,309.3," ,E",11.5,E,13.9,G,9.1,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1964,348.6,,348.6,E,62,E,27,E,0.0,G,77.0,E,23.0,G,97.0,G,0.0,G,-15.4,"E,0117, ",19.5," ,E,0716, ",31.7,"G,0730, ",-0.2,"E,1123",-1.7,"E,0320",-2.9,"E,0312",3040.2,2.0,3040.2,G,231.1," ,E",11.1,E,13.6,G,8.7,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1965,312.8,,312.8,E,82,E,30,E,0.0,G,58.0,E,19.0,G,105.0,G,0.0,G,-14.3,"E,0207, ",43.4," ,E,0711, ",30.0,"G,0810, ",-3.2,"E,1116",-0.4,"E,0406",-2.8,"E,0301",2844.7,7.0,2844.7,G,283.4," ,E",11.0,E,13.4,G,8.6,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1966,378.9,,378.9,E,86,E,39,E,0.0,G,36.0,E,7.0,G,101.0,G,0.0,G,-13.0,"E,0205, ",84.3," ,E,0902, ",29.9,"G,0715, ",-0.7,"E,1208",-0.6,"E,0321",-3.1,"E,0206",2569.3,3.0,2569.3,G,486.9," ,E",12.8,E,15.1,G,10.5,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1967,407.3,,407.3,E,80,E,32,E,0.0,G,64.0,E,18.0,G,111.0,G,0.0,G,-14.2,"E,0117, ",26.9," ,E,0602, ",31.7,"G,0806, ",0.0,"E,1125",-1.0,"E,0308",-2.2,"E,0218",2658.1,1.0,2658.1,G,277.9," ,E",11.9,E,14.4,G,9.4,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1968,315.3,,315.3,E,80,E,36,E,0.0,G,62.0,E,10.0,G,114.0,G,0.0,G,-13.0,"E,0110, ",31.4," ,E,0925, ",32.0,"G,0708, ",-2.0,"E,1203",-2.0,"E,0314",-4.0,"E,0305",2589.6,6.0,2589.6,G,300.8," ,E",11.6,E,13.9,G,9.3,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1969,334.8,,334.8,E,92,E,40,E,0.0,G,75.0,E,25.0,G,112.0,G,0.0,G,-15.5,"E,0128, ",23.0," ,E,0918, ",27.5,"G,0709, ",-0.4,"E,1214",-0.2,"E,0323",-3.0,"E,0308",3117.8,8.0,3117.8,G,306.0," ,E",11.0,E,13.3,G,8.7,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1970,389.3,,389.3,E,72,E,22,E,0.0,G,47.0,E,10.0,G,97.0,G,0.0,G,-6.6,"E,0131, ",48.5," ,E,0525, ",28.2,"G,0704, ",-1.6,"E,1126",-0.9,"E,0318",-2.4,"E,0220",2615.2,2.0,2615.2,G,292.2," ,E",11.9,E,14.1,G,9.8,E,ROM00015360,Romania,SULINA
ROM00015360,"SULINA, RO",45.1667,29.7331,3.0,1971,330.9,,330.9,E,77,E,30,E,0.0,G,48.0,E,4.0,G,96.0,G,0.0,G,-6.4,"E,0211, ",84.9," ,E,0919, ",31.5,"G,0813, ",-0.8,"E,1029",-1.1,"E,0314",-5.4,"E,0313",2728.9,9.0,2728.9,G,336.7," ,E",11.6,E,13.9,G,9.3,E,ROM00015360,Romania,SULINA
