STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1936,548.3,,548.3,r,81.0,r,33.0,r,0.0,r,33.0,r,0.0,r,120.0,r,2.0,r,-3.9,"r,1230, ",64.6," ,r,0917, ",32.4,"r,0816, ",-1.0,"r,1211",-1.8,"r,0331",-2.5,"r,0323",,,,,343.9," ,r",12.9,r,15.9,r,9.8,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1937,688.7,,688.7,r,80.0,r,28.0,r,0.0,r,44.0,r,9.0,r,132.0,r,3.0,r,-12.0,"r,0202, ",17.6," ,r,1115, ",33.2,"r,0807, ",-0.9,"r,1202",-0.1,"r,0309",-2.4,"r,0307",2545.1,1.0,2545.1,r,221.9," ,r",13.3,r,16.2,r,10.3,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1939,587.8,,587.8,r,80.0,r,35.0,r,0.0,r,26.0,r,5.0,r,130.0,r,2.0,r,-9.2,"r,0227, ",113.2," ,r,0812, ",32.5,"r,0629, ",-2.1,"r,1223",-1.3,"r,0318",-4.4,"r,0309",2222.4,4.0,2222.4,r,419.1," ,r",12.9,r,15.8,r,10.0,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1940,619.3,,619.3,r,91.0,r,43.0,r,0.0,r,46.0,r,9.0,r,125.0,r,7.0,r,-16.7,"r,0111, ",43.1," ,r,0516, ",34.8,"r,0808, ",-0.4,"r,1226",-0.5,"r,0326",-4.3,"r,0313",2525.9,9.0,2525.9,r,342.4," ,r",12.8,r,15.7,r,9.9,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1941,519.6,,519.6,r,80.0,r,35.0,r,0.0,r,51.0,r,11.0,r,118.0,r,0.0,r,-10.7,"r,0203, ",36.3," ,r,0925, ",32.0,"r,0709, ",-5.5,"r,1114",-2.1,"r,0321",-7.4,"r,0204",2306.1,1.0,2306.1,r,327.6," ,r",12.3,r,15.2,r,9.3,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1942,542.1,,542.1,r,94.0,r,48.0,r,0.0,r,57.0,r,13.0,r,123.0,r,1.0,r,-11.5,"r,0126, ",20.1," ,r,0429, ",32.3,"r,0718, ",-1.2,"r,1211",-0.8,"r,0411",-3.5,"r,0325",2976.0,0.0,2976.0,r,378.2," ,r",12.1,r,14.8,r,9.3,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1943,,,,,96.0,r,48.0,r,0.0,r,55.0,r,,,,,,,-7.2,"r,0208, ",65.5," ,r,0603, ",,,-0.6,"r,1121",-0.1,"r,0330",-5.1,"r,0306",,,,,565.5," ,r",,,,,9.4,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1944,504.9,,504.9,r,85.0,r,36.0,r,0.0,r,38.0,r,0.0,r,121.0,r,0.0,r,-4.0,"r,0117, ",40.5," ,r,0922, ",31.7,"r,0707, ",-0.2,"r,1121",-0.4,"r,0320",-3.0,"r,0123",2259.1,1.0,2259.1,r,350.5," ,r",13.1,r,16.1,r,10.2,r,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1945,,,,,88.0,r,31.0,r,,,,,10.0,r,120.0,r,3.0,r,,,30.3," ,r,0815, ",33.0,"r,0713, ",,,,,,,,,,,303.9," ,r",,,14.8,r,,,RSM00037470,Russia,DERBENT
RSM00037470,"DERBENT, RS",42.07,48.3,-19.0,1946,620.9,,620.9,r,93.0,r,44.0,r,0.0,r,53.0,r,10.0,r,129.0,r,1.0,r,-14.2,"r,1219, ",40.6," ,r,1213, ",33.0,"r,0801, ",-0.2,"r,1027",-0.3,"r,0403",-4.4,"r,0221",2647.0,0.0,2647.0,r,430.1," ,r",12.6,r,15.9,r,9.2,r,RSM00037470,Russia,DERBENT
