STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1977,,,,,,,,,0,G,0,G,0,G,142,G,0,G,11.3,"G,0801, ",,,25.5,"G,0221, ",,,,,,,422.4,4,422.4,G,,,18.1,G,20.3,G,15.8,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1978,216.2,,216.2,G,,,,,0,G,0,G,0,G,127,G,0,G,11.7,"G,0922, ",,,26.1,"G,0317, ",,,,,,,422.0,0,422.0,G,,,17.8,G,20.1,G,15.4,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1979,242.9,,242.9,G,,,,,0,G,0,G,0,G,142,G,0,G,10.7,"G,0830, ",,,25.4,"G,0410, ",,,,,,,329.8,8,329.8,G,,,18.1,G,20.4,G,15.8,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1980,282.3,,282.3,G,,,,,0,G,0,G,0,G,143,G,0,G,11.4,"G,0710, ",,,25.6,"G,0403, ",,,,,,,359.5,5,359.5,G,,,18.1,G,20.4,G,15.9,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1981,195.2,,195.2,G,,,,,0,G,0,G,0,G,134,G,0,G,11.5,"G,0825, ",,,26.0,"G,0415, ",,,,,,,326.9,9,326.9,G,,,18.0,G,20.4,G,15.6,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1982,199.7,,199.7,G,,,,,0,G,0,G,0,G,117,G,0,G,11.6,"G,0918, ",,,24.8,"G,0316, ",,,,,,,365.9,9,365.9,G,,,17.9,G,20.1,G,15.8,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1983,322.3,,322.3,G,,,,,0,G,0,G,0,G,154,G,0,G,10.7,"G,0730, ",,,24.8,"G,0220, ",,,,,,,294.7,7,294.7,G,,,18.4,G,20.8,G,16.1,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1984,401.1,,401.1,G,,,,,0,G,0,G,0,G,179,G,0,G,11.6,"G,0825, ",,,25.4,"G,0209, ",,,,,,,188.5,5,188.5,G,,,18.9,G,21.3,G,16.6,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1986,393.3,,393.3,G,,,,,0,G,0,G,0,G,170,G,0,G,11.5,"G,0903,+",,,26.0,"G,0209, ",,,,,,,228.7,7,228.7,G,,,18.8,G,21.2,G,16.4,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1987,408.4,,408.4,G,,,,,0,G,0,G,0,G,190,G,0,G,11.8,"G,1007, ",,,26.0,"G,0208, ",,,,,,,221.6,6,221.6,G,,,18.9,G,21.3,G,16.6,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1988,434.3,,434.3,G,,,,,0,G,0,G,0,G,182,G,0,G,10.9,"G,0802, ",,,26.1,"G,0216,+",,,,,,,304.8,8,304.8,G,,,18.6,G,21.1,G,16.2,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
SHM00061901,"ST. HELENA IS., SH",-15.933,-5.667,436.0,1989,396.4,,396.4,G,,,,,0,G,0,G,0,G,164,G,0,G,12.6,"G,0820, ",,,27.2,"G,0322, ",,,,,,,335.6,6,335.6,G,,,18.5,G,20.9,G,16.1,G,SHM00061901,Saint Helena [United Kingdom],ST. HELENA IS.
