STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1978,3019.0,,3019.0,G,,,,,0.0,G,0.0,G,0,G,335,G,207,G,3.0,"G,0114, ",,,46.2,"G,0723, ",,,,,,,,,,,,,25.9,G,33.1,G,18.7,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1979,3316.3,,3316.3,G,,,,,0.0,G,0.0,G,0,G,330,G,220,G,2.8,"G,1231, ",,,46.2,"G,0613, ",,,,,,,195.5,5.0,195.5,G,,,26.8,G,33.8,G,19.7,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1985,3255.3,,3255.3,G,,,,,0.0,G,0.0,G,0,G,321,G,208,G,3.0,"G,0207, ",,,46.8,"G,0806, ",,,,,,,,,,,,,26.4,G,33.3,G,19.6,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1986,3143.9,,3143.9,G,20.0,I,15.0,I,0.0,G,0.0,G,0,G,315,G,202,G,2.2,"G,0122, ",30.0," ,I,0425, ",47.0,"G,0727, ",,,,,,,299.0,0.0,299.0,G,180.0," ,I",26.0,G,32.8,G,19.2,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1987,3476.1,,3476.1,G,10.0,I,5.0,I,0.0,G,0.0,G,0,G,339,G,204,G,4.0,"G,0119,+",14.0," ,I,0323, ",48.0,"G,0729,+",,,,,,,287.3,3.0,287.3,G,52.0," ,I",27.4,G,34.0,G,20.8,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1988,3418.3,,3418.3,G,14.0,I,8.0,I,0.0,G,0.0,G,0,G,320,G,206,G,2.0,"G,1229, ",24.0," ,I,0224, ",46.2,"G,0614, ",,,,,,,237.4,4.0,237.4,G,70.0," ,I",26.9,G,33.4,G,20.4,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1989,3012.4,,3012.4,G,18.0,I,9.0,I,0.0,G,2.0,G,0,G,301,G,200,G,-0.5,"G,0107, ",29.0," ,I,0328, ",46.0,"G,0706, ",,,-0.5,"G,0107",,,407.8,8.0,407.8,G,96.0," ,I",25.3,G,32.4,G,18.2,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1990,3107.3,,3107.3,G,8.0,I,2.0,I,0.0,G,0.0,G,0,G,323,G,206,G,1.4,"G,1229, ",15.0," ,I,0114, ",46.0,"G,0728,+",,,,,,,350.4,4.0,350.4,G,27.0," ,I",26.0,G,33.4,G,18.7,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1991,3150.3,,3150.3,G,13.0,I,4.0,I,0.0,G,0.0,G,0,G,322,G,204,G,2.6,"G,0107, ",13.0," ,I,0114, ",46.0,"G,0626, ",,,,,,,254.3,3.0,254.3,G,46.0," ,I",26.2,G,32.8,G,19.6,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
SA000040438,"RIYADH OBS. O.A.P., SA",24.7,46.733,620.0,1992,2959.4,,2959.4,G,23.0,I,11.0,I,0.0,G,3.0,G,0,G,284,G,193,G,0.0,"G,0129,+",13.0," ,I,1216, ",45.0,"G,0616,+",,,0.0,"G,0129",,,452.4,4.0,452.4,G,99.0," ,I",25.0,G,31.3,G,18.6,G,SA000040438,Saudi Arabia,RIYADH OBS. (O.A.P.
