STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1985,,,,,,,,,,,,,0.0,S,338.0,S,275.0,S,,,,,43.0,"S,1006,+",,,,,,,,,,,,,,,35.8,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1992,,,,,,,,,,,,,0.0,S,336.0,S,243.0,S,,,,,42.1,"S,0629, ",,,,,,,,,,,,,,,34.6,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1993,,,,,,,,,,,,,0.0,S,336.0,S,241.0,S,,,,,40.1,"S,0710, ",,,,,,,,,,,,,,,34.7,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1996,,,,,,,,,,,,,0.0,S,341.0,S,249.0,S,,,,,41.0,"S,0709, ",,,,,,,,,,,,,,,35.3,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1997,,,,,,,,,,,,,0.0,S,338.0,S,241.0,S,,,,,41.8,"S,0610, ",,,,,,,,,,,,,,,34.9,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,1999,,,,,,,,,,,,,0.0,S,344.0,S,274.0,S,,,,,41.6,"S,0525, ",,,,,,,,,,,,,,,35.5,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,2000,,,,,,,,,,,,,0.0,S,348.0,S,288.0,S,,,,,42.0,"S,0713, ",,,,,,,,,,,,,,,35.5,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,2001,,,,,,,,,,,,,0.0,S,350.0,S,281.0,S,,,,,40.5,"S,0623, ",,,,,,,,,,,,,,,35.5,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,2002,,,,,,,,,,,,,0.0,S,343.0,S,294.0,S,,,,,43.6,"S,0815, ",,,,,,,,,,,,,,,35.6,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
SAM00041140,"KING ABDULLAH BIN ABDULAZIZ, SA",16.901,42.586,6.1,2003,,,,,,,,,,,,,0.0,S,345.0,S,295.0,S,,,,,43.0,"S,0531, ",,,,,,,,,,,,,,,35.7,S,,,SAM00041140,Saudi Arabia,KING ABDULLAH BIN ABDULAZIZ
