STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1923,,,,,24.0,I,16.0,I,,,,,,,,,,,,,49.1," ,I,0824, ",,,,,,,,,,,,,180.2," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1934,,,,,20.0,I,13.0,I,,,,,,,,,,,,,46.6," ,I,0724, ",,,,,,,,,,,,,220.3," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1935,,,,,22.0,I,22.0,I,,,,,,,,,,,,,38.4," ,I,0821, ",,,,,,,,,,,,,361.4," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1937,,,,,15.0,I,15.0,I,,,,,,,,,,,,,50.4," ,I,0827, ",,,,,,,,,,,,,272.2," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1939,,,,,26.0,I,19.0,I,,,,,,,,,,,,,51.7," ,I,0731, ",,,,,,,,,,,,,312.5," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1945,,,,,28.0,I,19.0,I,,,,,,,,,,,,,52.7," ,I,0818, ",,,,,,,,,,,,,310.4," ,I",,,,,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1949,3638.1,,3638.1,I,28.0,I,19.0,I,0.0,I,0.0,I,0.0,I,360.0,I,295.0,I,10.8,"I,0101, ",78.0," ,I,0818, ",46.2,"I,0604, ",,,,,,,,,,,329.0," ,I",28.4,I,35.9,I,20.9,I,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1950,,,,,31.0,I,21.0,I,0.0,I,0.0,I,,,,,,,10.8,"I,0106, ",49.4," ,I,0817, ",,,,,,,,,,,,,335.7," ,I",,,,,21.6,I,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1951,3775.4,,3775.4,I,39.0,I,23.0,I,0.0,I,0.0,I,0.0,I,364.0,I,275.0,I,10.4,"I,0207,+",55.0," ,I,1011, ",46.0,"I,0524, ",,,,,,,0.0,0.0,0.0,I,383.5," ,I",28.7,I,35.9,I,21.5,I,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1952,3573.9,,3573.9,I,34.0,I,25.0,I,0.0,I,0.0,I,0.0,I,366.0,I,290.0,I,9.7,"I,0121,+",43.4," ,I,0628, ",46.1,"I,0618, ",,,,,,,5.6,6.0,5.6,I,366.2," ,I",28.1,I,35.7,I,20.5,I,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1953,,,,,31.0,I,24.0,I,,,,,0.0,I,364.0,I,315.0,I,,,45.8," ,I,0904, ",46.3,"I,0517, ",,,,,,,,,,,337.4," ,I",,,36.3,I,,,SG000061612,Senegal,PODOR
SG000061612,"PODOR, SG",16.633,-14.917,7.0,1954,3728.1,,3728.1,I,24.0,I,13.0,I,0.0,I,0.0,I,0.0,I,358.0,I,296.0,I,10.5,"I,0111, ",37.4," ,I,0725, ",45.8,"I,0617, ",,,,,,,13.0,0.0,13.0,I,198.7," ,I",28.5,I,35.6,I,21.4,I,SG000061612,Senegal,PODOR
