STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1972,,,,,169,I,121,I,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,21.5,"G,0223, ",118.0," ,I,1010, ",32.0,"G,0420, ",,,,,,,0.0,0.0,0.0,G,2413.0," ,I",26.9,G,29.4,G,24.3,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1973,3302.3,,3302.3,G,177,I,116,I,0.0,G,0.0,G,0.0,G,365.0,G,19.0,G,20.0,"G,1212, ",82.0," ,I,0117, ",33.5,"G,1115,+",,,,,,,0.0,0.0,0.0,G,1811.0," ,I",27.4,G,30.2,G,24.5,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1974,3109.9,,3109.9,G,150,I,111,I,0.0,G,0.0,G,0.0,G,365.0,G,3.0,G,20.2,"G,0906, ",228.0," ,I,1026, ",34.4,"G,1114, ",,,,,,,0.0,0.0,0.0,G,2914.0," ,I",26.7,G,29.6,G,23.8,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1975,3120.4,,3120.4,G,159,I,107,I,0.0,G,0.0,G,0.0,G,365.0,G,4.0,G,21.4,"G,0210, ",118.0," ,I,0117, ",32.4,"G,0407,+",,,,,,,0.0,0.0,0.0,G,1984.0," ,I",26.9,G,29.8,G,24.1,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1976,3104.2,,3104.2,G,171,I,108,I,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,21.1,"G,0924,+",153.0," ,I,0228, ",32.0,"G,1229, ",,,,,,,0.0,0.0,0.0,G,2042.0," ,I",26.8,G,29.6,G,24.0,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1977,3167.2,,3167.2,G,179,I,125,I,0.0,G,0.0,G,0.0,G,365.0,G,9.0,G,19.6,"G,0829, ",226.0," ,I,0121, ",32.7,"G,0415, ",,,,,,,0.0,0.0,0.0,G,2565.0," ,I",27.1,G,29.7,G,24.4,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1978,3217.3,,3217.3,G,188,I,123,I,0.0,G,0.0,G,0.0,G,365.0,G,7.0,G,20.5,"G,1029, ",191.0," ,I,0128, ",33.3,"G,0318, ",,,,,,,0.0,0.0,0.0,G,2744.0," ,I",27.3,G,30.0,G,24.6,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1979,3261.2,,3261.2,G,170,I,108,I,0.0,G,0.0,G,0.0,G,365.0,G,7.0,G,21.3,"G,0707,+",87.0," ,I,0217, ",32.8,"G,0226, ",,,,,,,0.0,0.0,0.0,G,1973.0," ,I",27.1,G,29.8,G,24.4,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1980,3205.9,,3205.9,G,159,I,117,I,0.0,G,0.0,G,0.0,G,366.0,G,13.0,G,21.4,"G,0709, ",109.0," ,I,0220, ",33.4,"G,0415, ",,,,,,,0.0,0.0,0.0,G,1935.0," ,I",27.2,G,29.9,G,24.4,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
SE000063980,"SEYCHELLES INTERNAT, SE",-4.667,55.517,3.0,1981,3230.8,,3230.8,G,157,I,95,I,0.0,G,0.0,G,0.0,G,365.0,G,12.0,G,21.5,"G,0727, ",245.0," ,I,0202, ",33.1,"G,0412,+",,,,,,,0.0,0.0,0.0,G,2444.0," ,I",27.1,G,29.8,G,24.4,G,SE000063980,Seychelles,SEYCHELLES INTERNAT
