STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1951,20.4,,20.4,E,131,E,56,E,0.0,E,157.0,E,22.0,E,67.0,E,0.0,E,-13.9,"E,0203, ",37.1," ,E,0510, ",28.5,"E,0809, ",-1.1,"E,0923",0.0,"E,0602",-3.8,"E,0421",,,,,602.8," ,E",7.1,E,12.1,E,2.1,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1952,40.1,,40.1,E,144,E,62,E,8.0,E,175.0,E,68.0,E,62.0,E,2.0,E,-22.0,"E,0123, ",26.5," ,E,1026, ",33.4,"E,0816, ",-1.7,"E,0916",-1.7,"E,0523",-5.2,"E,0521",4488.6,6.0,4488.6,E,595.7," ,E",5.4,E,10.6,E,0.1,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1953,10.2,,10.2,E,119,E,58,E,2.0,E,160.0,E,54.0,E,74.0,E,0.0,E,-18.3,"E,0124, ",19.5," ,E,0719, ",27.8,"E,0708, ",-0.3,"E,0908",-0.5,"E,0514",-3.8,"E,0427",4538.6,6.0,4538.6,E,459.1," ,E",6.4,E,11.7,E,1.1,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1954,13.6,,13.6,E,145,E,67,E,27.0,E,166.0,E,57.0,E,52.0,E,0.0,E,-27.2,"E,0126, ",30.3," ,E,0701, ",30.0,"E,0815, ",-1.5,"E,0924",-2.3,"E,0516",-2.3,"E,0516",4728.1,1.0,4728.1,E,563.5," ,E",5.3,E,10.3,E,0.3,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1955,2.8,,2.8,E,138,E,57,E,5.0,E,176.0,E,50.0,E,58.0,E,0.0,E,-25.2,"E,0106, ",58.8," ,E,0805, ",27.4,"E,0719, ",-0.3,"E,0920",-2.1,"E,0531",-3.4,"E,0513",4716.4,4.0,4716.4,E,608.7," ,E",5.3,E,10.3,E,0.2,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1956,13.1,,13.1,E,129,E,46,E,21.0,E,183.0,E,73.0,E,60.0,E,0.0,E,-26.6,"E,0226,+",60.6," ,E,0614, ",29.6,"E,0903, ",-0.4,"E,0918",0.0,"E,0517",-2.5,"E,0425",4902.1,1.0,4902.1,E,514.2," ,E",4.4,E,9.7,E,-1.0,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1957,41.5,,41.5,E,129,E,57,E,6.0,E,163.0,E,47.0,E,52.0,E,1.0,E,-19.6,"E,0117, ",42.7," ,E,0715, ",32.4,"E,0705, ",-0.8,"E,0925",-0.4,"E,0531",-2.5,"E,0530",4622.6,6.0,4622.6,E,547.1," ,E",6.1,E,11.1,E,1.1,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1958,23.6,,23.6,E,158,E,76,E,6.0,E,144.0,E,51.0,E,62.0,E,0.0,E,-24.3,"E,0127, ",63.3," ,E,0629, ",29.7,"E,0717, ",-1.4,"E,0904",-0.3,"E,0505",-2.3,"E,0429",4625.2,2.0,4625.2,E,715.9," ,E",6.2,E,11.0,E,1.4,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1959,14.2,,14.2,E,104,E,50,E,3.0,E,168.0,E,37.0,E,51.0,E,0.0,E,-20.2,"E,0112, ",26.8," ,E,0418, ",31.5,"E,0712, ",-0.6,"E,0906",-3.3,"E,0524",-3.3,"E,0524",4324.1,1.0,4324.1,E,495.9," ,E",6.1,E,11.5,E,0.8,E,LO000011934,Slovakia,POPRAD/TATRY
LO000011934,"POPRAD TATRY, LO",49.0667,20.2331,694.0,1960,5.8,,5.8,E,144,E,78,E,14.0,E,138.0,E,34.0,E,46.0,E,0.0,E,-23.9,"E,0204, ",45.4," ,E,0713, ",28.2,"E,0720, ",-0.3,"E,0913",-0.3,"E,0526",-6.1,"E,0428",4568.0,0.0,4568.0,E,805.6," ,E",6.3,E,11.1,E,1.4,E,LO000011934,Slovakia,POPRAD/TATRY
