STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1911,,,,,70.0,I,43.0,I,,,,,,,,,,,,,54.9," ,I,0308, ",,,,,,,,,,,,,551.7," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1912,,,,,43.0,I,30.0,I,,,,,,,,,,,,,30.5," ,I,0202, ",,,,,,,,,,,,,345.0," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1913,,,,,42.0,I,32.0,I,,,,,,,,,,,,,23.6," ,I,0418, ",,,,,,,,,,,,,293.6," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1914,,,,,54.0,I,40.0,I,,,,,,,,,,,,,82.6," ,I,1204, ",,,,,,,,,,,,,527.9," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1915,,,,,46.0,I,32.0,I,,,,,,,,,,,,,46.7," ,I,0116, ",,,,,,,,,,,,,420.9," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1916,,,,,43.0,I,35.0,I,,,,,,,,,,,,,34.8," ,I,0115, ",,,,,,,,,,,,,424.1," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1918,,,,,45.0,I,38.0,I,,,,,,,,,,,,,50.0," ,I,0120, ",,,,,,,,,,,,,595.6," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1919,,,,,40.0,I,36.0,I,,,,,,,,,,,,,26.7," ,I,0121, ",,,,,,,,,,,,,336.0," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1920,,,,,42.0,I,32.0,I,,,,,,,,,,,,,75.9," ,I,0228, ",,,,,,,,,,,,,564.4," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,1923,,,,,57.0,I,38.0,I,,,,,,,,,,,,,108.7," ,I,0127, ",,,,,,,,,,,,,684.7," ,I",,,,,,,SF002613650,South Africa,BLOEMFONTEIN AIRPOR
