STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1978,,,,,84.0,S,43.0,S,,,,,,,,,,,,,25.9," ,S,0408, ",,,,,,,,,,,,,379.9," ,S",,,,,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1979,,,,,63.0,S,35.0,S,,,,,,,,,,,,,27.9," ,S,0530, ",,,,,,,,,,,,,386.9," ,S",,,,,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1980,,,,,84.0,S,42.0,S,0.0, ,0.0,S,,,,,,,2.0,"S,0919,+",38.1," ,S,0514, ",,,,,,,,,,,,,403.8," ,S",,,,,11.6,S,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1981,,,,,85.0,S,46.0,S,,,,,,,,,,,,,40.9," ,S,0126, ",,,,,,,,,,,,,586.0," ,S",,,,,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1982,,,,,,,,,,,,,0.0,S,224.0,S,9.0,S,,,,,33.5,"S,0310,+",,,,,,,,,,,,,,,22.8,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1983,,,,,,,,,,,,,0.0,S,221.0,S,11.0,S,,,,,39.4,"S,0114, ",,,,,,,,,,,,,,,23.1,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1984,,,,,,,,,,,,,0.0,S,238.0,S,24.0,S,,,,,36.7,"S,0403, ",,,,,,,,,,,,,,,23.5,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1985,,,,,,,,,,,,,0.0,S,233.0,S,15.0,S,,,,,37.2,"S,1010, ",,,,,,,,,,,,,,,23.7,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1986,,,,,,,,,,,,,0.0,S,238.0,S,11.0,S,,,,,34.2,"S,0227,+",,,,,,,,,,,,,,,23.4,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1987,,,,,,,,,,,,,0.0,S,236.0,S,2.0,S,,,,,32.6,"S,0208,+",,,,,,,,,,,,,,,23.1,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1988,,,,,,,,,,,,,0.0,S,220.0,S,13.0,S,,,,,37.3,"S,0210, ",,,,,,,,,,,,,,,23.2,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1990,,,,,94.0,S,52.0,S,,,,,,,,,,,,,35.6," ,S,0520, ",,,,,,,,,,,,,574.6," ,S",,,,,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1991,,,,,,,,,,,,,0.0,S,224.0,S,5.0,S,,,,,38.0,"S,0329, ",,,,,,,,,,,,,,,22.9,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1993,,,,,,,,,,,,,0.0,S,238.0,S,18.0,S,,,,,35.2,"S,0210,+",,,,,,,,,,,,,,,23.5,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1994,,,,,,,,,,,,,0.0,S,241.0,S,18.0,S,,,,,37.7,"S,0106, ",,,,,,,,,,,,,,,23.7,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1996,,,,,,,,,,,,,0.0,S,210.0,S,8.0,S,,,,,34.8,"S,0406, ",,,,,,,,,,,,,,,22.7,S,,,SFM00068816,South Africa,CAPE TOWN INTL
SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,1997,,,,,,,,,,,,,0.0,S,237.0,S,13.0,S,,,,,36.1,"S,0106,+",,,,,,,,,,,,,,,23.7,S,,,SFM00068816,South Africa,CAPE TOWN INTL
