STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1918,115.8,,115.8,G,156,I,104,I,0.0,G,4.0,G,0.0,G,43.0,G,3.0,G,-1.4,"G,0109, ",36.0," ,I,1017, ",34.5,"G,0915, ",,,-0.2,"G,0110",,,,,,,1099.0," ,I",12.6,G,15.0,G,10.2,G,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1929,175.6,,175.6,E,171,E,113,E,0.0,E,14.0,E,0.0,E,93.0,E,0.0,E,-7.3,"E,0213, ",73.3," ,E,1004, ",31.4,"E,0715, ",,,-2.1,"E,0302",-3.0,"E,0301",1749.0,0.0,1749.0,E,1427.1," ,E",13.5,E,16.7,E,10.3,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1930,,,,,201,E,139,E,,,,,0.0,E,76.0,E,7.0,E,,,63.2," ,E,1127, ",35.0,"E,0825, ",,,,,,,,,,,1974.1," ,E",,,16.5,E,,,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1931,96.6,,96.6,E,176,E,125,E,0.0,E,15.0,E,0.0,E,67.0,E,1.0,E,-3.3,"E,1220, ",64.4," ,E,1024, ",33.8,"E,0613, ",-0.4,"E,1218",-1.6,"E,0311",-2.7,"E,0110",1801.3,3.0,1801.3,E,1909.5," ,E",12.6,E,15.8,E,9.5,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1932,167.2,,167.2,E,197,E,137,E,0.0,E,11.0,E,1.0,E,62.0,E,3.0,E,-6.0,"E,0212, ",61.5," ,E,0910, ",33.8,"E,0820, ",,,-0.2,"E,0229",-3.4,"E,0214",2196.3,3.0,2196.3,E,1624.6," ,E",13.0,E,16.0,E,10.0,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1933,180.1,,180.1,E,180,E,123,E,0.0,E,17.0,E,4.0,E,91.0,E,2.0,E,-5.8,"E,0125, ",97.5," ,E,1023, ",34.8,"E,0810, ",-3.8,"E,1216",-0.6,"E,0224",-2.7,"E,0222",1859.8,8.0,1859.8,E,1875.2," ,E",12.8,E,15.8,E,9.8,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1934,133.9,,133.9,E,173,E,110,E,0.0,E,10.0,E,1.0,E,72.0,E,2.0,E,-4.8,"E,0204,+",67.7," ,E,1107, ",34.1,"E,0717, ",,,-0.2,"E,0302",-4.8,"E,0204",2117.3,3.0,2117.3,E,1222.9," ,E",12.9,E,15.9,E,9.8,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1935,,,,,187,E,109,E,0.0,E,21.0,E,0.0,E,62.0,E,1.0,E,-5.4,"E,0209, ",84.9," ,E,0504, ",32.2,"E,0921, ",-0.7,"E,1211",-0.3,"E,0311",-2.2,"E,0310",,,,,1641.2," ,E",12.4,E,15.5,E,9.3,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1936,,,,,184,E,115,E,,,,,,,,,,,,,47.0," ,E,0706, ",,,,,,,,,1897.7,7.0,1897.7,E,1423.2," ,E",,,,,,,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
SP000008027,"SAN SEBASTIAN IGUELDO, SP",43.3075,-2.0392,251.0,1937,110.9,,110.9,E,165,E,117,E,0.0,E,1.0,E,0.0,E,73.0,E,1.0,E,-3.3,"E,1231, ",73.2," ,E,1028, ",34.5,"E,0806, ",-3.3,"E,1231",,,,,,,,,1602.3," ,E",13.4,E,16.6,E,10.2,E,SP000008027,Spain,SAN SEBASTIAN - IGUELDO
