STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1869,3100.6,,3100.6,G,,,,,0.0,G,0.0,G,0.0,G,360.0,G,57.0,G,20.1,"G,1108, ",,,35.5,"G,0822, ",,,,,,,,,,,,,26.9,G,30.2,G,23.7,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0, ,,,,,,,,,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1871,3121.7,,3121.7,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,56.0,G,18.4,"G,0206, ",,,35.0,"G,0815, ",,,,,,,,,,,,,26.9,G,30.2,G,23.6,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1872,3139.0,,3139.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,44.0,G,18.9,"G,0110, ",,,35.0,"G,0731,+",,,,,,,0.0,0.0,0.0,G,,,26.9,G,30.2,G,23.6,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1873,3105.5,,3105.5,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,44.0,G,20.1,"G,1231,+",,,35.0,"G,0805,+",,,,,,,0.0,0.0,0.0,G,,,26.8,G,30.2,G,23.5,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1874,3104.0,,3104.0,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,53.0,G,18.4,"G,0118, ",,,36.7,"G,1112, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,30.1,G,23.6,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1875,3108.1,,3108.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,37.0,G,19.7,"G,1221, ",,,34.4,"G,0917, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,30.1,G,23.6,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1876,3164.5,,3164.5,G,,,,,0.0,G,0.0,G,0.0,G,363.0,G,58.0,G,17.7,"G,0127, ",,,35.0,"G,0712, ",,,,,,,0.0,0.0,0.0,G,,,27.1,G,30.4,G,23.7,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1877,3109.4,,3109.4,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,30.0,G,18.9,"G,0106, ",,,33.3,"G,0506,+",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.9,G,23.9,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1879,3153.6,,3153.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,44.0,G,19.5,"G,0205, ",,,36.7,"G,1124, ",,,,,,,0.0,0.0,0.0,G,,,27.0,G,30.3,G,23.7,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1880,,,,,,,,,,,,,0.0,G,366.0,G,65.0,G,,,,,36.0,"G,0929, ",,,,,,,,,,,,,,,30.7,G,,,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1881,3206.0,,3206.0,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,49.0,G,20.1,"G,0302, ",,,37.2,"G,0603, ",,,,,,,0.0,0.0,0.0,G,,,27.1,G,30.3,G,23.9,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1882,3132.1,,3132.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,23.0,G,20.6,"G,0221,+",,,33.3,"G,0618,+",,,,,,,0.0,0.0,0.0,G,,,26.9,G,30.1,G,23.7,G,CE000043497,Sri Lanka,HAMBANTOTA
CE000043497,"HAMBANTOTA, CE",6.117,81.133,20.0,1883,3057.7,,3057.7,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,12.0,G,20.6,"G,1206,+",,,34.4,"G,0727, ",,,,,,,0.0,0.0,0.0,G,,,26.7,G,30.0,G,23.4,G,CE000043497,Sri Lanka,HAMBANTOTA
