STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,1958,3032.0,,3032.0,S,,,,,0.0,S,0.0,S,0.0,S,362.0,S,48.0,S,17.8,"S,0926, ",,,36.1,"S,0428, ",,,,,,,0.0,0.0,0.0,S,,,27.2,S,30.2,S,24.2,S,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2010,,,,,160.0,S,104.0,S,,,,,,,,,,,,,443.0," ,S,1111, ",,,,,,,,,,,,,3297.1," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2011,,,,,155.0,S,103.0,S,,,,,,,,,,,,,70.1," ,S,0423, ",,,,,,,,,,,,,1747.6," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2012,,,,,161.0,S,104.0,S,,,,,0.0,S,362.0,S,26.0,S,,,101.1," ,S,0415, ",33.8,"S,0201, ",,,,,,,,,,,2305.0," ,S",,,31.0,S,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2013,,,,,171.0,S,106.0,S,,,,,0.0,S,355.0,S,62.0,S,,,134.4," ,S,0507, ",34.6,"S,0128, ",,,,,,,,,,,2040.9," ,S",,,30.9,S,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2014,,,,,182.0,S,127.0,S,,,,,0.0,S,359.0,S,60.0,S,,,102.9," ,S,0602, ",35.3,"S,0202, ",,,,,,,,,,,2645.3," ,S",,,31.0,S,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2015,,,,,212.0,S,150.0,S,,,,,0.0,S,353.0,S,47.0,S,,,130.0," ,S,0926, ",34.1,"S,1231, ",,,,,,,,,,,2921.8," ,S",,,31.3,S,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2016,,,,,130.0,S,96.0,S,,,,,,,,,,,,,219.2," ,S,0516, ",,,,,,,,,,,,,2295.7," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2017,,,,,152.0,S,98.0,S,,,,,,,,,,,,,95.3," ,S,0914, ",,,,,,,,,,,,,2170.4," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019,,,,,182.0,S,127.0,S,,,,,,,,,,,,,126.0," ,S,0924, ",,,,,,,,,,,,,2718.8," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2020,,,,,157.0,S,100.0,S,,,,,,,,,,,,,150.9," ,S,0909, ",,,,,,,,,,,,,2071.1," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2021,,,,,205.0,S,147.0,S,,,,,,,,,,,,,135.4," ,S,0604, ",,,,,,,,,,,,,2879.2," ,S",,,,,,,CEM00043466,Sri Lanka,COLOMBO
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2023,,,,,201.0,S,143.0,S,,,,,0.0,S,343.0,S,66.0,S,,,112.3," ,S,0903, ",33.7,"S,1222, ",,,,,,,,,,,3253.7," ,S",,,31.3,S,,,CEM00043466,Sri Lanka,COLOMBO
