STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1958,3836.1,,3836.1,S,15,S,9,S,0.0,S,0.0,S,0.0,S,364.0,S,222.0,S,16.1,"S,0316,+",19.1," ,S,1105, ",46.1,"S,0825,+",,,,,,,0.0,0.0,0.0,S,89.7," ,S",28.9,S,33.8,S,24.0,S,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1959,3535.5,,3535.5,S,17,S,9,S,0.0,S,0.0,S,0.0,S,357.0,S,203.0,S,10.0,"S,0122, ",27.9," ,S,1216, ",46.1,"S,0704,+",,,,,,,1.4,4.0,1.4,S,76.7," ,S",28.3,S,33.5,S,23.2,S,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1960,3713.1,,3713.1,S,18,S,10,S,0.0,S,0.0,S,0.0,S,361.0,S,216.0,S,15.0,"S,0307,+",41.9," ,S,1206, ",47.2,"S,0818,+",,,,,,,0.0,0.0,0.0,S,134.2," ,S",28.8,S,34.0,S,23.6,S,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1961,3643.6,,3643.6,G,15,I,7,I,0.0,G,0.0,G,0.0,G,365.0,G,174.0,G,15.8,"G,0221,+",56.0," ,I,1130, ",45.0,"G,0710, ",,,,,,,0.0,0.0,0.0,G,120.0," ,I",28.3,G,33.1,G,23.5,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1962,3725.6,,3725.6,G,18,I,11,I,0.0,G,0.0,G,0.0,G,365.0,G,196.0,G,15.3,"G,0128, ",51.0," ,I,1109, ",46.2,"G,0811, ",,,,,,,0.0,0.0,0.0,G,199.0," ,I",28.5,G,33.4,G,23.6,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1963,3759.2,,3759.2,G,22,I,9,I,0.0,G,0.0,G,0.0,G,365.0,G,183.0,G,15.0,"G,0321, ",39.0," ,I,0120, ",46.3,"G,0701, ",,,,,,,0.0,0.0,0.0,G,167.0," ,I",28.6,G,33.5,G,23.8,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1964,,,,,9,I,5,I,0.0,G,0.0,G,,,,,,,13.7,"G,0216, ",22.0," ,I,1227, ",,,,,,,,,0.0,0.0,0.0,G,46.0," ,I",,,,,23.1,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1965,3455.6,,3455.6,G,20,I,12,I,0.0,G,0.0,G,0.0,G,362.0,G,173.0,G,11.4,"G,0113, ",40.0," ,I,1127, ",45.3,"G,0719, ",,,,,,,,,,,143.0," ,I",27.9,G,32.9,G,22.8,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1966,3676.1,,3676.1,G,14,I,7,I,0.0,G,0.0,G,0.0,G,365.0,G,201.0,G,14.2,"G,0222, ",31.0," ,I,1103, ",45.6,"G,0610, ",,,,,,,0.0,0.0,0.0,G,77.0," ,I",28.4,G,33.3,G,23.4,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1967,3548.0,,3548.0,G,9,I,4,I,0.0,G,0.0,G,0.0,G,365.0,G,188.0,G,14.5,"G,0207, ",10.0," ,I,1201, ",46.0,"G,0725, ",,,,,,,0.0,0.0,0.0,G,31.0," ,I",28.0,G,32.9,G,23.1,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1968,3669.0,,3669.0,G,19,I,12,I,0.0,G,0.0,G,0.0,G,366.0,G,188.0,G,14.0,"G,0117, ",32.0," ,I,0417, ",45.2,"G,0728,+",,,,,,,0.0,0.0,0.0,G,166.0," ,I",28.3,G,32.8,G,23.8,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1969,3848.4,,3848.4,G,7,I,3,I,0.0,G,0.0,G,0.0,G,365.0,G,195.0,G,14.5,"G,0126, ",16.0," ,I,1126,+",46.0,"G,0715, ",,,,,,,0.0,0.0,0.0,G,40.0," ,I",28.9,G,33.5,G,24.2,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1970,3731.0,,3731.0,G,4,I,3,I,0.0,G,0.0,G,0.0,G,365.0,G,197.0,G,14.2,"G,0122, ",29.0," ,I,1231, ",45.3,"G,0818, ",,,,,,,0.0,0.0,0.0,G,49.0," ,I",28.5,G,33.4,G,23.6,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1971,3492.8,,3492.8,G,12,I,8,I,0.0,G,0.0,G,0.0,G,365.0,G,173.0,G,10.8,"G,1224, ",33.0," ,I,0101, ",45.3,"G,0629, ",,,,,,,0.0,0.0,0.0,G,108.0," ,I",27.9,G,32.6,G,23.1,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1972,3637.4,,3637.4,G,6,I,3,I,0.0,G,0.0,G,0.0,G,366.0,G,194.0,G,14.5,"G,0203, ",33.0," ,I,1028, ",45.1,"G,0627, ",,,,,,,1.0,0.0,1.0,G,60.0," ,I",28.3,G,32.9,G,23.6,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1973,3740.3,,3740.3,G,4,I,1,I,0.0,G,0.0,G,0.0,G,365.0,G,201.0,G,15.2,"G,0307, ",5.0," ,I,1126, ",46.0,"G,0728, ",,,,,,,0.0,0.0,0.0,G,9.0," ,I",28.6,G,33.3,G,23.9,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1974,3618.9,,3618.9,G,6,I,3,I,0.0,G,0.0,G,0.0,G,365.0,G,208.0,G,14.0,"G,0123, ",17.0," ,I,0718, ",45.7,"G,0807, ",,,,,,,0.0,0.0,0.0,G,31.0," ,I",28.2,G,33.1,G,23.4,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1975,3580.7,,3580.7,G,3,I,1,I,0.0,G,0.0,G,0.0,G,365.0,G,180.0,G,13.3,"G,0215, ",61.0," ,I,1120, ",45.0,"G,0721, ",,,,,,,0.0,0.0,0.0,G,64.0," ,I",28.1,G,32.9,G,23.3,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1976,3750.8,,3750.8,G,11,I,6,I,0.0,G,0.0,G,0.0,G,366.0,G,198.0,G,15.5,"G,0216, ",42.0," ,I,1102, ",46.0,"G,0630, ",,,,,,,0.0,0.0,0.0,G,124.0," ,I",28.6,G,33.0,G,24.1,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1977,3648.6,,3648.6,G,3,I,3,I,0.0,G,0.0,G,0.0,G,365.0,G,176.0,G,14.6,"G,0209, ",43.0," ,I,1018, ",46.3,"G,0718, ",,,,,,,0.0,0.0,0.0,G,69.0," ,I",28.4,G,33.3,G,23.5,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1978,3758.1,,3758.1,G,8,I,4,I,0.0,G,0.0,G,0.0,G,365.0,G,193.0,G,14.6,"G,0222,+",56.0," ,I,1220, ",45.7,"G,0710, ",,,,,,,0.0,0.0,0.0,G,103.0," ,I",28.6,G,33.3,G,23.9,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1979,3799.3,,3799.3,G,10,I,6,I,0.0,G,0.0,G,0.0,G,365.0,G,210.0,G,15.6,"G,0111, ",59.0," ,I,1016, ",45.0,"G,0803,+",,,,,,,0.0,0.0,0.0,G,96.0," ,I",28.7,G,33.2,G,24.2,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1980,,,,,0,I,0,I,,,,,,,,,,,,,0.0," ,I,1231,+",,,,,,,,,,,,,0.0," ,I",,,,,,,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1981,3813.8,,3813.8,G,4,I,2,I,0.0,G,0.0,G,0.0,G,365.0,G,198.0,G,14.2,"G,0213, ",4.0," ,I,1103, ",46.3,"G,0729, ",,,,,,,0.0,0.0,0.0,G,10.0," ,I",28.8,G,33.3,G,24.2,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1982,3520.9,,3520.9,G,9,I,6,I,0.0,G,0.0,G,0.0,G,365.0,G,192.0,G,13.6,"G,0214, ",47.0," ,I,1121, ",44.5,"G,0814, ",,,,,,,0.0,0.0,0.0,G,80.0," ,I",27.9,G,32.6,G,23.2,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1983,,,,,0,I,0,I,,,,,,,,,,,,,0.0," ,I,1231,+",,,,,,,,,,,,,0.0," ,I",,,,,,,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1984,3599.7,,3599.7,G,8,I,5,I,0.0,G,0.0,G,0.0,G,366.0,G,195.0,G,15.4,"G,0130, ",43.0," ,I,1012, ",44.6,"G,0805, ",,,,,,,0.0,0.0,0.0,G,82.0," ,I",28.2,G,32.8,G,23.5,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1985,,,,,15,I,11,I,0.0,G,0.0,G,0.0,G,362.0,G,197.0,G,15.0,"G,0217, ",25.0," ,I,1118, ",45.7,"G,0730, ",,,,,,,,,,,158.0," ,I",28.4,G,33.4,G,23.5,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1986,3673.3,,3673.3,G,6,I,5,I,0.0,G,0.0,G,0.0,G,365.0,G,190.0,G,14.0,"G,0203, ",27.0," ,I,0101, ",46.0,"G,0712, ",,,,,,,0.0,0.0,0.0,G,66.0," ,I",28.4,G,32.9,G,23.9,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1987,,,,,2,I,1,I,,,,,,,,,,,,,10.0," ,I,1017, ",,,,,,,,,0.0,0.0,0.0, ,11.0," ,I",,,,,,,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1988,,,,,5,I,2,I,,,,,,,,,,,,,6.0," ,I,1110, ",,,,,,,,,,,,,14.0," ,I",,,,,,,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1989,3701.1,,3701.1,G,7,I,5,I,0.0,G,0.0,G,0.0,G,365.0,G,184.0,G,14.0,"G,0113, ",17.0," ,I,1018, ",45.6,"G,0720, ",,,,,,,,,,,65.0," ,I",28.5,G,32.8,G,24.1,G,SU000062641,Sudan,PORT SUDAN
SU000062641,"PORT SUDAN, SU",19.583,37.217,42.0,1990,3642.0,,3642.0,G,7,I,4,I,0.0,G,0.0,G,0.0,G,365.0,G,199.0,G,12.8,"G,0302, ",29.0," ,I,1127, ",45.7,"G,0630, ",,,,,,,0.0,0.0,0.0,G,51.0," ,I",28.3,G,33.2,G,23.4,G,SU000062641,Sudan,PORT SUDAN
