STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1976,0.0,,0.0,E,,,,,55,E,258,E,182,E,0,E,0,E,-36.0,"E,0303, ",,,14.9,"E,0718, ",-0.6,"E,0819",-0.6,"E,0604",-2.2,"E,0602",,,,,,,-4.3,E,-1.4,E,-7.2,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1977,0.0,,0.0,E,,,,,87,E,272,E,206,E,0,E,0,E,-35.9,"E,0224, ",,,15.1,"E,0805, ",-0.7,"E,0828",0.0,"E,0620",-2.6,"E,0605",9021.2,2.0,9021.2,E,,,-6.4,E,-3.5,E,-9.2,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1978,0.0,,0.0,E,62.0,I,16.0,I,105,E,275,E,213,E,0,E,0,E,-35.6,"E,0317, ",11.0," ,I,0919,+",14.3,"E,0703,+",-0.2,"E,0908",-0.4,"E,0620",-3.5,"E,0609",8974.4,4.0,8974.4,E,144.0," ,I",-7.2,E,-4.0,E,-10.4,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1979,0.0,,0.0,E,73.0,I,22.0,I,105,E,278,E,227,E,1,E,0,E,-43.7,"E,0225, ",11.0," ,I,0220, ",21.3,"E,0716, ",-1.6,"E,0902",-0.4,"E,0625",-2.8,"E,0613",9681.2,2.0,9681.2,E,182.0," ,I",-7.4,E,-4.2,E,-10.6,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1980,0.0,,0.0,E,86.0,I,26.0,I,104,E,273,E,201,E,0,E,0,E,-33.0,"E,0107, ",14.0," ,I,0916,+",14.2,"E,0816, ",-0.6,"E,0822",-0.4,"E,0618",-4.4,"E,0530",8594.4,4.0,8594.4,E,230.0," ,I",-6.8,E,-3.8,E,-9.9,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1981,0.0,,0.0,E,,,,,93,E,278,E,217,E,0,E,0,E,-38.8,"E,0116, ",,,14.3,"E,0813, ",-2.0,"E,0915",-1.9,"E,0629",-3.0,"E,0607",9650.3,3.0,9650.3,E,,,-6.9,E,-3.9,E,-9.8,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1982,0.0,,0.0,E,62.0,I,12.0,I,70,E,292,E,232,E,0,E,0,E,-32.7,"E,0128, ",7.0," ,I,0301, ",10.9,"E,0710,+",-0.5,"E,0826",-0.9,"E,0625",-3.0,"E,0609",8759.8,8.0,8759.8,E,111.0," ,I",-6.3,E,-3.6,E,-9.0,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1983,0.0,,0.0,E,,,,,81,E,272,E,215,E,0,E,0,E,-33.3,"E,0210, ",,,17.7,"E,0704, ",-0.6,"E,0824",-0.9,"E,0622",-2.9,"E,0619",8780.8,8.0,8780.8,E,,,-6.2,E,-3.4,E,-9.1,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1984,0.0,,0.0,E,94.0,I,23.0,I,38,E,246,E,169,E,0,E,0,E,-29.3,"E,0329, ",14.0," ,I,0311, ",13.0,"E,0730, ",0.0,"E,0825",-0.3,"E,0620",-3.3,"E,0608",8686.0,0.0,8686.0,E,211.0," ,I",-2.9,E,-0.3,E,-5.5,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1985,0.0,,0.0,E,74.0,I,26.0,I,66,E,271,E,205,E,0,E,0,E,-28.3,"E,0326, ",13.0," ,I,0222, ",16.4,"E,0726, ",-0.2,"E,0820",-0.9,"E,0608",-2.7,"E,0530",7975.1,1.0,7975.1,E,182.0," ,I",-5.3,E,-2.6,E,-8.0,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1986,0.0,,0.0,E,87.0,I,21.0,I,100,E,265,E,204,E,0,E,0,E,-46.3,"E,0304, ",15.0," ,I,0312, ",12.8,"E,0718, ",-0.5,"E,0908",-0.5,"E,0625",-3.0,"E,0528",9163.1,1.0,9163.1,E,203.0," ,I",-6.6,E,-3.5,E,-9.7,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1987,0.0,,0.0,E,76.0,I,18.0,I,95,E,278,E,208,E,0,E,0,E,-30.1,"E,0227,+",12.0," ,I,0815, ",14.2,"E,0805, ",-0.3,"E,0816",-0.1,"E,0613",-2.2,"E,0528",8709.3,3.0,8709.3,E,166.0," ,I",-6.7,E,-3.7,E,-9.6,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1988,0.0,,0.0,E,69.0,I,19.0,I,146,E,273,E,230,E,0,E,0,E,-39.1,"E,0408, ",17.0," ,I,0828, ",14.8,"E,0721, ",-1.0,"E,0905",-0.2,"E,0614",-2.9,"E,0603",9592.3,3.0,9592.3,E,161.0," ,I",-8.8,E,-5.4,E,-12.2,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1989,0.0,,0.0,E,88.0,I,16.0,I,103,E,263,E,196,E,0,E,0,E,-33.4,"E,0123, ",16.0," ,I,0803, ",12.8,"E,0809, ",-0.4,"E,0827",0.0,"E,0613",-2.3,"E,0604",9595.0,0.0,9595.0,E,191.0," ,I",-6.4,E,-3.4,E,-9.4,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1990,0.0,,0.0,E,60.0,I,16.0,I,52,E,244,E,180,E,0,E,0,E,-28.7,"E,0311, ",12.0," ,I,0831, ",15.9,"E,0723, ",-0.2,"E,0825",-0.8,"E,0607",-3.8,"E,0601",8443.4,4.0,8443.4,E,159.0," ,I",-3.8,E,-1.1,E,-6.4,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1991,0.0,,0.0,E,87.0,I,25.0,I,56,E,267,E,198,E,0,E,0,E,-27.3,"E,1226, ",22.0," ,I,1208, ",13.6,"E,0722, ",-1.0,"E,0904",-0.3,"E,0611",-3.2,"E,0605",8107.7,7.0,8107.7,E,253.0," ,I",-4.9,E,-2.2,E,-7.6,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1992,0.0,,0.0,E,,,,,63,E,261,E,212,E,0,E,0,E,-38.2,"E,0209, ",,,13.7,"E,0703, ",-0.2,"E,0829",0.0,"E,0616",-3.7,"E,0602",8643.3,3.0,8643.3,E,,,-5.0,E,-2.4,E,-7.7,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1993,0.0,,0.0,E,98.0,I,35.0,I,97,E,269,E,199,E,0,E,0,E,-34.7,"E,0311, ",16.0," ,I,1201,+",16.6,"E,0715, ",-0.9,"E,0906",-0.5,"E,0626",-2.7,"E,0602",9063.5,5.0,9063.5,E,265.0," ,I",-6.0,E,-3.0,E,-9.1,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1994,0.0,,0.0,E,78.0,I,26.0,I,76,E,273,E,214,E,0,E,0,E,-33.6,"E,0223, ",15.0," ,I,0213, ",12.1,"E,0713, ",-0.5,"E,0811",-0.4,"E,0606",-2.3,"E,0603",8363.0,0.0,8363.0,E,212.0," ,I",-5.9,E,-3.0,E,-8.7,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1995,0.0,,0.0,E,65.0,I,15.0,I,88,E,245,E,196,E,0,E,0,E,-33.6,"E,0129, ",23.0," ,I,1203, ",13.9,"E,0714, ",-0.2,"E,0911",-0.5,"E,0605",-2.4,"E,0529",8878.9,9.0,8878.9,E,158.0," ,I",-5.9,E,-3.2,E,-8.7,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1996,0.0,,0.0,E,90.0,I,31.0,I,57,E,263,E,192,E,0,E,0,E,-35.7,"E,0214, ",11.0," ,I,1203,+",16.5,"E,0810, ",-0.7,"E,0820",0.0,"E,0627",-2.7,"E,0602",8672.6,6.0,8672.6,E,227.0," ,I",-4.8,E,-2.0,E,-7.6,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1997,0.0,,0.0,E,78.0,I,26.0,I,92,E,270,E,228,E,0,E,0,E,-36.8,"E,0112, ",21.0," ,I,0901, ",18.1,"E,0831, ",-0.8,"E,0823",0.0,"E,0623",-3.8,"E,0606",8884.3,3.0,8884.3,E,217.0," ,I",-6.0,E,-3.1,E,-8.9,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
SV000001008,"SVALBARD AIRPORT, SV",78.25,15.4667,28.0,1998,0.0,,0.0,E,47.0,I,7.0,I,78,E,274,E,212,E,0,E,0,E,-35.3,"E,0118, ",6.0," ,I,1227, ",18.9,"E,0722, ",-0.8,"E,0907",0.0,"E,0620",-3.3,"E,0602",9087.5,5.0,9087.5,E,83.0," ,I",-6.0,E,-3.2,E,-8.8,E,SV000001008,Svalbard [Norway],SVALBARD AIRPORT
