STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2009,12.8,,12.8,E,122,E,60,E,25,E,198,E,105,E,30,E,0,E,-25.3,"E,1225, ",31.5," ,E,0509, ",26.7,"E,0725, ",-0.7,"E,0820",-0.4,"E,0603",-2.3,"E,0502",,,,,494.2," ,E",2.3,E,6.3,E,-1.6,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2010,22.8,,22.8,E,143,E,62,E,57,E,193,E,141,E,24,E,0,E,-31.3,"E,0108,+",28.6," ,E,0822, ",26.9,"E,0516, ",-0.3,"E,0830",-2.3,"E,0510",-2.3,"E,0510",6103.6,6.0,6103.6,E,483.2," ,E",0.8,E,4.8,E,-3.2,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2011,36.4,,36.4,E,158,E,78,E,32,E,173,E,80,E,32,E,0,E,-32.7,"E,0218, ",34.2," ,E,0912, ",31.4,"E,0610, ",-0.5,"E,0919",-1.2,"E,0511",-2.9,"E,0508",6260.6,6.0,6260.6,E,649.9," ,E",3.4,E,7.2,E,-0.5,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2012,2.4,,2.4,E,176,E,82,E,34,E,191,E,108,E,16,E,0,E,-34.1,"E,0204, ",24.4," ,E,0914, ",24.8,"E,0718, ",-0.3,"E,0820",-0.1,"E,0513",-2.8,"E,0508",5454.6,6.0,5454.6,E,768.8," ,E",1.6,E,5.4,E,-2.2,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2013,13.1,,13.1,E,139,E,69,E,23,E,189,E,97,E,38,E,0,E,-27.6,"E,0117, ",26.8," ,E,0701, ",28.8,"E,0531, ",-0.5,"E,0929",-1.0,"E,0516",-4.3,"E,0505",5910.5,5.0,5910.5,E,574.7," ,E",3.1,E,7.4,E,-1.2,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2014,63.1,,63.1,E,138,E,59,E,18,E,182,E,63,E,46,E,0,E,-28.6,"E,0120, ",41.6," ,E,1024, ",31.7,"E,0723, ",-0.1,"E,0915",-4.4,"E,0515",-4.4,"E,0515",5305.7,7.0,5305.7,E,565.1," ,E",3.9,E,7.8,E,0.0,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2015,1.5,,1.5,E,172,E,92,E,14,E,170,E,51,E,13,E,0,E,-26.8,"E,0112, ",44.3," ,E,0828, ",24.9,"E,0703, ",-0.4,"E,0929",-0.4,"E,0525",-2.5,"E,0505",5328.0,0.0,5328.0,E,816.2," ,E",4.1,E,7.9,E,0.2,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2016,6.7,,6.7,E,164,E,83,E,30,E,187,E,100,E,33,E,0,E,-30.5,"E,0121, ",41.2," ,E,0705, ",26.9,"E,0722, ",0.0,"E,0828",-1.5,"E,0518",-2.8,"E,0425",5401.6,6.0,5401.6,E,764.7," ,E",2.9,E,6.9,E,-1.1,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2017,1.6,,1.6,E,160,E,75,E,25,E,200,E,91,E,19,E,0,E,-32.4,"E,0106, ",28.6," ,E,1123, ",26.3,"E,0726, ",-0.6,"E,0828",-0.8,"E,0604",-2.6,"E,0530",5756.3,3.0,5756.3,E,601.7," ,E",2.2,E,6.3,E,-1.9,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2018,80.7,,80.7,E,134,E,59,E,31,E,185,E,118,E,45,E,1,E,-29.1,"E,0124, ",31.2," ,E,0721, ",32.2,"E,0717, ",-0.5,"E,0917",-0.6,"E,0511",-2.5,"E,0507",6007.3,3.0,6007.3,E,467.5," ,E",2.8,E,7.4,E,-1.7,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2019,16.5,,16.5,E,135,E,75,E,32,E,197,E,90,E,24,E,1,E,-32.8,"E,0206, ",33.5," ,E,0609, ",33.6,"E,0727, ",-2.2,"E,0920",-0.4,"E,0612",-4.0,"E,0506",5567.9,9.0,5567.9,E,685.6," ,E",2.3,E,6.6,E,-2.0,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2020,12.2,,12.2,E,158,E,103,E,10,E,190,E,60,E,39,E,0,E,-23.3,"E,0227, ",39.8," ,E,1102, ",29.0,"E,0623, ",-0.3,"E,0828",-1.4,"E,0523",-2.3,"E,0518",5513.2,2.0,5513.2,E,940.1," ,E",4.3,E,8.4,E,0.2,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2021,33.2,,33.2,E,149,E,78,E,31,E,196,E,109,E,45,E,0,E,-29.4,"E,0114, ",51.7," ,E,1015, ",28.6,"E,0711, ",-0.2,"E,0824",-0.2,"E,0528",-4.6,"E,0509",5490.3,3.0,5490.3,E,773.1," ,E",2.0,E,6.2,E,-2.1,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2022,35.8,,35.8,E,156,E,66,E,23,E,201,E,101,E,37,E,0,E,-26.6,"E,0110, ",23.2," ,E,0726, ",29.1,"E,0701, ",-1.7,"E,0908",-2.2,"E,0520",-2.2,"E,0520",5748.1,1.0,5748.1,E,531.2," ,E",3.1,E,7.2,E,-1.0,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2023,18.3,,18.3,E,159,E,65,E,22,E,212,E,120,E,40,E,0,E,-25.8,"E,0309, ",35.9," ,E,0919, ",31.1,"E,0808, ",-1.4,"E,0915",-0.2,"E,0519",-3.1,"E,0508",5572.7,7.0,5572.7,E,607.9," ,E",2.4,E,6.7,E,-1.9,E,SWE00140622,Sweden,HAPARANDA_A
SWE00140622,"HAPARANDA A, SW",65.8197,24.12,16.0,2024,25.9,,25.9,E,157,E,81,E,32,E,190,E,91,E,44,E,0,E,-32.5,"E,0103, ",36.4," ,E,0923, ",27.9,"E,0725, ",-1.8,"E,0922",-0.8,"E,0522",-2.2,"E,0521",5989.0,0.0,5989.0,E,712.8," ,E",3.3,E,7.1,E,-0.5,E,SWE00140622,Sweden,HAPARANDA_A
