STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,1996,27.1,,27.1,E,126,E,53,E,0,E,123,E,56,E,29,E,0,E,-10.5,"E,0207, ",21.4," ,E,0706, ",24.8,"E,0821, ",-0.4,"E,1101",-0.1,"E,0508",-2.7,"E,0415",,,,,482.8," ,E",6.4,E,8.8,E,4.0,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,1997,124.0,,124.0,E,114,E,51,E,0,E,98,E,12,E,64,E,0,E,-8.2,"E,0325, ",25.7," ,E,0509, ",28.4,"E,0701, ",-2.2,"E,1105",-0.6,"E,0520",-2.2,"E,0421",4053.9,9.0,4053.9,E,436.6," ,E",7.8,E,10.2,E,5.3,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,1998,0.3,,0.3,E,161,E,64,E,0,E,86,E,11,E,1,E,0,E,-8.3,"E,0311, ",22.9," ,E,0728, ",22.5,"E,0721, ",-1.3,"E,1101",-3.8,"E,0415",-3.8,"E,0415",3931.1,1.0,3931.1,E,527.7," ,E",7.0,E,9.3,E,4.6,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,1999,62.8,,62.8,E,149,E,65,E,0,E,80,E,21,E,43,E,0,E,-10.6,"E,0208, ",16.4," ,E,0927, ",29.7,"E,0713, ",-0.1,"E,1115",-2.2,"E,0503",-2.2,"E,0503",4097.8,8.0,4097.8,E,473.4," ,E",8.1,E,10.8,E,5.5,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2000,0.0,,0.0,E,144,E,61,E,0,E,62,E,4,E,11,E,0,E,-6.0,"E,0122, ",30.4," ,E,0413, ",24.4,"E,0622, ",-0.1,"E,1219",-0.2,"E,0415",-2.6,"E,0330",3663.0,0.0,3663.0,E,562.1," ,E",8.5,E,10.9,E,6.0,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2001,47.8,,47.8,E,146,E,70,E,0,E,80,E,23,E,40,E,0,E,-13.5,"E,1224, ",24.1," ,E,0912, ",27.7,"E,0707, ",0.0,"E,0930",-0.6,"E,0415",-7.2,"E,0327",3775.0,0.0,3775.0,E,535.8," ,E",7.6,E,10.1,E,5.2,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2002,106.7,,106.7,E,139,E,63,E,0,E,89,E,22,E,71,E,0,E,-11.6,"E,0103, ",27.4," ,E,0721, ",27.3,"E,0811, ",-2.0,"E,1020",-1.1,"E,0420",-2.2,"E,0411",3643.8,8.0,3643.8,E,466.1," ,E",8.1,E,10.8,E,5.5,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2003,88.7,,88.7,E,125,E,65,E,0,E,104,E,36,E,43,E,0,E,-11.4,"E,0201, ",21.5," ,E,1002, ",30.0,"E,0801, ",0.0,"E,1023",-1.2,"E,0429",-2.3,"E,0404",4220.9,9.0,4220.9,E,482.6," ,E",7.5,E,10.1,E,4.9,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2004,33.7,,33.7,E,133,E,66,E,0,E,97,E,20,E,23,E,0,E,-6.7,"E,0103, ",16.1," ,E,0701, ",27.3,"E,0805, ",-0.8,"E,1117",-0.4,"E,0413",-2.8,"E,0403",3881.6,6.0,3881.6,E,446.6," ,E",7.8,E,10.3,E,5.3,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2005,36.1,,36.1,E,129,E,61,E,0,E,93,E,23,E,30,E,0,E,-14.3,"E,0302, ",25.9," ,E,0730, ",27.6,"E,0711, ",-2.5,"E,1025",-0.4,"E,0518",-2.2,"E,0426",3886.7,7.0,3886.7,E,529.7," ,E",7.9,E,10.4,E,5.3,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2006,93.3,,93.3,E,140,E,58,E,0,E,90,E,35,E,69,E,0,E,-10.4,"E,0119, ",42.9," ,E,0802, ",30.0,"E,0707, ",-0.7,"E,1102",-0.5,"E,0423",-3.8,"E,0326",3944.6,6.0,3944.6,E,489.6," ,E",8.6,E,11.2,E,5.9,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2007,26.7,,26.7,E,162,E,69,E,0,E,57,E,17,E,25,E,0,E,-8.8,"E,0221, ",51.5," ,E,0910, ",25.6,"E,0810, ",-0.4,"E,1014",-1.0,"E,0505",-2.8,"E,0404",3321.1,1.0,3321.1,E,632.6," ,E",8.2,E,10.6,E,5.8,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2008,23.5,,23.5,E,163,E,73,E,0,E,44,E,3,E,35,E,0,E,-4.4,"E,0324, ",30.9," ,E,0804, ",26.3,"E,0801, ",-1.1,"E,1101",0.0,"E,0422",-4.4,"E,0324",3574.8,8.0,3574.8,E,556.8," ,E",8.7,E,11.2,E,6.2,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2009,24.7,,24.7,E,159,E,73,E,0,E,80,E,24,E,34,E,0,E,-7.3,"E,1219,+",34.1," ,E,0812, ",25.6,"E,0702, ",-3.3,"E,1214",-0.2,"E,0502",-2.7,"E,0421",3810.6,6.0,3810.6,E,607.8," ,E",7.8,E,10.3,E,5.4,E,SWM00002589,Sweden,GOTSKA SANDON A
SWM00002589,"GOTSKA SANDON A, SW",58.3942,19.1975,16.0,2010,115.1,,115.1,E,158,E,71,E,0,E,132,E,78,E,49,E,0,E,-12.3,"E,0222, ",51.9," ,E,0724, ",31.6,"E,0711, ",-0.8,"E,1017",-0.8,"E,0512",-2.5,"E,0420",4152.6,6.0,4152.6,E,637.4," ,E",6.7,E,9.3,E,4.2,E,SWM00002589,Sweden,GOTSKA SANDON A
